epoch,lr-Adam,step,test/max_aug_reward,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/reward,val/max_aug_reward,val/max_reward,val/reward
,0.0003,0,,,,,,,,,,,
,,49,,,,,,219.97928619384766,,,,,
,,49,,,,,3.304719924926758,,,,,,
0,,49,,,,,,,25561.787109375,-13.471183776855469,,,
,,99,,,,,,221.91452980041504,,,,,
,,99,,,,,26.755571365356445,,,,,,
0,,99,,,,,,,24835.10546875,-12.960554122924805,,,
,,149,,,,,,223.86646270751953,,,,,
,,149,,,,,3.2987594604492188,,,,,,
0,,149,,,,,,,25193.638671875,-12.732863426208496,,,
,,199,,,,,,220.9012508392334,,,,,
,,199,,,,,21.898984909057617,,,,,,
0,,199,,,,,,,25104.728515625,-12.762295722961426,,,
,,249,,,,,,221.75359725952148,,,,,
,,249,,,,,3.2558441162109375,,,,,,
0,,249,,,,,,,24896.54296875,-12.399431228637695,,,
,,299,,,,,,215.77143669128418,,,,,
,,299,,,,,21.811962127685547,,,,,,
0,,299,,,,,,,24895.37109375,-12.457663536071777,,,
,,349,,,,,,223.9670753479004,,,,,
,,349,,,,,3.2591819763183594,,,,,,
0,,349,,,,,,,24953.69921875,-12.215616226196289,,,
,,399,,,,,,220.00622749328613,,,,,
,,399,,,,,21.84748649597168,,,,,,
0,,399,,,,,,,25039.572265625,-12.198996543884277,,,
,,449,,,,,,223.7381935119629,,,,,
,,449,,,,,3.3121109008789062,,,,,,
0,,449,,,,,,,24827.24609375,-12.19777774810791,,,
,,499,,,,,,229.7976016998291,,,,,
,,499,,,,,26.829957962036133,,,,,,
0,,499,,,,,,,25044.595703125,-12.714289665222168,,,
,,549,,,,,,223.0978012084961,,,,,
,,549,,,,,3.3326148986816406,,,,,,
0,,549,,,,,,,24500.62109375,-12.058490753173828,,,
,,599,,,,,,219.8965549468994,,,,,
,,599,,,,,20.85733413696289,,,,,,
0,,599,,,,,,,24609.28515625,-12.056391716003418,,,
,,649,,,,,,221.01068496704102,,,,,
,,649,,,,,3.824949264526367,,,,,,
0,,649,,,,,,,24819.41015625,-12.34716510772705,,,
,,699,,,,,,220.60632705688477,,,,,
,,699,,,,,21.329641342163086,,,,,,
0,,699,,,,,,,25036.48828125,-12.205476760864258,,,
,,749,,,,,,218.01209449768066,,,,,
,,749,,,,,3.238677978515625,,,,,,
0,,749,,,,,,,24513.22265625,-12.104387283325195,,,
,,799,,,,,,226.73392295837402,,,,,
,,799,,,,,24.282217025756836,,,,,,
0,,799,,,,,,,24590.45703125,-11.706527709960938,,,
,,849,,,,,,218.24884414672852,,,,,
,,849,,,,,2.894878387451172,,,,,,
0,,849,,,,,,,24663.15234375,-12.20460319519043,,,
,,899,,,,,,224.78938102722168,,,,,
,,899,,,,,22.022485733032227,,,,,,
0,,899,,,,,,,24912.52734375,-11.7874755859375,,,
,,949,,,,,,218.35017204284668,,,,,
,,949,,,,,3.4677982330322266,,,,,,
0,,949,,,,,,,24509.34765625,-11.889270782470703,,,
,,999,,,,,,224.36094284057617,,,,,
,,999,,,,,21.051883697509766,,,,,,
0,,999,,,,,,,24995.94921875,-12.110896110534668,,,
,,1049,,,,,,220.77107429504395,,,,,
,,1049,,,,,3.3392906188964844,,,,,,
0,,1049,,,,,,,24593.03125,-11.69300365447998,,,
,,1099,,,,,,219.65360641479492,,,,,
,,1099,,,,,20.783185958862305,,,,,,
0,,1099,,,,,,,24871.80078125,-11.88949966430664,,,
,,1149,,,,,,219.01369094848633,,,,,
,,1149,,,,,3.2663345336914062,,,,,,
0,,1149,,,,,,,24715.37890625,-11.71335220336914,,,
,,1199,,,,,,221.0679054260254,,,,,
,,1199,,,,,24.09529685974121,,,,,,
0,,1199,,,,,,,24682.384765625,-11.632651329040527,,,
,,1249,,,,,,221.62675857543945,,,,,
,,1249,,,,,3.714323043823242,,,,,,
0,,1249,,,,,,,24861.984375,-12.09502124786377,,,
,,1299,,,,,,220.534086227417,,,,,
,,1299,,,,,21.636486053466797,,,,,,
0,,1299,,,,,,,24672.9375,-11.949323654174805,,,
,,1349,,,,,,217.210054397583,,,,,
,,1349,,,,,2.115488052368164,,,,,,
0,,1349,,,,,,,24271.67578125,-11.7084321975708,,,
,,1399,,,,,,214.310884475708,,,,,
,,1399,,,,,23.56863021850586,,,,,,
0,,1399,,,,,,,24759.37890625,-11.409245491027832,,,
,,1449,,,,,,215.33203125,,,,,
,,1449,,,,,2.102375030517578,,,,,,
0,,1449,,,,,,,24569.470703125,-11.444686889648438,,,
,,1499,,,,,,217.1635627746582,,,,,
,,1499,,,,,20.112991333007812,,,,,,
