condition,condition_label,pair_count,upper_clip_share,interior_share,pre_final_median,pre_final_q90,final_weight_mean,final_weight_median,margin_norm_median,rank_span_median
source,FFSP100 ckpt @ FFSP100,3892,0.5462487153134635,0.45375128468653647,2.7316129207611084,8.214284896850586,2.0739221572875977,2.5,0.9614675045013428,0.34782612323760986
transfer,FFSP100 ckpt @ FFSP50,3912,0.5449897750511248,0.4550102249488753,2.711064100265503,8.214285850524902,2.0732884407043457,2.5,0.927323579788208,0.34782612323760986
target_trained,FFSP50 ckpt @ FFSP50,3868,0.5336091003102379,0.46639089968976216,2.6626086235046387,7.813326358795168,2.0555148124694824,2.5,0.9998791813850403,0.34782612323760986
