condition,condition_label,axis,bin,x_mid,y_mean,y_q25,y_q75,count
source,FFSP100 ckpt @ FFSP100,delta_cost,6.0,1.0,0.8672654690618763,1.0,1.0,1002.0
source,FFSP100 ckpt @ FFSP100,delta_cost,11.0,2.0,0.6523867809057528,0.0,1.0,817.0
source,FFSP100 ckpt @ FFSP100,delta_cost,15.0,3.0,0.5007473841554559,0.0,1.0,669.0
source,FFSP100 ckpt @ FFSP100,delta_cost,18.0,4.0,0.3469750889679715,0.0,1.0,562.0
source,FFSP100 ckpt @ FFSP100,delta_cost,21.0,5.0,0.28532608695652173,0.0,1.0,368.0
source,FFSP100 ckpt @ FFSP100,delta_cost,22.0,6.0,0.23275862068965517,0.0,0.0,232.0
source,FFSP100 ckpt @ FFSP100,delta_cost,23.0,7.0,0.1446280991735537,0.0,0.0,242.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,0.0,0.03837884962558746,1.0,1.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,1.0,0.1106436625123024,1.0,1.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,2.0,0.17901991307735443,1.0,1.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,3.0,0.2518496811389923,0.9754601226993865,1.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,4.0,0.32577458024024963,0.9325153374233128,1.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,5.0,0.3954961597919464,0.8159509202453987,1.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,6.0,0.47293734550476074,0.7730061349693251,1.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,7.0,0.5475737452507019,0.6932515337423313,0.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,8.0,0.625612735748291,0.6932515337423313,0.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,9.0,0.7187302708625793,0.6687116564417178,0.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,10.0,0.8028237819671631,0.6196319018404908,0.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,11.0,0.8785645365715027,0.50920245398773,0.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,12.0,0.9758613705635071,0.5030674846625767,0.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,13.0,1.0789717435836792,0.4171779141104294,0.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,14.0,1.1934062242507935,0.38650306748466257,0.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,15.0,1.313933253288269,0.3128834355828221,0.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,16.0,1.4364866018295288,0.3128834355828221,0.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,17.0,1.5814735889434814,0.3619631901840491,0.0,1.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,18.0,1.745154857635498,0.2331288343558282,0.0,0.0,163.0
