probe,seed_index,anchor,condition,raw_ess,ess,uniform_mixture,max_over_uniform
0,1,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
0,1,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
0,1,scratch,all_pair_endpoint,0.9999971717641469,0.9999971717641469,0.0,1.000452465939371
0,1,scratch,gap_endpoint,0.9523827865878897,0.9523827865878897,0.0,1.4925485078265044
0,1,scratch,anchor_gap_endpoint,0.47619727968910724,0.47619727978434667,0.0,2.9702970294059416
0,1,scratch,anchor_hard_endpoint,0.49363540158574104,0.49363540168446846,0.0,2.7651161783068408
0,1,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
0,1,warm,anchor_is,0.4999999999999895,0.5000000000999897,0.0,2.0000009582428957
0,1,warm,all_pair_endpoint,0.9999971717641469,0.9999971717641469,0.0,1.000452465939371
0,1,warm,gap_endpoint,0.9523827865878897,0.9523827865878897,0.0,1.4925485078265044
0,1,warm,anchor_gap_endpoint,0.4761903298226028,0.4761903299178409,0.0,2.970475285112771
0,1,warm,anchor_hard_endpoint,0.49950189784047644,0.49950189794037714,0.0,2.141768687444221
1,1,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
1,1,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
1,1,scratch,all_pair_endpoint,0.9999973818066391,0.9999973818066391,0.0,1.000402171727329
1,1,scratch,gap_endpoint,0.9523850420536364,0.9523850420536364,0.0,1.4925473883795817
1,1,scratch,anchor_gap_endpoint,0.4761972796891072,0.4761972797843467,0.0,2.970297029405941
1,1,scratch,anchor_hard_endpoint,0.4952401383921988,0.4952401384912469,0.0,2.495134709253715
1,1,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
1,1,warm,anchor_is,0.49999999999999334,0.5000000000999936,0.0,2.000000967779651
1,1,warm,all_pair_endpoint,0.9999973818066391,0.9999973818066391,0.0,1.000402171727329
1,1,warm,gap_endpoint,0.9523850420536364,0.9523850420536364,0.0,1.4925473883795817
1,1,warm,anchor_gap_endpoint,0.47619522423841526,0.4761952243336543,0.0,2.970458824104072
1,1,warm,anchor_hard_endpoint,0.49890679555980183,0.49890679565958346,0.0,2.20430097254643
2,1,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
2,1,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
2,1,scratch,all_pair_endpoint,0.9999995049637487,0.9999995049637487,0.0,1.0001005126143345
2,1,scratch,gap_endpoint,0.9523847637432041,0.9523847637432038,0.0,1.492539552298136
2,1,scratch,anchor_gap_endpoint,0.47619727968910724,0.47619727978434667,0.0,2.970297029405941
2,1,scratch,anchor_hard_endpoint,0.492062356866136,0.49206235696454853,0.0,2.829360049757282
2,1,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
2,1,warm,anchor_is,0.4999999999999958,0.500000000099996,0.0,2.0000009665875633
2,1,warm,all_pair_endpoint,0.9999995049637487,0.9999995049637487,0.0,1.0001005126143345
2,1,warm,gap_endpoint,0.9523847637432041,0.9523847637432038,0.0,1.492539552298136
2,1,warm,anchor_gap_endpoint,0.47619649228007793,0.4761964923753172,0.0,2.9703327070127594
2,1,warm,anchor_hard_endpoint,0.49942889187867506,0.4994288919785611,0.0,2.1643298396205384
3,1,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
3,1,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
3,1,scratch,all_pair_endpoint,0.9999961967811718,0.9999961967811718,0.0,1.0007040128733795
3,1,scratch,gap_endpoint,0.9523884092994658,0.9523884092994658,0.0,1.4925541050863098
3,1,scratch,anchor_gap_endpoint,0.47619727968910736,0.476197279784347,0.0,2.970297029405941
3,1,scratch,anchor_hard_endpoint,0.49291482977187207,0.49291482987045504,0.0,2.7131088243532915
3,1,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
3,1,warm,anchor_is,0.4999999999999913,0.5000000000999915,0.0,2.000000952282433
3,1,warm,all_pair_endpoint,0.9999961967811718,0.9999961967811718,0.0,1.0007040128733795
3,1,warm,gap_endpoint,0.9523884092994658,0.9523884092994658,0.0,1.4925541050863098
3,1,warm,anchor_gap_endpoint,0.476204371341198,0.47620437143643896,0.0,2.9705644205412685
3,1,warm,anchor_hard_endpoint,0.4994639234214057,0.4994639235212984,0.0,2.217972106675079
4,1,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
4,1,scratch,anchor_is,0.49999999999971173,0.5000000000997115,0.0,2.000015106057644
4,1,scratch,all_pair_endpoint,0.9999995049637487,0.9999995049637487,0.0,1.0001005126143345
4,1,scratch,gap_endpoint,0.9523847826219074,0.9523847826219067,0.0,1.4925395522981353
4,1,scratch,anchor_gap_endpoint,0.4761972901977534,0.47619729029299296,0.0,2.970296954388372
4,1,scratch,anchor_hard_endpoint,0.4928574520306309,0.4928574521292027,0.0,2.8271026645325397
4,1,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
4,1,warm,anchor_is,0.4999999999999869,0.5000000000999872,0.0,2.0000009367852094
4,1,warm,all_pair_endpoint,0.9999995049637487,0.9999995049637487,0.0,1.0001005126143345
4,1,warm,gap_endpoint,0.9523847826219074,0.9523847826219067,0.0,1.4925395522981353
4,1,warm,anchor_gap_endpoint,0.4761979341356668,0.4761979342309064,0.0,2.970332629763318
4,1,warm,anchor_hard_endpoint,0.49936603739760804,0.49936603749748154,0.0,2.127042492562661
5,1,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
5,1,scratch,anchor_is,0.49999999999971173,0.5000000000997115,0.0,2.000015106057644
5,1,scratch,all_pair_endpoint,0.9998860778115827,0.9998860778115822,0.0,1.00576164965127
5,1,scratch,gap_endpoint,0.9524207199090635,0.9524207199090635,0.0,1.4928373812481621
5,1,scratch,anchor_gap_endpoint,0.476197288372962,0.4761972884682015,0.0,2.970296951668703
5,1,scratch,anchor_hard_endpoint,0.4931569480180668,0.49315694811669836,0.0,2.785348772846487
5,1,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
5,1,warm,anchor_is,0.4999999999999957,0.5000000000999963,0.0,2.00000097165396
5,1,warm,all_pair_endpoint,0.9998860778115827,0.9998860778115822,0.0,1.00576164965127
5,1,warm,gap_endpoint,0.9524207199090635,0.9524207199090635,0.0,1.4928373812481621
