subset,anchor,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean,ef_distance_rank,ef_top1,ef_top5_overlap
all,warm,scratch,gap_endpoint,euclidean_two_point,0.39046325547549215,0.008205457687378015,0.047697289943695084,0.065,0.125,0.005111638290405205,0.9996199476156592,0.95,0.9650000000000001
all,warm,scratch,gap_endpoint,fisher_two_point,0.3908177064306015,0.008205457687378015,0.047669439353942876,0.065,0.125,0.005111638290405205,0.9996199476156592,0.95,0.9650000000000001
all,warm,warm,gap_endpoint,one_point,0.3909117401898603,0.0015662033081054183,0.025951298103332566,0.0,0.0,0.0010292161326406746,0.9996199476156592,0.95,0.9650000000000001
all,warm,warm,gap_endpoint,euclidean_two_point,0.3905495349737418,0.001347705459594728,0.02583521678924563,0.0,0.0,0.0009903064079283142,0.9996199476156592,0.95,0.9650000000000001
all,warm,warm,gap_endpoint,fisher_two_point,0.3874396448240179,0.001347705459594728,0.0257953344154358,0.0,0.0,0.0009903064079283142,0.9996199476156592,0.95,0.9650000000000001
all,warm,scratch,anchor_gap_endpoint,one_point,0.6286058482531813,0.008658030700683383,0.11619513790130605,0.035625,0.125,0.005092585927963142,0.996226233003295,0.875,0.925
all,warm,scratch,anchor_gap_endpoint,euclidean_two_point,0.6288722996525652,0.006809334182739768,0.0945585658264159,0.035625,0.125,0.005092585927963142,0.996226233003295,0.875,0.925
all,warm,scratch,anchor_gap_endpoint,fisher_two_point,0.6347027316830756,0.008658030700683383,0.11802714061737049,0.160625,0.25,0.007358271867751962,0.996226233003295,0.875,0.925
all,warm,warm,anchor_gap_endpoint,one_point,0.6539731834628952,0.001703379058838106,0.09308466157913209,0.0,0.0,0.0007883054380416188,0.996226233003295,0.875,0.925
all,warm,warm,anchor_gap_endpoint,euclidean_two_point,0.6568127009161671,0.001703379058838106,0.0861200267219544,0.0,0.0,0.0007883054380416188,0.996226233003295,0.875,0.925
all,warm,warm,anchor_gap_endpoint,fisher_two_point,0.6574432567114143,0.001703379058838106,0.10133034061431889,0.0,0.0,0.0008235942487716242,0.996226233003295,0.875,0.925
all,warm,scratch,anchor_hard_endpoint,one_point,0.6153745482096306,0.008658030700683383,0.11639966432571403,0.035625,0.125,0.004880063325881765,0.993912669938063,0.875,0.945
all,warm,scratch,anchor_hard_endpoint,euclidean_two_point,0.6145175941544271,0.008658030700683383,0.09521114713668813,0.035625,0.125,0.004764601165771274,0.993912669938063,0.875,0.945
all,warm,scratch,anchor_hard_endpoint,fisher_two_point,0.6220159434169247,0.010719831085205023,0.11838277210235586,0.035625,0.125,0.004786574728011925,0.993912669938063,0.875,0.945
all,warm,warm,anchor_hard_endpoint,one_point,0.6473060482419359,0.001703379058838106,0.09308064626693724,0.0,0.0,0.0009765554075240313,0.993912669938063,0.875,0.945
all,warm,warm,anchor_hard_endpoint,euclidean_two_point,0.6494527653363401,0.0016396430969241038,0.08606480035781863,0.0,0.0,0.0009376456828116708,0.993912669938063,0.875,0.945
all,warm,warm,anchor_hard_endpoint,fisher_two_point,0.6516352457088178,0.001703379058838106,0.10131472944259645,0.0,0.0,0.0010004338865279006,0.993912669938063,0.875,0.945
seed1,scratch,scratch,uniform,one_point,0.3476980886338153,0.007940211486816118,0.06534941839218125,0.1525,0.25,0.0626451830649373,0.9981794748155584,1.0,0.99
seed1,scratch,scratch,uniform,euclidean_two_point,0.35077643665073094,0.007940211486816118,0.06251394950866691,0.189375,0.25,0.06304326369094827,0.9981794748155584,1.0,0.99
seed1,scratch,scratch,uniform,fisher_two_point,0.33805061520671986,0.007940211486816118,0.06251394950866691,0.064375,0.125,0.004974484263419985,0.9981794748155584,1.0,0.99
seed1,scratch,warm,uniform,one_point,0.3147573496596536,0.001449698638916086,0.06003997894287114,0.125,0.125,0.027272398118972693,0.9981794748155584,1.0,0.99
seed1,scratch,warm,uniform,euclidean_two_point,0.3189100372456283,0.0013301193237307274,0.05520663360595708,0.125,0.125,0.027221669635295775,0.9981794748155584,1.0,0.99
seed1,scratch,warm,uniform,fisher_two_point,0.307287124213382,0.0013301193237307274,0.05520663360595708,0.0,0.0,0.0010801163845059708,0.9981794748155584,1.0,0.99
seed1,scratch,scratch,anchor_is,one_point,0.5762673518053811,0.010719831085205023,0.11281827934265129,0.033125,0.125,0.004782029454231103,0.9964935297083977,0.875,0.9549999999999998
seed1,scratch,scratch,anchor_is,euclidean_two_point,0.581605055369348,0.010719831085205023,0.11614763126373287,0.033125,0.125,0.004782029454231103,0.9964935297083977,0.875,0.9549999999999998
seed1,scratch,scratch,anchor_is,fisher_two_point,0.5771800630075399,0.010719831085205023,0.13426386060714712,0.033125,0.125,0.004659873835563483,0.9964935297083977,0.875,0.9549999999999998
seed1,scratch,warm,anchor_is,one_point,0.5962612267687745,0.0016396430969241038,0.09484895278930669,0.0,0.0,0.001002416206836586,0.9964935297083977,0.875,0.9549999999999998
seed1,scratch,warm,anchor_is,euclidean_two_point,0.600381550505412,0.0016396430969241038,0.1016199677276612,0.0,0.0,0.001002416206836586,0.9964935297083977,0.875,0.9549999999999998
seed1,scratch,warm,anchor_is,fisher_two_point,0.5934154085963222,0.001270948791503912,0.10434293090820317,0.0,0.0,0.0009612508459090163,0.9964935297083977,0.875,0.9549999999999998
seed1,scratch,scratch,all_pair_endpoint,one_point,0.41542470473188364,0.007940211486816118,0.05646476766586295,0.189375,0.25,0.06296813327264757,0.9941922234736247,0.95,0.9650000000000001
seed1,scratch,scratch,all_pair_endpoint,euclidean_two_point,0.405945494243824,0.007940211486816118,0.06238008033752431,0.189375,0.25,0.06292110807228064,0.9941922234736247,0.95,0.9650000000000001
seed1,scratch,scratch,all_pair_endpoint,fisher_two_point,0.39606586984502123,0.007940211486816118,0.06257940002441398,0.064375,0.125,0.004974484263419985,0.9941922234736247,0.95,0.9650000000000001
seed1,scratch,warm,all_pair_endpoint,one_point,0.3824457090342624,0.0013301193237307274,0.03461043025970467,0.125,0.125,0.027211477978229436,0.9941922234736247,0.95,0.9650000000000001
seed1,scratch,warm,all_pair_endpoint,euclidean_two_point,0.37015226093071213,0.0012506053924559168,0.05520663360595708,0.125,0.125,0.02718050427436821,0.9941922234736247,0.95,0.9650000000000001
seed1,scratch,warm,all_pair_endpoint,fisher_two_point,0.35897681214494387,0.0013301193237307274,0.055214813270568916,0.0,0.0,0.0010801163845059708,0.9941922234736247,0.95,0.9650000000000001
seed1,scratch,scratch,gap_endpoint,one_point,0.44299654420482126,0.007940211486816118,0.04033665628433232,0.189375,0.25,0.006702004464149345,0.9938088819354729,0.925,0.9650000000000001
seed1,scratch,scratch,gap_endpoint,euclidean_two_point,0.42520800627553995,0.007940211486816118,0.06317439046859732,0.189375,0.25,0.006620009596824504,0.9938088819354729,0.925,0.9650000000000001
seed1,scratch,scratch,gap_endpoint,fisher_two_point,0.41972855155375943,0.008205457687378015,0.06314685731887808,0.189375,0.25,0.006761123898506039,0.9938088819354729,0.925,0.9650000000000001
seed1,scratch,warm,gap_endpoint,one_point,0.4088510720618336,0.0015486171722414177,0.037783992576599236,0.0,0.0,0.0010242020344732527,0.9938088819354729,0.925,0.9650000000000001
seed1,scratch,warm,gap_endpoint,euclidean_two_point,0.38876208438586896,0.0011161869049072237,0.05526058481216443,0.0,0.0,0.0009965704908369388,0.9938088819354729,0.925,0.9650000000000001
seed1,scratch,warm,gap_endpoint,fisher_two_point,0.379678951960085,0.0015486171722414177,0.055292238864898736,0.0,0.0,0.0010350963482854902,0.9938088819354729,0.925,0.9650000000000001
seed1,scratch,scratch,anchor_gap_endpoint,one_point,0.5768001694951915,0.010719831085205023,0.112743684310913,0.033125,0.125,0.004782029454231103,0.996728622048933,0.9,0.96
seed1,scratch,scratch,anchor_gap_endpoint,euclidean_two_point,0.5817408978052382,0.010719831085205023,0.11607303623199457,0.033125,0.125,0.004782029454231103,0.996728622048933,0.9,0.96
seed1,scratch,scratch,anchor_gap_endpoint,fisher_two_point,0.5783777905569084,0.010719831085205023,0.13403816051483144,0.033125,0.125,0.004659873835563483,0.996728622048933,0.9,0.96
