epoch,lr-Adam,step,time/inter_step (ms),time/intra_step (ms),train/bopo_loss,train/bopo_pair_count,train/loss,train/max_reward,train/reward
,0.0001,0,,,,,,,
,,49,,382.7016353607178,,,,,
,,49,24.190425872802734,,,,,,
0,,49,,,0.5543403625488281,720.0,0.5543403625488281,-13.976829528808594,-17.566146850585938
,,99,,382.0910453796387,,,,,
,,99,25.1922607421875,,,,,,
0,,99,,,0.5195510983467102,720.0,0.5195510983467102,-12.839705467224121,-16.831449508666992
,,149,,381.9234371185303,,,,,
,,149,24.95574951171875,,,,,,
0,,149,,,0.5080514550209045,720.0,0.5080514550209045,-12.213705062866211,-16.454261779785156
,,199,,382.82275199890137,,,,,
,,199,25.798320770263672,,,,,,
0,,199,,,0.4990861713886261,720.0,0.4990861713886261,-11.81959056854248,-16.19239044189453
,,249,,381.86001777648926,,,,,
,,249,25.04134178161621,,,,,,
0,,249,,,0.5002463459968567,720.0,0.5002463459968567,-11.64655876159668,-15.687742233276367
,,299,,379.9116611480713,,,,,
,,299,25.612354278564453,,,,,,
0,,299,,,0.470505028963089,720.0,0.470505028963089,-11.301725387573242,-15.917652130126953
,,349,,379.55570220947266,,,,,
,,349,22.79210090637207,,,,,,
0,,349,,,0.46506765484809875,720.0,0.46506765484809875,-11.204849243164062,-16.11673927307129
,,399,,375.9467601776123,,,,,
,,399,26.419878005981445,,,,,,
0,,399,,,0.4364532232284546,720.0,0.4364532232284546,-11.067931175231934,-17.09608268737793
,,449,,375.85926055908203,,,,,
,,449,25.072813034057617,,,,,,
0,,449,,,0.3946959674358368,720.0,0.3946959674358368,-10.746597290039062,-17.82274055480957
,,499,,379.702091217041,,,,,
,,499,28.542518615722656,,,,,,
0,,499,,,0.3910013437271118,720.0,0.3910013437271118,-10.752863883972168,-18.194801330566406
,,549,,384.51361656188965,,,,,
,,549,25.035381317138672,,,,,,
0,,549,,,0.38102298974990845,720.0,0.38102298974990845,-10.644918441772461,-18.583885192871094
,,599,,372.3158836364746,,,,,
,,599,25.33721923828125,,,,,,
0,,599,,,0.40427127480506897,720.0,0.40427127480506897,-10.528219223022461,-17.779399871826172
,,649,,372.6201057434082,,,,,
,,649,25.510549545288086,,,,,,
0,,649,,,0.39747875928878784,720.0,0.39747875928878784,-10.439790725708008,-17.395477294921875
,,699,,422.0917224884033,,,,,
,,699,25.82693099975586,,,,,,
0,,699,,,0.39506787061691284,720.0,0.39506787061691284,-10.514304161071777,-17.490192413330078
,,749,,375.2737045288086,,,,,
,,749,23.30470085144043,,,,,,
0,,749,,,0.3753339350223541,720.0,0.3753339350223541,-10.402055740356445,-17.722461700439453
,,799,,382.6882839202881,,,,,
,,799,25.298595428466797,,,,,,
0,,799,,,0.316413015127182,720.0,0.316413015127182,-10.298787117004395,-19.908672332763672
,,849,,372.73120880126953,,,,,
,,849,24.998903274536133,,,,,,
0,,849,,,0.3314306139945984,720.0,0.3314306139945984,-10.397907257080078,-19.306114196777344
,,899,,372.85518646240234,,,,,
,,899,25.429248809814453,,,,,,
0,,899,,,0.35217544436454773,720.0,0.35217544436454773,-10.452485084533691,-18.688129425048828
