length,steps,rho_p_euclidean,rho_fisher,delta_rho,false20_p_euclidean,false20_fisher,false20_reduction,distance_rho,top1_agreement,minimum_probability,maximum_tangent_sum_error,maximum_substep_length_error
0.06,30,0.7075034413029646,0.7076512387402367,0.00014779743727211248,0.0673076923076923,0.0673076923076923,0.0,0.9997360375584314,0.9230769230769231,0.004916266327070937,1.4551915228366852e-10,8.725156014355306e-13
0.1,30,0.7067134117699748,0.7072125766151249,0.0004991648451501129,0.06666666666666667,0.06474820143884892,0.001918465227817745,0.9995139856493117,0.9384615384615385,0.0025154683093643656,1.382431946694851e-10,4.1103405401532456e-13
0.2,30,0.6976631001612226,0.6921190536769605,-0.0055440464842620996,0.07511737089201878,0.07692307692307693,-0.0018057060310581463,0.9972311925009416,0.9692307692307692,3.1216939064079734e-08,1.7462298274040222e-10,2.4248311691899005e-13
0.4,30,0.6405020568953531,0.6228074601318314,-0.017694596763521697,0.1388235294117647,0.1291866028708134,0.009636926540951302,0.9884473325177847,0.9076923076923077,5.967540291661195e-43,1.8917489796876907e-10,0.01268070734255634
0.1,60,0.7064096041073109,0.707532950237014,0.0011233461297031067,0.06619385342789598,0.06839622641509434,-0.002202372987198359,0.9995319147855423,0.9230769230769231,0.002515457530052606,1.6007106751203537e-10,1.0018793520499836e-12
