length,steps,bank,candidate,probe,geometry,initial_cosine,max_sum_error,max_step_error,minimum_probability,stationary_fraction,endpoint_fr_distance
0.06,30,scratch,3,9,p_euclidean,1.0,3.3306690738754696e-16,4.597524617955262e-13,0.008989128358895069,0.0,0.05999999985449276
0.06,30,scratch,3,9,fisher,1.0,3.469446951953614e-18,4.597524617955262e-13,0.00902080958251461,0.0,0.05999281133950886
0.06,30,scratch,3,10,p_euclidean,1.0,2.0816681711721685e-16,4.597524617955262e-13,0.008988993339569757,0.0,0.05999999985532185
0.06,30,scratch,3,10,fisher,1.0,1.3010426069826053e-18,4.597524617955262e-13,0.009020686314549354,0.0,0.05999281122117898
0.06,30,scratch,3,11,p_euclidean,1.0,2.7755575615628914e-16,4.597524617955262e-13,0.008989006632833712,0.0,0.059999999855070166
0.06,30,scratch,3,11,fisher,1.0,1.734723475976807e-18,4.597524617955262e-13,0.00902069762775147,0.0,0.05999281137845119
0.06,30,scratch,3,12,p_euclidean,1.0,2.220446049250313e-16,4.597524617955262e-13,0.008988986578613595,0.0,0.05999999985257549
0.06,30,scratch,3,12,fisher,1.0,2.6020852139652106e-18,4.28426391585468e-13,0.009020678231601064,0.0,0.05999281116107749
0.06,30,scratch,3,13,p_euclidean,0.9999999999999999,4.371503159461554e-16,2.377074231896259e-13,0.00898912957036737,0.0,0.05999999985473705
0.06,30,scratch,3,13,fisher,0.9999999999999999,2.168404344971009e-18,4.597524617955262e-13,0.009020808806830616,0.0,0.05999281146662668
0.06,30,scratch,3,14,p_euclidean,1.0000000000000002,2.636779683484747e-16,4.597524617955262e-13,0.008989030099364304,0.0,0.05999999985400419
0.06,30,scratch,3,14,fisher,1.0000000000000002,1.734723475976807e-18,4.597524617955262e-13,0.009020720030785212,0.0,0.059992811089271104
0.06,30,scratch,3,15,p_euclidean,1.0,3.3306690738754696e-16,4.28426391585468e-13,0.008989123328278639,0.0,0.0599999998534564
0.06,30,scratch,3,15,fisher,1.0,2.3852447794681098e-18,2.377074231896259e-13,0.00902080290133005,0.0,0.05999281141499478
0.06,30,scratch,4,0,p_euclidean,0.9999999999999999,1.4210854715202004e-14,4.597524617955262e-13,0.008990794026896988,0.0,0.059999999341744464
0.06,30,scratch,4,0,fisher,0.9999999999999999,1.5265566588595902e-16,4.597524617955262e-13,0.009022378987135688,0.0,0.05999280813336343
0.06,30,scratch,4,1,p_euclidean,0.9999999999999998,1.687538997430238e-14,4.597524617955262e-13,0.008987838578651555,0.0,0.05999999959127121
0.06,30,scratch,4,1,fisher,0.9999999999999998,1.249000902703301e-16,4.597524617955262e-13,0.009019610383700843,0.0,0.05999281893560134
0.06,30,scratch,4,2,p_euclidean,0.9999999999999999,1.5987211554602254e-14,4.597524617955262e-13,0.008992289608335235,0.0,0.05999999938074875
0.06,30,scratch,4,2,fisher,0.9999999999999999,1.1102230246251565e-16,4.597524617955262e-13,0.009023685385536525,0.0,0.05999280343373505
0.06,30,scratch,4,3,p_euclidean,1.0,1.7763568394002505e-14,4.597524617955262e-13,0.008982333067527656,0.0,0.059999999400617315
0.06,30,scratch,4,3,fisher,1.0,1.5265566588595902e-16,4.28426391585468e-13,0.009014723256291882,0.0,0.05999281169175922
0.06,30,scratch,4,4,p_euclidean,1.0,9.769962616701378e-15,4.597524617955262e-13,0.008981258634136121,0.0,0.059999999422107056
