[2026-03-01 17:34:30,481] INFO:fitness.free_loss_fidelity: Stage3 offline mini-train start gen=18 pair_index=23 K=200 seed=12345 valid_sizes=[100] baseline_json=baseline/mini_eval/baseline_minitrain_tsp100_K200.json
[2026-03-01 17:34:30,498] INFO:fitness.free_loss_fidelity: RL4CO free-loss (step-mode): f1_steps=200, f2_steps=0, total_steps=200, train_problem_size=100, rollouts=100, batch_size=64, device=cuda:1, env=tsp
[2026-03-01 17:34:30,836] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 1/200: score=36.122910 (avg=36.122910), loss=0.728391 (avg=0.728391), pairs_step=1024, pairs_total=1024
[2026-03-01 17:34:36,833] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 20/200: score=10.176567 (avg=12.903221), loss=0.498192 (avg=0.502376), pairs_step=1024, pairs_total=20480
[2026-03-01 17:34:43,158] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 40/200: score=9.493062 (avg=11.319638), loss=0.500525 (avg=0.499241), pairs_step=1024, pairs_total=40960
[2026-03-01 17:34:49,463] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 60/200: score=9.413321 (avg=10.682686), loss=0.487035 (avg=0.501564), pairs_step=1024, pairs_total=61440
[2026-03-01 17:34:55,767] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 80/200: score=9.179110 (avg=10.326559), loss=0.493796 (avg=0.499162), pairs_step=1024, pairs_total=81920
[2026-03-01 17:35:02,114] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 100/200: score=9.006972 (avg=10.094160), loss=0.500267 (avg=0.498878), pairs_step=1024, pairs_total=102400
[2026-03-01 17:35:08,422] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 120/200: score=8.979715 (avg=9.922499), loss=0.475996 (avg=0.496984), pairs_step=1024, pairs_total=122880
[2026-03-01 17:35:14,737] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 140/200: score=9.013700 (avg=9.792239), loss=0.494248 (avg=0.496543), pairs_step=1024, pairs_total=143360
[2026-03-01 17:35:21,052] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 160/200: score=8.929103 (avg=9.689773), loss=0.542525 (avg=0.496731), pairs_step=1024, pairs_total=163840
