dataset,descriptor,bank,rho_scratch,rho_warm,rho_joint,nn_primary_median,false20
matched,one_point,scratch,0.662656847946014,0.7081837176879526,0.7039848188365154,0.02525575457261633,0.01910828025477707
matched,one_point,epoch135,0.8028680648606057,0.8522482870093354,0.8432248652673294,0.02525575457261633,0.012738853503184714
matched,one_point,product,0.7441843846213827,0.8008091924260888,0.7849126560330912,0.02525575457261633,0.019230769230769232
matched,legacy_logit_two_point,scratch,0.6626438621833008,0.7080765245386097,0.7038404192707426,0.02525575457261633,0.01910828025477707
matched,legacy_logit_two_point,epoch135,0.8069940109081083,0.8554973927511864,0.8465118323799549,0.02525575457261633,0.01282051282051282
matched,legacy_logit_two_point,product,0.7448121105143365,0.8011054752888254,0.7853188522238163,0.02525575457261633,0.019230769230769232
matched,legacy_fisher_one_step,scratch,0.6637813477364071,0.7089764762084865,0.7047458467447492,0.02525575457261633,0.01910828025477707
matched,legacy_fisher_one_step,epoch135,0.8112421571104629,0.8605695849922701,0.8499151779732071,0.02525575457261633,0.01282051282051282
matched,legacy_fisher_one_step,product,0.7470998201695633,0.8030854636328012,0.7872362558456821,0.02525575457261633,0.019230769230769232
matched,p_euclidean_flow_30,scratch,0.6643573947012416,0.709373272339497,0.7052031781129614,0.02525575457261633,0.01910828025477707
matched,p_euclidean_flow_30,epoch135,0.8119986181629396,0.8610009729079718,0.8504471595545681,0.02525575457261633,0.01282051282051282
matched,p_euclidean_flow_30,product,0.7462828444697039,0.802650030783685,0.7863183675126262,0.02525575457261633,0.019230769230769232
matched,p_euclidean_endpoint_30,scratch,0.6642801230879726,0.7091971121632908,0.7048940105840392,0.02525575457261633,0.01910828025477707
matched,p_euclidean_endpoint_30,epoch135,0.8146272175621182,0.8613031467126242,0.852321345106246,0.02525575457261633,0.012738853503184714
matched,p_euclidean_endpoint_30,product,0.7469378349604328,0.8026254708717624,0.7867059937138624,0.02525575457261633,0.019230769230769232
matched,fisher_flow_30,scratch,0.6637501554056205,0.7087912587408726,0.7045907704396664,0.02525575457261633,0.01910828025477707
matched,fisher_flow_30,epoch135,0.8127184712949416,0.8618108107956166,0.8511475394421963,0.02525575457261633,0.01282051282051282
matched,fisher_flow_30,product,0.7469689372946476,0.8028650539748898,0.786935470602974,0.02525575457261633,0.019230769230769232
matched,fisher_endpoint_30,scratch,0.6634317092067772,0.7083439654909958,0.7040264013151402,0.02525575457261633,0.019230769230769232
matched,fisher_endpoint_30,epoch135,0.8152983774538142,0.8627543816144541,0.8531432366548511,0.02525575457261633,0.01282051282051282
matched,fisher_endpoint_30,product,0.7473972688024385,0.8026138126218155,0.7870610034381677,0.02525575457261633,0.019230769230769232
matched,p_euclidean_flow_60,scratch,0.6643273493483522,0.7093910589442197,0.7051738800203802,0.02525575457261633,0.01910828025477707
matched,p_euclidean_flow_60,epoch135,0.8120072548375193,0.8610297427423763,0.8504631331273523,0.02525575457261633,0.01282051282051282
matched,p_euclidean_flow_60,product,0.74633843170978,0.8027129021295322,0.786378785598272,0.02525575457261633,0.019230769230769232
matched,p_euclidean_endpoint_60,scratch,0.6641548520607043,0.7091019628711345,0.7047610464468325,0.02525575457261633,0.019230769230769232
matched,p_euclidean_endpoint_60,epoch135,0.8145613583615164,0.8612443375865134,0.8522291833084613,0.02525575457261633,0.012738853503184714
matched,p_euclidean_endpoint_60,product,0.7468060617878655,0.8025191961549464,0.7865651309198877,0.02525575457261633,0.019230769230769232
matched,fisher_flow_60,scratch,0.663737367921608,0.7087669250222561,0.7045680035912708,0.02525575457261633,0.01910828025477707
matched,fisher_flow_60,epoch135,0.8128050285692088,0.861737198150679,0.8512395069369756,0.02525575457261633,0.01282051282051282
matched,fisher_flow_60,product,0.7469341672497065,0.8028690293941589,0.7869027528542694,0.02525575457261633,0.019230769230769232
matched,fisher_endpoint_60,scratch,0.6634002607325067,0.7083218451041379,0.7039961893407088,0.02525575457261633,0.019230769230769232
matched,fisher_endpoint_60,epoch135,0.815364219812171,0.8628645266074721,0.8532096983070089,0.02525575457261633,0.01282051282051282
matched,fisher_endpoint_60,product,0.747445846785862,0.8026727087750578,0.7871025523696883,0.02525575457261633,0.019230769230769232
external,one_point,scratch,0.6405938525213741,,,0.006617299652099895,0.07783018867924528
external,one_point,epoch135,0.7177570102445419,,,0.006617299652099895,0.018561484918793503
external,one_point,product,0.7088571885014262,,,0.006617299652099895,0.0673076923076923
external,legacy_logit_two_point,scratch,0.6416144980688705,,,0.006617299652099895,0.07345971563981042
external,legacy_logit_two_point,epoch135,0.71815472131018,,,0.00731441421508805,0.020737327188940093
external,legacy_logit_two_point,product,0.7099129599718985,,,0.006888439178466488,0.0673076923076923
external,legacy_fisher_one_step,scratch,0.6398034175776289,,,0.006888439178466488,0.0645933014354067
external,legacy_fisher_one_step,epoch135,0.7185506933511077,,,0.006617299652099895,0.017699115044247787
external,legacy_fisher_one_step,product,0.7075325643638288,,,0.006888439178466488,0.0673076923076923
external,p_euclidean_flow_30,scratch,0.6396131898908088,,,0.006617299652099895,0.06235011990407674
external,p_euclidean_flow_30,epoch135,0.7185862119014352,,,0.006617299652099895,0.01873536299765808
external,p_euclidean_flow_30,product,0.7078215113249116,,,0.006888439178466488,0.0673076923076923
external,p_euclidean_endpoint_30,scratch,0.6394559769312663,,,0.006143544387817279,0.06682577565632458
external,p_euclidean_endpoint_30,epoch135,0.7186812027208243,,,0.006888439178466488,0.011961722488038277
external,p_euclidean_endpoint_30,product,0.707176589620811,,,0.006888439178466488,0.0673076923076923
external,fisher_flow_30,scratch,0.6394122616348453,,,0.006888439178466488,0.06682577565632458
external,fisher_flow_30,epoch135,0.7187479226101883,,,0.006888439178466488,0.01627906976744186
external,fisher_flow_30,product,0.7080970312231155,,,0.007681481933593748,0.0673076923076923
external,fisher_endpoint_30,scratch,0.6397705273907591,,,0.006888439178466488,0.0645933014354067
external,fisher_endpoint_30,epoch135,0.7194363315923372,,,0.006888439178466488,0.01201923076923077
external,fisher_endpoint_30,product,0.7080513285935597,,,0.007488506698608344,0.0673076923076923
external,p_euclidean_flow_60,scratch,0.6398856693820725,,,0.006888439178466488,0.06904761904761905
external,p_euclidean_flow_60,epoch135,0.7183479485705302,,,0.006888439178466488,0.017429193899782137
external,p_euclidean_flow_60,product,0.7075182514724988,,,0.007681481933593748,0.0673076923076923
external,p_euclidean_endpoint_60,scratch,0.6396879548186348,,,0.006888439178466488,0.0645933014354067
external,p_euclidean_endpoint_60,epoch135,0.7175947322447486,,,0.00731441421508805,0.019138755980861243
external,p_euclidean_endpoint_60,product,0.7071926963557258,,,0.007488506698608344,0.0673076923076923
external,fisher_flow_60,scratch,0.6395500388998665,,,0.006888439178466488,0.06904761904761905
external,fisher_flow_60,epoch135,0.7187058092616748,,,0.006888439178466488,0.015521064301552107
external,fisher_flow_60,product,0.7078608979574249,,,0.007488506698608344,0.0673076923076923
external,fisher_endpoint_60,scratch,0.6400982847313073,,,0.006888439178466488,0.07345971563981042
external,fisher_endpoint_60,epoch135,0.7193841760468159,,,0.006888439178466488,0.016786570743405275
external,fisher_endpoint_60,product,0.7083159126199531,,,0.006888439178466488,0.0673076923076923
