group,method,spearman_rho,normalized_nn_error,top1_agreement,top5_overlap,mean_nn_actual_distance,mean_random_actual_distance
matched,one_point,0.9706644257781539,0.5285437204013551,0.5625,0.8125,0.34367018656378956,0.6502209245865603
matched,euclidean_two_point,0.9707200872344351,0.5285437204013551,0.5625,0.8125,0.34367018656378956,0.6502209245865603
matched,fisher_two_point,0.9708538281385355,0.5285437204013551,0.5625,0.8125,0.34367018656378956,0.6502209245865603
external,one_point,0.6756580763959226,0.5189868257470587,0.5,0.6875,0.24925965772042585,0.48028128144029003
external,euclidean_two_point,0.6750447308953479,0.5190086736766472,0.5,0.6875,0.2492701508720454,0.48028128144029003
external,fisher_two_point,0.672989701287386,0.5189868257470587,0.5625,0.675,0.24925965772042585,0.48028128144029003
pooled,one_point,0.8700626675541544,0.4581625531968153,0.53125,0.55625,0.26185307614261344,0.5715287605142357
pooled,euclidean_two_point,0.8698800870417558,0.4581717330949627,0.53125,0.56875,0.26185832271842324,0.5715287605142357
pooled,fisher_two_point,0.8697654794560868,0.4581625531968153,0.53125,0.56875,0.26185307614261344,0.5715287605142357
