source,key,score,rank_index,loss,gradient_norm,parameter_step_norm,response_norm,elapsed_seconds,error
matched,g_ref::f004_009_8bc47121,-0.02145215148925761,0,0.6802793145179749,2.487769893498383,0.617097826475034,188.63927242137743,2.705889800003206,
matched,g_ref::f009_009_11a243e4,-0.013208696746825677,3,0.37800822329096534,0.9494459565624039,0.626811300175383,192.98047839383838,2.9697947000022396,
matched,g_ref::f001_006_7a9533f8,-0.010966670608520523,5,0.6785706281661987,3.0963874295846745,0.6140076912339503,186.51930134966986,3.01410400000168,
matched,g_ref::f009_012_fe608485,-0.007863076782226308,8,0.6713508054373128,1.254541784240686,0.6247238841929464,183.0120515476347,3.0542195000016363,
matched,g_ref::f008_013_f9624f1c,-0.0066167686462397235,10,0.4741575634809174,1.0455108236994883,0.6322765822617986,194.4549992472863,2.995847899997898,
matched,g_ref::f007_001_f0cb97b6,-0.006049733734130314,13,0.6727384379658841,1.5486767015360026,0.6244890078938726,200.9288828642809,2.7717757999998867,
matched,g_ref::f008_015_7ce47577,-0.0047830284118650646,16,0.6719576827094222,1.4562425913942,0.6273511595781961,205.98876775554496,2.8524222999985795,
matched,g_ref::f004_005_d9e9b2d8,-0.0030386592864988238,18,6864.951746641751,14423.397240280488,0.6327187745314399,199.36952518709288,2.5082542000018293,
matched,g_ref::f009_001_7ef2567f,-0.001981002807616594,21,0.6966291969109473,1.6231595376547665,0.6236092247007892,194.6591660531339,3.633705699998245,
matched,g_ref::f007_002_3d53a833,-0.0011698871612542128,23,0.6891513513908449,1.808273126343698,0.6195697688206367,195.60252759076695,2.8169338000006974,
matched,g_ref::f009_011_064cf83f,0.005766624450683988,26,0.4713339898589031,0.37949520336556464,0.6098953735004857,203.49467483413264,2.88606019999861,
matched,g_ref::f004_010_768ce53b,0.016811165237427428,29,6855.9892578125,370.06675826983593,0.6168036371517398,224.60798928471863,2.7974671999982093,
matched,g_ref::f007_007_10a7f956,0.03040526695251522,31,0.6858863079513136,1.8950000812305465,0.6244801808665216,224.88696970120293,2.9523026999959257,
matched,g_ref::f008_014_20037da3,0.22672706680297905,34,3188.0803188713385,82483.81609904066,0.6293659399899901,159.48200907884817,2.5766645000039716,
matched,g_ref::f002_014_ec78f8e4,0.4690059169769287,36,1.1916037968119428,31.14402951809396,0.6230955067097711,145.14923383675284,2.7962072000009357,
matched,g_ref::f004_012_52eed4b6,1.1220219722747804,39,1.300693392753601,35.31534380676812,0.6301825342407363,159.062654812014,2.755874700000277,
external,g_ref::f005_006_8b004cd2,-0.042149878692626874,0,0.6582695245742798,2.352801778866551,0.6171164063115397,173.55140876819763,3.162812499998836,
external,g_ref::f005_014_7eb4ebc1,-0.033328799438476775,4,6691.5322265625,17743.56019453949,0.6283269537008157,199.31442184817962,2.542532300001767,
external,g_ref::f009_005_80849452,-0.031768030929565594,9,-0.06786155700683594,2.8838986808727585,0.6229173408863666,168.4262037078134,3.0238850000023376,
external,g_ref::f002_005_87e4506f,-0.026153978347778217,13,0.676461935043335,1.7942655380968195,0.6223554669426519,199.37931255306867,2.89314739999827,
external,g_ref::f005_005_1a0ce1dc,-0.01444534988403312,17,0.6704919934272766,1.5471572484545377,0.6234599015327658,178.8623090686614,2.780502500005241,
external,g_ref::f005_011_59253fc2,-0.005547791290283044,21,0.6704919934272766,1.5471572484545377,0.6234599015327658,178.8623090686614,2.951560599998629,
external,g_ref::f004_014_1962a7f8,-0.0025282855987547315,26,6601.93212890625,15071.028107676182,0.6286472056278261,180.4597251075503,2.7686456000010367,
external,g_ref::f006_007_6ab77f91,-0.00046483917236361805,30,0.6704919934272766,1.5471572484545377,0.6234599015327658,178.8623090686614,2.9188172000067425,
external,g_ref::f008_012_84415412,0.0013766220092770176,34,0.6704956293106079,1.5467187515901482,0.6234778156216934,178.89850168259696,2.9419157000011182,
external,g_ref::f001_003_832279b4,0.005083121490478515,38,0.6704919934272766,1.5471572484545377,0.6234599015327658,178.8623090686614,2.70619219999935,
external,g_ref::f007_012_ae7d31e8,0.021124951553344484,43,-0.5188100934028625,0.7633141239418958,0.6206715622022208,195.47013304768117,2.919329900003504,
external,g_ref::f005_001_4d742f10,0.03407954330444296,47,6208.32373046875,49770.08592720886,0.6107045866821231,177.09828570639968,2.61791500000254,
external,g_ref::f000_008_908e311d,0.041994724655151305,51,0.9592546820640564,2.7120090162620287,0.621245528526914,214.75302045320464,2.870760400001018,
external,g_ref::f007_006_6bf72c72,0.05064679107666015,55,0.6918864250183105,0.15013241867278063,0.5999185661507596,244.35521830767163,3.0953824000025634,
external,g_ref::f002_009_bf8ce1cc,0.2951874870300295,60,-0.5664916634559631,72.55900168610295,0.6180861276266564,164.39665967030848,2.656016000000818,
external,g_ref::f008_014_36722685,3.1618976264953615,64,-0.08625602722167969,1.5739348897574044,0.6301374665455921,199.24223661881123,2.9493557999958284,
