epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/po_loss,train/po_pref_rate,train/reward,val/max_reward,val/reward
0,19,,,,,,,,,-106.31300354003906,-111.72050476074219
,20,374.1948416233063,,,,,,,,,
1,39,,,,,,,,,-112.5739974975586,-118.59961700439453
,40,365.9614589214325,,,,,,,,,
,49,,,9990.210771560669,,,,,,,
,49,,36.651611328125,,,,,,,,
2,49,,,,0.2539789080619812,-111.6199951171875,0.2539789080619812,0.4354513883590698,-117.56500244140625,,
2,59,,,,,,,,,-113.14199829101562,-119.04403686523438
,60,389.8260495662689,,,,,,,,,
3,79,,,,,,,,,-115.85900115966797,-121.88521575927734
,80,392.4558217525482,,,,,,,,,
,99,,,10079.777717590332,,,,,,,
,99,,51.241159439086914,,,,,,,,
4,99,,,,0.23692414164543152,-113.93999481201172,0.23692414164543152,0.43253472447395325,-119.35417175292969,,
4,99,,,,,,,,,-114.12100219726562,-119.67637634277344
,100,393.5624825954437,,,,,,,,,
5,119,,,,,,,,,-114.28800201416016,-119.86603546142578
,120,390.9352343082428,,,,,,,,,
6,139,,,,,,,,,-113.8010025024414,-119.40508270263672
,140,391.4798891544342,,,,,,,,,
,149,,,9985.25357246399,,,,,,,
,149,,58.2423210144043,,,,,,,,
7,149,,,,0.23978665471076965,-113.55999755859375,0.23978665471076965,0.43329861760139465,-119.00749969482422,,
7,159,,,,,,,,,-113.86399841308594,-119.32762145996094
,160,413.0383803844452,,,,,,,,,
8,179,,,,,,,,,-112.39199829101562,-117.8913345336914
,180,411.1441287994385,,,,,,,,,
,199,,,10530.234575271606,,,,,,,
,199,,64.69273567199707,,,,,,,,
9,199,,,,0.23456062376499176,-112.55999755859375,0.23456062376499176,0.4329861104488373,-117.82333374023438,,
9,199,,,,,,,,,-111.80899810791016,-117.1800765991211
,200,394.3299114704132,,,,,,,,,
10,219,,,,,,,,,-112.87300109863281,-118.29732513427734
,220,392.2434914112091,,,,,,,,,
11,239,,,,,,,,,-111.4530029296875,-116.7514419555664
,240,419.22143483161926,,,,,,,,,
,249,,,12641.128301620483,,,,,,,
,249,,43.578386306762695,,,,,,,,
12,249,,,,0.24461877346038818,-112.25999450683594,0.24461877346038818,0.4345138967037201,-117.5875015258789,,
12,259,,,,,,,,,-111.59700012207031,-116.884765625
,260,424.3342618942261,,,,,,,,,
13,279,,,,,,,,,-110.8030014038086,-116.05375671386719
,280,411.95854115486145,,,,,,,,,
,299,,,10879.48727607727,,,,,,,
,299,,53.70497703552246,,,,,,,,
14,299,,,,0.23908565938472748,-110.33999633789062,0.23908565938472748,0.43329861760139465,-115.44416809082031,,
14,299,,,,,,,,,-110.5979995727539,-115.74275207519531
,300,416.2470953464508,,,,,,,,,
15,319,,,,,,,,,-110.74299621582031,-116.01837921142578
,320,398.6366822719574,,,,,,,,,
16,339,,,,,,,,,-109.73400115966797,-114.83366394042969
,340,408.5730595588684,,,,,,,,,
,349,,,9908.392190933228,,,,,,,
,349,,39.27946090698242,,,,,,,,
17,349,,,,0.23836541175842285,-112.18000030517578,0.23836541175842285,0.4319097399711609,-117.71833801269531,,
17,359,,,,,,,,,-112.58999633789062,-118.04307556152344
,360,400.47007179260254,,,,,,,,,
18,379,,,,,,,,,-109.66100311279297,-114.7579116821289
,380,381.917498588562,,,,,,,,,
,399,,,10146.679639816284,,,,,,,
,399,,76.9052505493164,,,,,,,,
19,399,,,,0.23859697580337524,-109.1199951171875,0.23859697580337524,0.43020835518836975,-114.19917297363281,,
19,399,,,,,,,,,-109.55500030517578,-114.63146209716797
,400,387.02755308151245,,,,,,,,,
20,419,,,,,,,,,-112.19499969482422,-117.51295471191406
,420,384.01934695243835,,,,,,,,,
21,439,,,,,,,,,-111.63700103759766,-116.89886474609375
,440,379.063600063324,,,,,,,,,
,449,,,9708.216190338135,,,,,,,
,449,,37.22786903381348,,,,,,,,
22,449,,,,0.23266348242759705,-109.95999908447266,0.23266348242759705,0.4309374988079071,-115.28666687011719,,
22,459,,,,,,,,,-110.69400024414062,-115.86200714111328
,460,392.98743653297424,,,,,,,,,
23,479,,,,,,,,,-110.2750015258789,-115.49410247802734
,480,436.67925095558167,,,,,,,,,
,499,,,10419.671058654785,,,,,,,
,499,,51.89824104309082,,,,,,,,
24,499,,,,0.23551473021507263,-110.75999450683594,0.23551473021507263,0.4313541650772095,-116.04750061035156,,
24,499,,,,,,,,,-110.37100219726562,-115.55803680419922
,500,436.3292667865753,,,,,,,,,
25,519,,,,,,,,,-110.78099822998047,-115.97565460205078
,520,386.65157103538513,,,,,,,,,
26,539,,,,,,,,,-110.21800231933594,-115.31884002685547
,540,426.9723904132843,,,,,,,,,
,549,,,10054.996252059937,,,,,,,
,549,,38.90800476074219,,,,,,,,
27,549,,,,0.23767566680908203,-109.63999938964844,0.23767566680908203,0.43020835518836975,-114.6483383178711,,
27,559,,,,,,,,,-110.9800033569336,-116.07408905029297
,560,386.45115065574646,,,,,,,,,
28,579,,,,,,,,,-110.2969970703125,-115.46907806396484
,580,447.7188501358032,,,,,,,,,
,599,,,9764.261960983276,,,,,,,
,599,,52.71577835083008,,,,,,,,
29,599,,,,0.2364404797554016,-109.73999786376953,0.2364404797554016,0.42916667461395264,-114.72833251953125,,
29,599,,,,,,,,,-109.677001953125,-114.68791961669922
,600,385.1447563171387,,,,,,,,,
30,619,,,,,,,,,-110.19300079345703,-115.3271255493164
,620,380.5207591056824,,,,,,,,,
31,639,,,,,,,,,-110.60399627685547,-115.70223999023438
,640,379.75277638435364,,,,,,,,,
,649,,,10692.785739898682,,,,,,,
,649,,39.21055793762207,,,,,,,,
32,649,,,,0.2255532592535019,-112.29999542236328,0.2255532592535019,0.43215277791023254,-117.42833709716797,,
32,659,,,,,,,,,-109.66400146484375,-114.61546325683594
,660,386.20818042755127,,,,,,,,,
33,679,,,,,,,,,-109.59300231933594,-114.62713623046875
,680,403.5334873199463,,,,,,,,,
,699,,,10185.076713562012,,,,,,,
,699,,53.47847938537598,,,,,,,,
34,699,,,,0.24138106405735016,-109.18000030517578,0.24138106405735016,0.42875000834465027,-114.27000427246094,,
34,699,,,,,,,,,-110.46600341796875,-115.5845947265625
,700,379.15538263320923,,,,,,,,,
35,719,,,,,,,,,-111.18800354003906,-116.32074737548828
,720,378.9313361644745,,,,,,,,,
36,739,,,,,,,,,-109.28700256347656,-114.43599700927734
,740,372.1981670856476,,,,,,,,,
,749,,,10020.775318145752,,,,,,,
,749,,43.01786422729492,,,,,,,,
37,749,,,,0.23192520439624786,-110.13999938964844,0.23192520439624786,0.4302777945995331,-115.10750579833984,,
37,759,,,,,,,,,-111.11900329589844,-116.37954711914062
,760,377.2926323413849,,,,,,,,,
38,779,,,,,,,,,-109.52100372314453,-114.42566680908203
,780,376.9162483215332,,,,,,,,,
,799,,,13205.121278762817,,,,,,,
,799,,90.64912796020508,,,,,,,,
39,799,,,,0.22703729569911957,-110.05999755859375,0.22703729569911957,0.42927083373069763,-114.77916717529297,,
39,799,,,,,,,,,-109.26799774169922,-114.35449981689453
,800,402.65783977508545,,,,,,,,,
40,819,,,,,,,,,-109.95600128173828,-115.0201187133789
,820,376.7687277793884,,,,,,,,,
41,839,,,,,,,,,-110.5,-115.6030502319336
,840,394.1558530330658,,,,,,,,,
,849,,,12975.560188293457,,,,,,,
,849,,53.85756492614746,,,,,,,,
42,849,,,,0.22593870759010315,-108.91999816894531,0.22593870759010315,0.4295139014720917,-113.7800064086914,,
42,859,,,,,,,,,-110.31999969482422,-115.50312805175781
,860,396.48805689811707,,,,,,,,,
43,879,,,,,,,,,-112.13600158691406,-117.36433410644531
,880,401.48777627944946,,,,,,,,,
