epoch,step,train/delta_nll,train/diversity_edge,train/diversity_node,train/ga_cost_gain,train/ga_cost_gain_rel,train/loss,train/max_reward,train/reward,train/t_decode,train/t_diag,train/t_ga,train/t_total_raw,val/max_aug_reward,val/max_reward,val/reward
0,49,,,,,,-8.316067695617676,-12.13741683959961,-16.204545974731445,0.15094999969005585,0.0,0.0,0.24874304234981537,,,
0,99,,,,575.0,0.4076187014579773,-6.369839191436768,-10.219841003417969,-13.120668411254883,0.150937020778656,0.0,0.0,0.24872709810733795,,,
0,149,,,,575.0,0.4076187014579773,-5.197392463684082,-9.831027030944824,-12.053898811340332,0.15130461752414703,0.0,0.0,0.2486392706632614,,,
0,199,,,,575.0,0.4076187014579773,-4.94167947769165,-9.380576133728027,-11.591858863830566,0.151067852973938,0.0,0.0,0.24829329550266266,,,
0,249,,,,575.0,0.4076187014579773,-4.209596633911133,-9.102109909057617,-11.249176979064941,0.15235352516174316,0.0,0.0,0.25512978434562683,,,
0,299,,,,575.0,0.4076187014579773,-3.6024303436279297,-9.07586669921875,-11.049484252929688,0.15140314400196075,0.0,0.0,0.24870198965072632,,,
0,349,,,,575.0,0.4076187014579773,-3.8705601692199707,-8.4165678024292,-10.82690143585205,0.14977015554904938,0.0,0.0,0.2468203753232956,,,
0,399,,,,243.3179931640625,0.22398443520069122,-3.3447141647338867,-8.978876113891602,-10.728468894958496,0.15031521022319794,0.0,0.0,0.24998565018177032,,,
0,449,,,,229.4400177001953,0.21408876776695251,-3.4138689041137695,-8.811507225036621,-10.624547004699707,0.1500597447156906,0.0,0.0,0.24865171313285828,,,
0,499,,,,218.01499938964844,0.2062610387802124,-3.753274440765381,-8.757826805114746,-10.571120262145996,0.15009796619415283,0.0,0.0,0.24957148730754852,,,
0,549,,,,218.01499938964844,0.2062610387802124,-2.7015886306762695,-8.840517044067383,-10.506510734558105,0.14982351660728455,0.0,0.0,0.24872072041034698,,,
