seed,mid_mean,mid_std,full_mean,full_std,mid_ga_mean,mid_ga_std
0,-7.883584499359131,0.24072809517383575,-7.799830913543701,0.23462389409542084,-7.883584499359131,0.24072806537151337
1,-7.872092247009277,0.2446659803390503,-7.790585994720459,0.23889000713825226,-7.872092247009277,0.2446659952402115
2,-7.885765552520752,0.2496279776096344,-7.80761194229126,0.24734356999397278,-7.885765552520752,0.2496279925107956
3,-7.89270544052124,0.2491542100906372,-7.810797691345215,0.24501116573810577,-7.89270544052124,0.249154195189476
4,-7.893839359283447,0.24093857407569885,-7.809128284454346,0.23287378251552582,-7.8938398361206055,0.24093858897686005
