t,prefix_len,seed_count,mean_of_means,std_across_seeds,ci95_half_width
0.1,10,5,-8.406258010864258,0.006498767519683801,0.008069285661887362
0.3,30,5,-8.85141487121582,0.009362642350214738,0.011625255934319541
0.5,50,5,-8.989393424987792,0.011774287765481754,0.014619709222889767
0.7,70,5,-8.815358734130859,0.01500319500415355,0.018628927094688073
0.9,90,5,-8.32543888092041,0.00514319523477949,0.006386120358758861
