label,seed_count,mean_of_means,std_across_seeds,ci95_half_width
mid,5,-7.88559741973877,0.008731027065052533,0.010841001974018426
full,5,-7.803590965270996,0.0083969385590356,0.010426176303883516
mid_ga,5,-7.885597515106201,0.008731139598452762,0.010841141702690084
