epoch,lr-Adam,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/bopo_loss,train/bopo_pair_count,train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,0.0001,0,,,,,,,,,,,,
,,9,,,,,9024.31607246399,,,,,,,
,,9,,,,36.336421966552734,,,,,,,,
0,,9,,,,,,0.6715561747550964,160.0,0.6715561747550964,-105.4375,-110.48828125,,
,,19,,,,,8689.189195632935,,,,,,,
,,19,,,,40.45581817626953,,,,,,,,
0,,19,,,,,,0.6716451048851013,160.0,0.6716451048851013,-99.90625,-104.49349212646484,,
,,29,,,,,8631.640672683716,,,,,,,
,,29,,,,44.463396072387695,,,,,,,,
0,,29,,,,,,0.6786656975746155,160.0,0.6786656975746155,-96.9375,-101.63542175292969,,
0,,31,,,,,,,,,,,-95.60199737548828,-99.35694122314453
,,32,,,526.928041934967,,,,,,,,,
,0.0001,32,,,,,,,,,,,,
,,39,,,,,7463.487148284912,,,,,,,
,,39,,,,25.50196647644043,,,,,,,,
1,,39,,,,,,0.6936730742454529,160.0,0.6936730742454529,-96.8125,-101.19921875,,
,,49,,,,,7421.645164489746,,,,,,,
,,49,,,,29.529571533203125,,,,,,,,
1,,49,,,,,,0.6896781921386719,160.0,0.6896781921386719,-97.5,-101.58984375,,
,,59,,,,,7621.903657913208,,,,,,,
,,59,,,,25.882720947265625,,,,,,,,
1,,59,,,,,,0.6828187108039856,160.0,0.6828187108039856,-97.125,-101.15234375,,
1,,63,,,,,,,,,,,-94.6510009765625,-98.17841339111328
,,64,,,457.67295932769775,,,,,,,,,
,0.0001,64,,,,,,,,,,,,
,,69,,,,,7094.629287719727,,,,,,,
,,69,,,,32.64307975769043,,,,,,,,
2,,69,,,,,,0.6812881231307983,160.0,0.6812881231307983,-95.84375,-99.84114837646484,,
,,79,,,,,7276.617527008057,,,,,,,
,,79,,,,28.415918350219727,,,,,,,,
2,,79,,,,,,0.6813403964042664,160.0,0.6813403964042664,-95.84375,-99.94401550292969,,
,,89,,,,,7598.804950714111,,,,,,,
,,89,,,,25.799989700317383,,,,,,,,
2,,89,,,,,,0.6869136691093445,160.0,0.6869136691093445,-95.96875,-99.76953125,,
2,,95,,,,,,,,,,,-94.26599884033203,-97.81436920166016
,,96,,,449.42929339408875,,,,,,,,,
,0.0001,96,,,,,,,,,,,,
,,99,,,,,7124.105930328369,,,,,,,
,,99,,,,37.97125816345215,,,,,,,,
3,,99,,,,,,0.6818804144859314,160.0,0.6818804144859314,-95.25,-99.69271087646484,,
,,109,,,,,7453.227281570435,,,,,,,
,,109,,,,41.663408279418945,,,,,,,,
3,,109,,,,,,0.681676983833313,160.0,0.681676983833313,-94.875,-99.11589050292969,,
,,119,,,,,10727.624654769897,,,,,,,
,,119,,,,29.567718505859375,,,,,,,,
3,,119,,,,,,0.6827831864356995,160.0,0.6827831864356995,-96.4375,-100.87239837646484,,
3,,127,,,,,,,,,,,-95.45099639892578,-99.4884033203125
,,128,,,480.91018533706665,,,,,,,,,
,0.0001,128,,,,,,,,,,,,
,,129,,,,,11344.35510635376,,,,,,,
,,129,,,,31.368255615234375,,,,,,,,
4,,129,,,,,,0.6823233962059021,160.0,0.6823233962059021,-96.65625,-101.16536712646484,,
,,139,,,,,7963.491201400757,,,,,,,
,,139,,,,26.511192321777344,,,,,,,,
4,,139,,,,,,0.6924266219139099,160.0,0.6924266219139099,-96.28125,-100.44140625,,
,,149,,,,,8745.651721954346,,,,,,,
,,149,,,,42.45162010192871,,,,,,,,
4,,149,,,,,,0.6776707768440247,160.0,0.6776707768440247,-94.78125,-99.27083587646484,,
,,159,,,,,7624.972343444824,,,,,,,
,,159,,,,25.90155601501465,,,,,,,,
4,,159,,,,,,0.6854054927825928,40.0,0.6854054927825928,-94.75,-98.67708587646484,,
4,,159,,,,,,,,,,,-94.33699798583984,-97.91850280761719
,,160,,,480.90991473197937,,,,,,,,,
,0.0001,160,,,,,,,,,,,,
,,169,,,,,7515.629768371582,,,,,,,
,,169,,,,24.903059005737305,,,,,,,,
5,,169,,,,,,0.684755265712738,160.0,0.684755265712738,-96.09375,-100.578125,,
,,179,,,,,7750.674486160278,,,,,,,
,,179,,,,30.50398826599121,,,,,,,,
5,,179,,,,,,0.6835821270942688,160.0,0.6835821270942688,-95.65625,-99.91796875,,
,,189,,,,,7595.489025115967,,,,,,,
,,189,,,,29.461383819580078,,,,,,,,
5,,189,,,,,,0.6874386072158813,160.0,0.6874386072158813,-94.53125,-98.75390625,,
5,,191,,,,,,,,,,,-94.18399810791016,-97.63621520996094
,,192,,,486.3249702453613,,,,,,,,,
,0.0001,192,,,,,,,,,,,,
,,199,,,,,7760.538578033447,,,,,,,
,,199,,,,45.1350212097168,,,,,,,,
6,,199,,,,,,0.6841766238212585,160.0,0.6841766238212585,-94.75,-98.81771087646484,,
,,209,,,,,7977.328062057495,,,,,,,
,,209,,,,37.25409507751465,,,,,,,,
6,,209,,,,,,0.6806764602661133,160.0,0.6806764602661133,-94.53125,-98.99870300292969,,
,,219,,,,,7692.591905593872,,,,,,,
,,219,,,,26.50284767150879,,,,,,,,
6,,219,,,,,,0.6777917742729187,160.0,0.6777917742729187,-95.3125,-99.453125,,
6,,223,,,,,,,,,,,-94.18499755859375,-97.62747192382812
,,224,,,519.1634836196899,,,,,,,,,
,0.0001,224,,,,,,,,,,,,
,,229,,,,,9654.779434204102,,,,,,,
,,229,,,,30.762910842895508,,,,,,,,
7,,229,,,,,,0.6853005290031433,160.0,0.6853005290031433,-94.875,-99.6328125,,
,,239,,,,,10163.566589355469,,,,,,,
,,239,,,,25.543689727783203,,,,,,,,
7,,239,,,,,,0.6813371777534485,160.0,0.6813371777534485,-95.5625,-99.8125,,
,,249,,,,,10418.80989074707,,,,,,,
,,249,,,,26.536941528320312,,,,,,,,
7,,249,,,,,,0.6811307668685913,160.0,0.6811307668685913,-94.34375,-98.6953125,,
7,,255,,,,,,,,,,,-93.83699798583984,-97.260009765625
,,256,,,537.6845817565918,,,,,,,,,
,0.0001,256,,,,,,,,,,,,
,,259,,,,,7454.205274581909,,,,,,,
,,259,,,,24.500370025634766,,,,,,,,
8,,259,,,,,,0.6834015250205994,160.0,0.6834015250205994,-94.8125,-98.8671875,,
,,269,,,,,7191.778898239136,,,,,,,
,,269,,,,23.711204528808594,,,,,,,,
8,,269,,,,,,0.6845663189888,160.0,0.6845663189888,-95.1875,-99.38021087646484,,
,,279,,,,,7482.091426849365,,,,,,,
,,279,,,,24.614572525024414,,,,,,,,
8,,279,,,,,,0.6845669150352478,160.0,0.6845669150352478,-95.375,-99.671875,,
8,,287,,,,,,,,,,,-93.86100006103516,-97.41275024414062
,,288,,,440.0432677268982,,,,,,,,,
,0.0001,288,,,,,,,,,,,,
,,289,,,,,7475.788593292236,,,,,,,
,,289,,,,24.184226989746094,,,,,,,,
9,,289,,,,,,0.6883602738380432,160.0,0.6883602738380432,-95.4375,-99.60807800292969,,
,,299,,,,,7527.338027954102,,,,,,,
,,299,,,,37.42718696594238,,,,,,,,
9,,299,,,,,,0.6878092885017395,160.0,0.6878092885017395,-95.0,-99.27214050292969,,
,,309,,,,,7519.402265548706,,,,,,,
,,309,,,,25.70796012878418,,,,,,,,
9,,309,,,,,,0.6910921931266785,160.0,0.6910921931266785,-94.53125,-98.828125,,
,,319,,,,,7820.332288742065,,,,,,,
,,319,,,,25.825023651123047,,,,,,,,
9,,319,,,,,,0.6912584900856018,40.0,0.6912584900856018,-94.375,-98.24479675292969,,
9,,319,,,,,,,,,,,-93.56800079345703,-97.03617095947266
,,320,,,468.659423828125,,,,,,,,,
,0.0001,320,,,,,,,,,,,,
,,329,,,,,7407.119274139404,,,,,,,
,,329,,,,24.252653121948242,,,,,,,,
10,,329,,,,,,0.6820265054702759,160.0,0.6820265054702759,-94.84375,-99.25911712646484,,
,,339,,,,,7913.8805866241455,,,,,,,
,,339,,,,24.47032928466797,,,,,,,,
10,,339,,,,,,0.6854330897331238,160.0,0.6854330897331238,-94.875,-99.08854675292969,,
,,349,,,,,7562.081336975098,,,,,,,
,,349,,,,25.11119842529297,,,,,,,,
10,,349,,,,,,0.6829604506492615,160.0,0.6829604506492615,-94.8125,-98.984375,,
10,,351,,,,,,,,,,,-93.63400268554688,-97.08521270751953
,,352,,,451.0895080566406,,,,,,,,,
,0.0001,352,,,,,,,,,,,,
,,359,,,,,9450.689315795898,,,,,,,
,,359,,,,29.273509979248047,,,,,,,,
11,,359,,,,,,0.6812688708305359,160.0,0.6812688708305359,-94.1875,-98.5546875,,
,,369,,,,,7460.737466812134,,,,,,,
,,369,,,,27.82416343688965,,,,,,,,
11,,369,,,,,,0.6879801750183105,160.0,0.6879801750183105,-94.84375,-99.02474212646484,,
,,379,,,,,7570.196151733398,,,,,,,
,,379,,,,26.324033737182617,,,,,,,,
11,,379,,,,,,0.6849826574325562,160.0,0.6849826574325562,-94.84375,-99.05859375,,
11,,383,,,,,,,,,,,-93.88899993896484,-97.48401641845703
,,384,,,462.58108353614807,,,,,,,,,
,0.0001,384,,,,,,,,,,,,
,,389,,,,,8453.121185302734,,,,,,,
,,389,,,,27.507543563842773,,,,,,,,
12,,389,,,,,,0.6915225386619568,160.0,0.6915225386619568,-94.875,-99.3671875,,
,,399,,,,,7567.684650421143,,,,,,,
,,399,,,,41.254520416259766,,,,,,,,
12,,399,,,,,,0.6782452464103699,160.0,0.6782452464103699,-95.03125,-99.01823425292969,,
,,409,,,,,7408.323287963867,,,,,,,
,,409,,,,23.9717960357666,,,,,,,,
12,,409,,,,,,0.6838088035583496,160.0,0.6838088035583496,-94.96875,-99.0234375,,
12,,415,,,,,,,,,,,-93.53299713134766,-97.0328369140625
,,416,,,471.42054533958435,,,,,,,,,
,0.0001,416,,,,,,,,,,,,
,,419,,,,,7936.517238616943,,,,,,,
,,419,,,,29.19626235961914,,,,,,,,
13,,419,,,,,,0.6921781301498413,160.0,0.6921781301498413,-94.4375,-98.93620300292969,,
,,429,,,,,7301.8598556518555,,,,,,,
,,429,,,,22.960662841796875,,,,,,,,
13,,429,,,,,,0.6875241994857788,160.0,0.6875241994857788,-94.375,-98.52474212646484,,
,,439,,,,,7599.232912063599,,,,,,,
,,439,,,,28.293371200561523,,,,,,,,
13,,439,,,,,,0.6841709017753601,160.0,0.6841709017753601,-94.1875,-98.42578125,,
13,,447,,,,,,,,,,,-93.64199829101562,-97.13299560546875
,,448,,,448.1185493469238,,,,,,,,,
,0.0001,448,,,,,,,,,,,,
,,449,,,,,10074.89824295044,,,,,,,
,,449,,,,25.040626525878906,,,,,,,,
14,,449,,,,,,0.6802218556404114,160.0,0.6802218556404114,-94.59375,-98.82161712646484,,
,,459,,,,,10180.540084838867,,,,,,,
,,459,,,,25.398731231689453,,,,,,,,
14,,459,,,,,,0.6827678084373474,160.0,0.6827678084373474,-95.78125,-100.13802337646484,,
,,469,,,,,7792.0982837677,,,,,,,
,,469,,,,35.53032875061035,,,,,,,,
