problem,method,legacy_method,instance_id,instance_index,cost,num_starts,num_augment,checkpoint
ffsp50,USW,loss_only,ffsp50_00038,38,46.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00039,39,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00040,40,47.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00041,41,49.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00042,42,49.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00043,43,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00044,44,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00045,45,49.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00046,46,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00047,47,47.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00048,48,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00049,49,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00050,50,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00051,51,49.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00052,52,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00053,53,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00054,54,48.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00055,55,52.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00056,56,48.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00057,57,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00058,58,48.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00059,59,48.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00060,60,49.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00061,61,46.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00062,62,47.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
