epoch,step,train/delta_nll,train/diversity_edge,train/diversity_node,train/ga_cost_gain,train/ga_cost_gain_rel,train/loss,train/max_reward,train/reward,train/t_decode,train/t_diag,train/t_ga,train/t_total_raw,val/max_aug_reward,val/max_reward,val/reward
0,49,,,,,,-6.064815521240234,-12.099321365356445,-15.282782554626465,0.14981456100940704,0.0,0.0,0.24682840704917908,,,
0,99,,,,-3904.559326171875,-2.9584038257598877,-4.3398003578186035,-10.302701950073242,-12.682819366455078,0.1500287801027298,0.0,0.0,0.2472691833972931,,,
0,149,,,,-3904.559326171875,-2.9584038257598877,-3.48641037940979,-8.88909912109375,-11.516807556152344,0.15009401738643646,0.0,0.0,0.2476029396057129,,,
0,199,,,,-4104.34326171875,-3.6960246562957764,-2.8607380390167236,-9.216129302978516,-11.255000114440918,0.14998045563697815,0.0,0.0,0.25043174624443054,,,
0,249,,,,-4104.34326171875,-3.6960246562957764,-2.657769203186035,-9.034101486206055,-10.896595001220703,0.14975717663764954,0.0,0.0,0.24700479209423065,,,
0,299,,,,-4104.34326171875,-3.6960246562957764,-3.035935640335083,-8.797385215759277,-10.850675582885742,0.15000420808792114,0.0,0.0,0.24734240770339966,,,
0,349,,,,-4141.03759765625,-3.8638224601745605,-2.6331846714019775,-8.803180694580078,-10.748156547546387,0.1498989462852478,0.0,0.0,0.24711810052394867,,,
0,399,,,,-4061.498291015625,-3.7859251499176025,-2.7721056938171387,-8.432731628417969,-10.747939109802246,0.15092754364013672,0.0,0.0,0.24813483655452728,,,
0,449,,,,-4109.00732421875,-3.8590853214263916,-2.246788501739502,-8.80921745300293,-10.550122261047363,0.1499641388654709,0.0,0.0,0.2522997260093689,,,
0,499,1039.4996337890625,0.9898025393486023,0.4949600398540497,-4135.828125,-3.938783645629883,-2.327869415283203,-8.708925247192383,-10.611748695373535,0.14990277588367462,0.0,0.0,0.24802836775779724,,,
0,549,1039.4996337890625,0.9898025393486023,0.4949600398540497,-4159.33349609375,-3.9773011207580566,-1.9849282503128052,-8.554396629333496,-10.434866905212402,0.14945630729198456,0.0,0.0,0.24965068697929382,,,
0,599,1039.4996337890625,0.9898025393486023,0.4949600398540497,-4159.33349609375,-3.9773011207580566,-1.8503412008285522,-8.453983306884766,-10.371475219726562,0.15001198649406433,0.0,0.0,0.24766972661018372,,,
0,649,1039.4996337890625,0.9898025393486023,0.4949600398540497,-4159.33349609375,-3.9773011207580566,-2.6100521087646484,-8.599044799804688,-10.3740816116333,0.15004855394363403,0.0,0.0,0.24778330326080322,,,
0,699,1039.4996337890625,0.9898025393486023,0.4949600398540497,-4198.7119140625,-4.073148727416992,-1.9885486364364624,-8.60104751586914,-10.3604736328125,0.14999961853027344,0.0,0.0,0.24778535962104797,,,
0,749,1039.4996337890625,0.9898025393486023,0.4949600398540497,-4198.7119140625,-4.073148727416992,-1.7223260402679443,-8.572465896606445,-10.224248886108398,0.15369680523872375,0.0,0.0,0.25196605920791626,,,
0,799,1039.4996337890625,0.9898025393486023,0.4949600398540497,-4198.7119140625,-4.073148727416992,-1.9785534143447876,-8.551210403442383,-10.149970054626465,0.15184618532657623,0.0,0.0,0.24975664913654327,,,
0,849,1039.4996337890625,0.9898025393486023,0.4949600398540497,-4198.7119140625,-4.073148727416992,-1.558290958404541,-8.297256469726562,-10.158512115478516,0.15269137918949127,0.0,0.0,0.25135767459869385,,,
