epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/bopo_loss,train/bopo_pair_count,train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,699,,,,34.6682071685791,,,,,,,,
34,699,,,,,,0.6818906664848328,250.0,0.6818906664848328,-53.0,-57.10750198364258,,
34,699,,,,,,,,,,,-52.625999450683594,-56.145076751708984
,700,,,195.08220887184143,,,,,,,,,
35,719,,,,,,,,,,,-52.599998474121094,-56.010372161865234
,720,,,196.5358395576477,,,,,,,,,
36,739,,,,,,,,,,,-52.604000091552734,-56.03491973876953
,740,,,196.8982536792755,,,,,,,,,
,749,,,,,5939.753532409668,,,,,,,
,749,,,,20.33519744873047,,,,,,,,
37,749,,,,,,0.6879523992538452,250.0,0.6879523992538452,-53.23999786376953,-57.49666976928711,,
37,759,,,,,,,,,,,-52.69200134277344,-56.271087646484375
,760,,,212.65947246551514,,,,,,,,,
38,779,,,,,,,,,,,-52.702999114990234,-56.210166931152344
,780,,,206.47480630874634,,,,,,,,,
,799,,,,,5584.513425827026,,,,,,,
,799,,,,33.73360633850098,,,,,,,,
39,799,,,,,,0.6819880604743958,250.0,0.6819880604743958,-52.939998626708984,-57.227500915527344,,
39,799,,,,,,,,,,,-52.53099822998047,-56.04137420654297
,800,,,202.69185638427734,,,,,,,,,
40,819,,,,,,,,,,,-52.494998931884766,-55.92875289916992
,820,,,198.3757700920105,,,,,,,,,
41,839,,,,,,,,,,,-52.560001373291016,-56.029258728027344
,840,,,201.52530884742737,,,,,,,,,
,849,,,,,5402.106523513794,,,,,,,
,849,,,,15.40827751159668,,,,,,,,
42,849,,,,,,0.6823988556861877,250.0,0.6823988556861877,-51.79999923706055,-55.91416931152344,,
42,859,,,,,,,,,,,-52.560001373291016,-55.96062469482422
,860,,,205.03574347496033,,,,,,,,,
43,879,,,,,,,,,,,-52.54600143432617,-55.828163146972656
,880,,,202.66351890563965,,,,,,,,,
,899,,,,,5511.26766204834,,,,,,,
,899,,,,35.12167930603027,,,,,,,,
44,899,,,,,,0.684232234954834,250.0,0.684232234954834,-52.55999755859375,-56.801666259765625,,
44,899,,,,,,,,,,,-52.65299987792969,-56.062538146972656
,900,,,196.57002425193787,,,,,,,,,
45,919,,,,,,,,,,,-52.58000183105469,-56.023712158203125
,920,,,200.76231575012207,,,,,,,,,
46,939,,,,,,,,,,,-52.676998138427734,-56.14546203613281
,940,,,207.10495495796204,,,,,,,,,
,949,,,,,5211.310625076294,,,,,,,
,949,,,,15.002012252807617,,,,,,,,
47,949,,,,,,0.6770511865615845,250.0,0.6770511865615845,-52.63999938964844,-56.84166717529297,,
47,959,,,,,,,,,,,-52.52299880981445,-55.97441482543945
,960,,,200.79748463630676,,,,,,,,,
48,979,,,,,,,,,,,-52.46799850463867,-55.91133499145508
,980,,,202.4144766330719,,,,,,,,,
,999,,,,,5460.140228271484,,,,,,,
,999,,,,42.42873191833496,,,,,,,,
49,999,,,,,,0.6843776106834412,250.0,0.6843776106834412,-52.53999710083008,-56.80083465576172,,
49,999,,,,,,,,,,,-52.465999603271484,-55.97274398803711
,1000,,,200.52420020103455,,,,,,,,,
50,1019,,,,,,,,,,,-52.38100051879883,-55.833919525146484
,1020,,,195.3188235759735,,,,,,,,,
51,1039,,,,,,,,,,,-52.42300033569336,-55.922874450683594
,1040,,,197.17819905281067,,,,,,,,,
,1049,,,,,5379.362344741821,,,,,,,
,1049,,,,15.069961547851562,,,,,,,,
52,1049,,,,,,0.691041886806488,250.0,0.691041886806488,-52.68000030517578,-56.93916702270508,,
52,1059,,,,,,,,,,,-52.59000015258789,-56.117496490478516
,1060,,,202.2773358821869,,,,,,,,,
53,1079,,,,,,,,,,,-52.54100036621094,-55.93967056274414
,1080,,,198.6343128681183,,,,,,,,,
,1099,,,,,5194.737911224365,,,,,,,
,1099,,,,41.21279716491699,,,,,,,,
54,1099,,,,,,0.6836451888084412,250.0,0.6836451888084412,-52.37999725341797,-56.622501373291016,,
54,1099,,,,,,,,,,,-52.56700134277344,-56.00579071044922
,1100,,,201.9723560810089,,,,,,,,,
55,1119,,,,,,,,,,,-52.770999908447266,-56.26304244995117
,1120,,,205.54522609710693,,,,,,,,,
