epoch,lr-Adam,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
26,,849,,,,,,0.6864798665046692,-92.71875,-97.27474212646484,,
26,,863,,,,,,,,,-92.38999938964844,-95.83938598632812
,,864,,,506.3111355304718,,,,,,,
,0.0001,864,,,,,,,,,,
27,,895,,,,,,,,,-92.41000366210938,-95.79653930664062
,,896,,,511.3469729423523,,,,,,,
,0.0001,896,,,,,,,,,,
,,899,,,,,7733.944654464722,,,,,
,,899,,,,37.8265380859375,,,,,,
28,,899,,,,,,0.6855231523513794,-93.34375,-97.4140625,,
28,,927,,,,,,,,,-92.23899841308594,-95.63526916503906
,,928,,,469.67122292518616,,,,,,,
,0.0001,928,,,,,,,,,,
,,949,,,,,7961.848974227905,,,,,
,,949,,,,24.678945541381836,,,,,,
29,,949,,,,,,0.6892321109771729,-92.84375,-96.97786712646484,,
29,,959,,,,,,,,,-92.33899688720703,-95.7769546508789
,,960,,,446.10907435417175,,,,,,,
,0.0001,960,,,,,,,,,,
30,,991,,,,,,,,,-92.28099822998047,-95.68350219726562
,,992,,,457.4145402908325,,,,,,,
,0.0001,992,,,,,,,,,,
,,999,,,,,7548.883438110352,,,,,
,,999,,,,38.04588317871094,,,,,,
31,,999,,,,,,0.6845377683639526,-93.0,-97.46614837646484,,
31,,1023,,,,,,,,,-92.43099975585938,-95.80095672607422
,,1024,,,448.53524923324585,,,,,,,
,0.0001,1024,,,,,,,,,,
,,1049,,,,,8073.777914047241,,,,,
,,1049,,,,25.789976119995117,,,,,,
32,,1049,,,,,,0.6844669580459595,-93.375,-97.47786712646484,,
32,,1055,,,,,,,,,-92.16999816894531,-95.51085662841797
,,1056,,,452.7113335132599,,,,,,,
,0.0001,1056,,,,,,,,,,
33,,1087,,,,,,,,,-92.24500274658203,-95.63416290283203
,,1088,,,454.65266251564026,,,,,,,
,0.0001,1088,,,,,,,,,,
,,1099,,,,,7940.328598022461,,,,,
,,1099,,,,40.236711502075195,,,,,,
34,,1099,,,,,,0.6872291564941406,-92.5,-96.58073425292969,,
34,,1119,,,,,,,,,-92.36000061035156,-95.71766662597656
,,1120,,,460.18857884407043,,,,,,,
,0.0001,1120,,,,,,,,,,
,,1149,,,,,7747.369766235352,,,,,
,,1149,,,,25.47478675842285,,,,,,
35,,1149,,,,,,0.6882785558700562,-92.46875,-96.61589050292969,,
35,,1151,,,,,,,,,-92.40299987792969,-95.74407958984375
,,1152,,,450.99780440330505,,,,,,,
,0.0001,1152,,,,,,,,,,
36,,1183,,,,,,,,,-92.41200256347656,-95.80321502685547
,,1184,,,449.0379514694214,,,,,,,
,0.0001,1184,,,,,,,,,,
,,1199,,,,,8220.381736755371,,,,,
,,1199,,,,40.47656059265137,,,,,,
37,,1199,,,,,,0.687027096748352,-92.71875,-96.85417175292969,,
37,,1215,,,,,,,,,-92.36299896240234,-95.6469497680664
,,1216,,,463.00973868370056,,,,,,,
,0.0001,1216,,,,,,,,,,
38,,1247,,,,,,,,,-92.43199920654297,-95.73263549804688
,,1248,,,460.462087392807,,,,,,,
,0.0001,1248,,,,,,,,,,
,,1249,,,,,7601.255893707275,,,,,
,,1249,,,,25.223970413208008,,,,,,
39,,1249,,,,,,0.690485954284668,-92.8125,-97.09375,,
39,,1279,,,,,,,,,-92.35800170898438,-95.68307495117188
,,1280,,,465.043114900589,,,,,,,
,0.0001,1280,,,,,,,,,,
,,1299,,,,,8350.25429725647,,,,,
