problem,transfer,feature,ks_search_vs_transfer,search_mean,transfer_mean,search_median,transfer_median
tsp100,TSP100 -> TSP50,pre_clamp_pressure,0.013671407957122239,-0.02438100427389145,-0.042058397084474564,0.18007409572601318,0.1546165943145752
tsp100,TSP100 -> TSP50,final_weight,0.011255926613069456,1.8074713945388794,1.7918483018875122,2.5,2.5
tsp100,TSP100 -> TSP50,normalized_final_weight,0.011255926613069456,0.6989005208015442,0.6921078562736511,1.0,1.0
tsp100,TSP100 -> TSP50,gap_mad,0.019103019995877046,1.717814326286316,1.7877702713012695,1.4397947788238525,1.4912617206573486
tsp100,TSP100 -> TSP50,margin_norm,0.002532209853638445,1.129111409187317,1.1298110485076904,0.956121563911438,0.9512264728546143
tsp100,TSP100 -> TSP50,rank_diff,0.0397979797979798,0.3400673270225525,0.3469387888908386,0.3030302822589874,0.30612245202064514
cvrp100,CVRP100 -> CVRP50,pre_clamp_pressure,0.24326736755308187,-0.5770665407180786,-0.8360564708709717,-0.4947469234466553,-0.744662344455719
cvrp100,CVRP100 -> CVRP50,final_weight,0.24326736755308187,2.0166375637054443,1.184822678565979,1.6003799438476562,0.9001350402832031
cvrp100,CVRP100 -> CVRP50,normalized_final_weight,0.24326736755308187,0.36524203419685364,0.18826013803482056,0.27667659521102905,0.12768831849098206
cvrp100,CVRP100 -> CVRP50,gap_mad,0.020393217893217908,1.8537148237228394,1.7822484970092773,1.4871795177459717,1.4792969226837158
cvrp100,CVRP100 -> CVRP50,margin_norm,0.023842635539064128,1.1092311143875122,1.129692554473877,0.908228874206543,0.9565538167953491
cvrp100,CVRP100 -> CVRP50,rank_diff,0.0397979797979798,0.3400673270225525,0.3469387888908386,0.3030302822589874,0.30612245202064514
ffsp100,FFSP100 -> FFSP50,pre_clamp_pressure,0.028079171792284585,0.06184857338666916,0.03485166281461716,-0.007723424583673477,-0.02013435773551464
ffsp100,FFSP100 -> FFSP50,final_weight,0.01631498543664639,1.9221546649932861,1.9040709733963013,2.4559333324432373,2.3867428302764893
ffsp100,FFSP100 -> FFSP50,normalized_final_weight,0.01631498543664639,0.7541083693504333,0.7464131116867065,0.9812481999397278,0.9518054723739624
ffsp100,FFSP100 -> FFSP50,gap_mad,0.033528510930187494,2.133942127227783,2.151578426361084,1.75,1.6666666269302368
ffsp100,FFSP100 -> FFSP50,margin_norm,0.04285951734424779,1.20457923412323,1.2359734773635864,1.0488420724868774,1.0977914333343506
ffsp100,FFSP100 -> FFSP50,rank_diff,0.019559850076992624,0.37868329882621765,0.3866215944290161,0.3478260636329651,0.3478260934352875
jssp10x10,JSSP10x10 -> JSSP15x15,pre_clamp_pressure,0.05167794988115737,-0.21279175579547882,-0.15908308327198029,-0.13492609560489655,-0.08130582422018051
jssp10x10,JSSP10x10 -> JSSP15x15,final_weight,0.046672433089855137,1.9521387815475464,2.046745538711548,2.198847770690918,2.487799882888794
jssp10x10,JSSP10x10 -> JSSP15x15,normalized_final_weight,0.046672433089855137,0.6386685967445374,0.6712914705276489,0.7237406373023987,0.8233792781829834
jssp10x10,JSSP10x10 -> JSSP15x15,gap_mad,0.026638339088843166,1.6892145872116089,1.7893459796905518,1.4390244483947754,1.503546953201294
jssp10x10,JSSP10x10 -> JSSP15x15,margin_norm,0.009362483076674422,1.1346549987792969,1.1282981634140015,0.9673017859458923,0.9513862133026123
jssp10x10,JSSP10x10 -> JSSP15x15,rank_diff,0.00024256312568752755,0.3387760519981384,0.33869457244873047,0.29921257495880127,0.29921257495880127
