epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
0,19,,,,,,,,,-53.340999603271484,-56.86608123779297
,20,,,197.5215322971344,,,,,,,
1,39,,,,,,,,,-53.01499938964844,-56.44237518310547
,40,,,178.91508078575134,,,,,,,
,49,,,,,5180.683851242065,,,,,
,49,,,,14.003276824951172,,,,,,
2,49,,,,,,0.6908580660820007,-52.89999771118164,-56.915836334228516,,
2,59,,,,,,,,,-53.06100082397461,-56.437583923339844
,60,,,183.88144540786743,,,,,,,
3,79,,,,,,,,,-53.077999114990234,-56.50437545776367
,80,,,175.50906682014465,,,,,,,
,99,,,,,5106.648683547974,,,,,
,99,,,,31.39805793762207,,,,,,
4,99,,,,,,0.6900494694709778,-53.63999938964844,-57.706668853759766,,
4,99,,,,,,,,,-52.95199966430664,-56.28382873535156
,100,,,184.38879370689392,,,,,,,
5,119,,,,,,,,,-53.090999603271484,-56.45000076293945
,120,,,182.57160449028015,,,,,,,
6,139,,,,,,,,,-52.89899826049805,-56.223915100097656
,140,,,184.2357702255249,,,,,,,
,149,,,,,5051.111221313477,,,,,
,149,,,,12.695074081420898,,,,,,
7,149,,,,,,0.6906394958496094,-53.31999969482422,-57.44000244140625,,
7,159,,,,,,,,,-53.255001068115234,-56.523292541503906
,160,,,184.15528559684753,,,,,,,
8,179,,,,,,,,,-52.88999938964844,-56.226043701171875
,180,,,183.04123759269714,,,,,,,
,199,,,,,5076.406240463257,,,,,
,199,,,,27.12535858154297,,,,,,
9,199,,,,,,0.6905267834663391,-52.69999694824219,-56.817501068115234,,
9,199,,,,,,,,,-52.803001403808594,-56.15378952026367
,200,,,186.2208034992218,,,,,,,
10,219,,,,,,,,,-52.80699920654297,-56.173500061035156
,220,,,181.60848546028137,,,,,,,
11,239,,,,,,,,,-52.67599868774414,-56.0142936706543
,240,,,184.0477249622345,,,,,,,
,249,,,,,6387.448787689209,,,,,
,249,,,,13.304710388183594,,,,,,
12,249,,,,,,0.6902176737785339,-52.779998779296875,-56.64083480834961,,
12,259,,,,,,,,,-52.654998779296875,-56.03828811645508
,260,,,224.5983166694641,,,,,,,
13,279,,,,,,,,,-52.694000244140625,-56.07770538330078
,280,,,186.4090178012848,,,,,,,
,299,,,,,5403.190612792969,,,,,
,299,,,,27.405977249145508,,,,,,
14,299,,,,,,0.6906282901763916,-52.65999984741211,-56.70166778564453,,
14,299,,,,,,,,,-52.75299835205078,-56.08842086791992
