scenario,solver,instance_id,status,objective,elapsed_s,notes
tsp50,two_opt,tsp50_00000,ok,626001.0,0.0012882000009994954,
tsp50,two_opt,tsp50_00001,ok,624036.0,0.0010443000064697117,
tsp50,two_opt,tsp50_00002,ok,638175.0,0.0011913999915122986,
tsp50,ga,tsp50_00000,ok,2598270.0,0.005739500003983267,
tsp50,ga,tsp50_00001,ok,2476968.0,0.0004959999932907522,
tsp50,ga,tsp50_00002,ok,2356023.0,0.00039679999463260174,
tsp50,pso,tsp50_00000,ok,2454493.0,0.00032869999995455146,
tsp50,pso,tsp50_00001,ok,2407212.0,0.00027910000062547624,
tsp50,pso,tsp50_00002,ok,2462864.0,0.00027239999326411635,
cvrp50,two_opt,cvrp50_00000,ok,1169270.0,0.0010347000061301515,
cvrp50,two_opt,cvrp50_00001,ok,1162126.0,0.0010569000005489215,
cvrp50,two_opt,cvrp50_00002,ok,1074401.0,0.0011998999980278313,
cvrp50,ga,cvrp50_00000,ok,2809004.0,0.0012421999999787658,
cvrp50,ga,cvrp50_00001,ok,2952571.0,0.0008125000022118911,
cvrp50,ga,cvrp50_00002,ok,2572574.0,0.0007880000048317015,
cvrp50,pso,cvrp50_00000,ok,2788209.0,0.0006888000061735511,
cvrp50,pso,cvrp50_00001,ok,2909922.0,0.0006629999988945201,
cvrp50,pso,cvrp50_00002,ok,2561657.0,0.0005896999937249348,
