epoch,step,train/delta_nll,train/diversity_edge,train/diversity_node,train/ga_cost_gain,train/ga_cost_gain_rel,train/loss,train/max_reward,train/reward,train/t_decode,train/t_diag,train/t_ga,train/t_total_raw,val/max_aug_reward,val/max_reward,val/reward
0,49,,,,,,-9.615180015563965,-13.304364204406738,-16.5413875579834,0.15108336508274078,0.0,0.0,0.2478889673948288,,,
0,99,,,,-0.07953643798828125,-5.88550501561258e-05,-6.3741455078125,-10.826132774353027,-13.111320495605469,0.15144620835781097,0.0,0.0,0.2480890154838562,,,
0,149,,,,-0.07953643798828125,-5.88550501561258e-05,-5.15626335144043,-9.510748863220215,-12.095800399780273,0.15184523165225983,0.0,0.0,0.24897201359272003,,,
0,199,,,,-0.07953643798828125,-5.88550501561258e-05,-4.510188579559326,-9.326227188110352,-11.65464973449707,0.1522425413131714,0.0,0.0,0.24951225519180298,,,
0,249,,,,-0.07953643798828125,-5.88550501561258e-05,-4.938720703125,-9.449251174926758,-11.439778327941895,0.1532837599515915,0.0,0.0,0.25072526931762695,,,
0,299,,,,0.5173683166503906,0.00046218515490181744,-3.7581419944763184,-9.18026065826416,-11.148883819580078,0.1536445915699005,0.0,0.0,0.25147494673728943,,,
0,349,,,,0.420379638671875,0.00037831388181075454,-4.032466411590576,-8.924614906311035,-10.907655715942383,0.15257813036441803,0.0,0.0,0.2506890892982483,,,
0,399,,,,0.061321258544921875,5.670020618708804e-05,-3.1596758365631104,-8.994270324707031,-10.816146850585938,0.152126282453537,0.0,0.0,0.25021761655807495,,,
0,449,,,,0.07200241088867188,6.71819580020383e-05,-3.2276339530944824,-8.97955322265625,-10.697721481323242,0.15143883228302002,0.0,0.0,0.24929393827915192,,,
0,499,,,,-0.5754470825195312,-0.0005446290015242994,-3.242635488510132,-8.753668785095215,-10.630158424377441,0.1511766016483307,0.0,0.0,0.24871307611465454,,,
0,549,,,,-0.5754470825195312,-0.0005446290015242994,-2.7041616439819336,-8.691263198852539,-10.513651847839355,0.1510944813489914,0.0,0.0,0.24892590939998627,,,
0,599,,,,-0.5754470825195312,-0.0005446290015242994,-2.8227970600128174,-8.579116821289062,-10.406014442443848,0.15103313326835632,0.0,0.0,0.24864940345287323,,,
0,649,,,,-0.8899688720703125,-0.0008531857747584581,-2.6602683067321777,-8.659626007080078,-10.379036903381348,0.15157152712345123,0.0,0.0,0.24956277012825012,,,
0,699,,,,-0.8899688720703125,-0.0008531857747584581,-2.396277666091919,-8.529348373413086,-10.273327827453613,0.15160247683525085,0.0,0.0,0.25316745042800903,,,
0,749,,,,-0.8899688720703125,-0.0008531857747584581,-2.558560371398926,-8.24710464477539,-10.170036315917969,0.1515708565711975,0.0,0.0,0.2490423619747162,,,
0,799,0.004695892333984375,0.9877966642379761,0.494067519903183,-0.09679794311523438,-9.532013791613281e-05,-2.057603120803833,-8.492895126342773,-10.137444496154785,0.15158990025520325,0.0,0.0,0.24908874928951263,,,
0,849,0.004695892333984375,0.9877966642379761,0.494067519903183,-0.09679794311523438,-9.532013791613281e-05,-2.1978871822357178,-8.521554946899414,-10.08248233795166,0.151201531291008,0.0,0.0,0.24879522621631622,,,
0,899,0.004695892333984375,0.9877966642379761,0.494067519903183,-1.493072509765625,-0.0014854267938062549,-2.2145791053771973,-8.170802116394043,-9.97409439086914,0.15088613331317902,0.0,0.0,0.2498471736907959,,,
0,949,0.004695892333984375,0.9877966642379761,0.494067519903183,-1.493072509765625,-0.0014854267938062549,-1.8636705875396729,-8.248987197875977,-9.972630500793457,0.15100468695163727,0.0,0.0,0.24805998802185059,,,
