method,best_score,best_discovery_score,best_generation,discovery_ge_threshold_candidates,discovery_ge_threshold_families,discovery_threshold,discovery_score_definition,hf_candidates
Family-aware,-0.192999458313,0.192999458313,8,55,9,-1.25,-raw_score,60
Family-disabled,1.03999977112,-1.03999977112,4,2,2,-1.25,-raw_score,47
