epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/quality,train/reward,train/shape_j,train/shape_m,val/gap,val/makespan,val/reward
,22549,,,1442.9807662963867,,,,,,,,
,22549,,1.0695457458496094,,,,,,,,,
18,22549,,,,0.26503270864486694,1.0604743957519531,-2555.0,15.0,15.0,,,
,22599,,,1522.296667098999,,,,,,,,
,22599,,11.140823364257812,,,,,,,,,
18,22599,,,,0.5837648510932922,1.0707495212554932,-2673.0,15.0,15.0,,,
,22649,,,1748.5535144805908,,,,,,,,
,22649,,5.675554275512695,,,,,,,,,
18,22649,,,,-0.08138841390609741,1.0589113235473633,-2535.0,15.0,15.0,,,
,22699,,,1758.9707374572754,,,,,,,,
,22699,,9.46044921875,,,,,,,,,
18,22699,,,,0.720089316368103,1.0733121633529663,-2512.99951171875,15.0,15.0,,,
,22749,,,1758.4257125854492,,,,,,,,
,22749,,5.455732345581055,,,,,,,,,
18,22749,,,,0.3989645838737488,1.0233886241912842,-2532.0,15.0,15.0,,,
,22799,,,1749.0262985229492,,,,,,,,
,22799,,9.802579879760742,,,,,,,,,
18,22799,,,,0.3523745536804199,1.0579370260238647,-2529.0,15.0,15.0,,,
,22849,,,1765.3086185455322,,,,,,,,
,22849,,1.310586929321289,,,,,,,,,
18,22849,,,,-0.40301454067230225,1.0655770301818848,-2534.000244140625,15.0,15.0,,,
,22899,,,1771.44193649292,,,,,,,,
,22899,,9.79924201965332,,,,,,,,,
18,22899,,,,0.913446307182312,1.0524060726165771,-2544.000244140625,15.0,15.0,,,
,22949,,,1502.6612281799316,,,,,,,,
,22949,,2.1102428436279297,,,,,,,,,
18,22949,,,,0.5049096345901489,1.0544300079345703,-2434.0,15.0,15.0,,,
,22999,,,1463.7887477874756,,,,,,,,
,22999,,9.471893310546875,,,,,,,,,
18,22999,,,,0.029580801725387573,1.0368130207061768,-2621.0,15.0,15.0,,,
,23049,,,1466.0048484802246,,,,,,,,
,23049,,1.9311904907226562,,,,,,,,,
18,23049,,,,0.08477438986301422,1.0663843154907227,-2669.0,15.0,15.0,,,
,23099,,,1667.8969860076904,,,,,,,,
,23099,,10.022401809692383,,,,,,,,,
18,23099,,,,-0.10111233592033386,1.048521637916565,-2535.0,15.0,15.0,,,
,23149,,,1449.934959411621,,,,,,,,
,23149,,5.432367324829102,,,,,,,,,
18,23149,,,,-0.1549689769744873,1.0936429500579834,-2655.0,15.0,15.0,,,
,23199,,,1467.6213264465332,,,,,,,,
,23199,,10.083198547363281,,,,,,,,,
18,23199,,,,0.40344443917274475,1.0488348007202148,-2634.0,15.0,15.0,,,
,23249,,,1479.10737991333,,,,,,,,
,23249,,2.757549285888672,,,,,,,,,
18,23249,,,,0.32295048236846924,1.0516653060913086,-2599.0,15.0,15.0,,,
,23299,,,1476.548433303833,,,,,,,,
,23299,,9.137630462646484,,,,,,,,,
18,23299,,,,-0.8516905307769775,1.039028286933899,-2454.00048828125,15.0,15.0,,,
,23349,,,1478.682279586792,,,,,,,,
,23349,,0.9872913360595703,,,,,,,,,
18,23349,,,,-0.39566969871520996,1.0590180158615112,-2645.999755859375,15.0,15.0,,,
,23399,,,1486.387014389038,,,,,,,,
,23399,,10.164737701416016,,,,,,,,,
18,23399,,,,-0.10404815524816513,1.0443785190582275,-2569.000244140625,15.0,15.0,,,
,23449,,,1471.985101699829,,,,,,,,
,23449,,3.1058788299560547,,,,,,,,,
