scenario,solver,instance_id,status,objective,elapsed_s,notes
tsp50,two_opt,tsp50_00000,ok,626001.0,0.0012556000001495704,
tsp50,two_opt,tsp50_00001,ok,624036.0,0.0013341000012587756,
tsp50,two_opt,tsp50_00002,ok,638175.0,0.001654799998505041,
tsp50,two_opt,tsp50_00003,ok,649148.0,0.001393900005496107,
tsp50,two_opt,tsp50_00004,ok,676821.0,0.0014209000073606148,
tsp50,two_opt,tsp50_00005,ok,607170.0,0.0021438000112539157,
tsp50,two_opt,tsp50_00006,ok,757891.0,0.0014245999918784946,
tsp50,two_opt,tsp50_00007,ok,675995.0,0.0014321000053314492,
tsp50,two_opt,tsp50_00008,ok,601237.0,0.0013644999999087304,
tsp50,two_opt,tsp50_00009,ok,625584.0,0.0013438000023597851,
tsp50,two_opt,tsp50_00010,ok,617810.0,0.001326599987805821,
tsp50,two_opt,tsp50_00011,ok,798623.0,0.001361000002361834,
tsp50,two_opt,tsp50_00012,ok,761016.0,0.0014042999973753467,
tsp50,two_opt,tsp50_00013,ok,664911.0,0.0013464000076055527,
tsp50,two_opt,tsp50_00014,ok,681640.0,0.0013197000080253929,
tsp50,two_opt,tsp50_00015,ok,581131.0,0.0016462000057799742,
tsp50,two_opt,tsp50_00016,ok,583481.0,0.0015653000009479001,
tsp50,two_opt,tsp50_00017,ok,694938.0,0.0012973999982932582,
tsp50,two_opt,tsp50_00018,ok,621190.0,0.0012755000061588362,
tsp50,two_opt,tsp50_00019,ok,646048.0,0.001327499994658865,
tsp50,ga,tsp50_00000,ok,626001.0,0.06530380000185687,
tsp50,ga,tsp50_00001,ok,624036.0,0.05410949999350123,
tsp50,ga,tsp50_00002,ok,638175.0,0.0563038999971468,
tsp50,ga,tsp50_00003,ok,634548.0,0.05394539999542758,
tsp50,ga,tsp50_00004,ok,676821.0,0.05426810000790283,
tsp50,ga,tsp50_00005,ok,607170.0,0.0533201999933226,
tsp50,ga,tsp50_00006,ok,627143.0,0.05293360000359826,
tsp50,ga,tsp50_00007,ok,616567.0,0.05331309999746736,
tsp50,ga,tsp50_00008,ok,601237.0,0.0533065999916289,
tsp50,ga,tsp50_00009,ok,625584.0,0.05369770000106655,
tsp50,ga,tsp50_00010,ok,617810.0,0.053815000006579794,
tsp50,ga,tsp50_00011,ok,788264.0,0.05233189999125898,
tsp50,ga,tsp50_00012,ok,701632.0,0.058310799999162555,
tsp50,ga,tsp50_00013,ok,623932.0,0.05214309999428224,
tsp50,ga,tsp50_00014,ok,681640.0,0.05423569999402389,
tsp50,ga,tsp50_00015,ok,581131.0,0.05301109999709297,
tsp50,ga,tsp50_00016,ok,583481.0,0.05373499999404885,
tsp50,ga,tsp50_00017,ok,686428.0,0.05461690000083763,
tsp50,ga,tsp50_00018,ok,621190.0,0.05159800000546966,
tsp50,ga,tsp50_00019,ok,646048.0,0.06792549999954645,
tsp50,pso,tsp50_00000,ok,626001.0,0.04536989999178331,
tsp50,pso,tsp50_00001,ok,624036.0,0.04503600001044106,
tsp50,pso,tsp50_00002,ok,638175.0,0.04430110000248533,
tsp50,pso,tsp50_00003,ok,649148.0,0.04369790000782814,
tsp50,pso,tsp50_00004,ok,670167.0,0.044014200000674464,
tsp50,pso,tsp50_00005,ok,607170.0,0.044298700013314374,
tsp50,pso,tsp50_00006,ok,705751.0,0.04469010001048446,
tsp50,pso,tsp50_00007,ok,602312.0,0.04465199999685865,
tsp50,pso,tsp50_00008,ok,601237.0,0.040796200002660044,
tsp50,pso,tsp50_00009,ok,625584.0,0.041064000004553236,
tsp50,pso,tsp50_00010,ok,617810.0,0.043080100003862754,
tsp50,pso,tsp50_00011,ok,778098.0,0.043215999990934506,
tsp50,pso,tsp50_00012,ok,707136.0,0.04222980000486132,
tsp50,pso,tsp50_00013,ok,664911.0,0.043705700009013526,
tsp50,pso,tsp50_00014,ok,635835.0,0.038771299994550645,
tsp50,pso,tsp50_00015,ok,581131.0,0.04049929999746382,
tsp50,pso,tsp50_00016,ok,583481.0,0.040638100006617606,
tsp50,pso,tsp50_00017,ok,694938.0,0.053989499996532686,
tsp50,pso,tsp50_00018,ok,621190.0,0.04131000000052154,
tsp50,pso,tsp50_00019,ok,646048.0,0.03881379999802448,
tsp100,two_opt,tsp100_00000,ok,979807.0,0.004671499991673045,
tsp100,two_opt,tsp100_00001,ok,976703.0,0.004522999995970167,
tsp100,two_opt,tsp100_00002,ok,946456.0,0.004448200008482672,
tsp100,two_opt,tsp100_00003,ok,1126231.0,0.004683699997258373,
tsp100,two_opt,tsp100_00004,ok,838742.0,0.005183000001125038,
tsp100,two_opt,tsp100_00005,ok,904402.0,0.004364600012195297,
