epoch,lr-Adam,step,time/epoch (s),time/intra_step (ms),train/bopo_loss,train/bopo_pair_count,train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,0.0003,0,,,,,,,,,
,,0,,,,,,,,,
,,1,,106.08863830566406,,,,,,,
0,,0,,,0.6914361119270325,6.0,0.6914361119270325,-8.637033462524414,-9.352073669433594,,
0,,0,,,,,,,,-9.88817310333252,-10.529333114624023
,,1,0.3658003807067871,,,,,,,,
