probe,seed_index,condition,raw_ess,ess,uniform_mixture,max_over_uniform
0,1,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
0,1,mid_s010,0.3509455566491229,0.4,0.09941452148814596,3.7238978780476772
0,1,mid_s020,0.686010952945784,0.6860109529457837,0.0,2.0377592770705366
0,1,mid_s035,0.9278179896954413,0.9278179896954416,0.0,1.3528046629205133
0,1,best_s015,0.26738293199188534,0.39999999999999986,0.2600984212688477,4.131554128422082
0,1,best_s025,0.4427929650361166,0.4427929650361166,0.0,3.1728180102351025
0,1,best_s040,0.689653632589047,0.6896536325890469,0.0,2.018709790552626
0,1,tails_s010,0.3593226393320702,0.4,0.08279116132329495,3.635713158005967
0,1,tails_s020,0.707567605651818,0.7075676056518182,0.0,1.9750735343081163
0,1,tails_s035,0.9852023822484562,0.9852023822484562,0.0,1.1636666708446628
1,1,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
1,1,mid_s010,0.35094555664912297,0.3999999999999998,0.09941452148814561,3.723897878047678
1,1,mid_s020,0.686010952945784,0.686010952945784,0.0,2.0377592770705366
1,1,mid_s035,0.9278179896954417,0.9278179896954417,0.0,1.3528046629205133
1,1,best_s015,0.2673829319918854,0.4,0.26009842126884786,4.131554128422081
1,1,best_s025,0.4427929650361166,0.442792965036117,0.0,3.172818010235102
1,1,best_s040,0.6896536325890468,0.689653632589047,0.0,2.0187097905526254
1,1,tails_s010,0.3593226393320702,0.4,0.08279116132329507,3.635713158005967
1,1,tails_s020,0.7075676056518181,0.7075676056518181,0.0,1.9750735343081163
1,1,tails_s035,0.9852023822484567,0.9852023822484567,0.0,1.1636666708446626
2,1,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
2,1,mid_s010,0.3509455566491229,0.4,0.09941452148814606,3.7238978780476764
2,1,mid_s020,0.6860109529457842,0.6860109529457842,0.0,2.0377592770705366
2,1,mid_s035,0.9278179896954417,0.9278179896954419,0.0,1.3528046629205128
2,1,best_s015,0.26738293199188534,0.4,0.26009842126884786,4.131554128422081
