epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/po_loss,train/po_pref_rate,train/reward,val/max_reward,val/reward
0,19,,,,,,,,,,,-106.31300354003906,-111.72050476074219
,20,,,375.050053358078,,,,,,,,,
1,39,,,,,,,,,,,-112.5739974975586,-118.59961700439453
,40,,,379.2918629646301,,,,,,,,,
,49,,,,,9889.577150344849,,,,,,,
,49,,,,55.619239807128906,,,,,,,,
2,49,,,,,,0.2539789080619812,-111.6199951171875,0.2539789080619812,0.4354513883590698,-117.56500244140625,,
2,59,,,,,,,,,,,-113.14199829101562,-119.04403686523438
,60,,,385.5091152191162,,,,,,,,,
3,79,,,,,,,,,,,-115.85900115966797,-121.88521575927734
,80,,,405.6682434082031,,,,,,,,,
,99,,,,,10098.165273666382,,,,,,,
,99,,,,53.917884826660156,,,,,,,,
4,99,,,,,,0.23692414164543152,-113.93999481201172,0.23692414164543152,0.43253472447395325,-119.35417175292969,,
4,99,,,,,,,,,,,-114.12100219726562,-119.67637634277344
,100,,,391.37705874443054,,,,,,,,,
5,119,,,,,,,,,,,-114.28800201416016,-119.86603546142578
,120,,,389.07863545417786,,,,,,,,,
6,139,,,,,,,,,,,-113.8010025024414,-119.40508270263672
,140,,,388.42972683906555,,,,,,,,,
,149,,,,,10016.866445541382,,,,,,,
,149,,,,39.183855056762695,,,,,,,,
7,149,,,,,,0.23978665471076965,-113.55999755859375,0.23978665471076965,0.43329861760139465,-119.00749969482422,,
7,159,,,,,,,,,,,-113.86399841308594,-119.32762145996094
,160,,,384.87263679504395,,,,,,,,,
8,179,,,,,,,,,,,-112.39199829101562,-117.8913345336914
,180,,,391.18902039527893,,,,,,,,,
,199,,,,,9631.351232528687,,,,,,,
,199,,,,65.4141902923584,,,,,,,,
9,199,,,,,,0.23456062376499176,-112.55999755859375,0.23456062376499176,0.4329861104488373,-117.82333374023438,,
9,199,,,,,,,,,,,-111.80899810791016,-117.1800765991211
,200,,,394.64065504074097,,,,,,,,,
10,219,,,,,,,,,,,-112.87300109863281,-118.29732513427734
,220,,,393.1908793449402,,,,,,,,,
11,239,,,,,,,,,,,-111.4530029296875,-116.7514419555664
,240,,,385.7952377796173,,,,,,,,,
,249,,,,,9931.50281906128,,,,,,,
,249,,,,41.90397262573242,,,,,,,,
12,249,,,,,,0.24461877346038818,-112.25999450683594,0.24461877346038818,0.4345138967037201,-117.5875015258789,,
12,259,,,,,,,,,,,-111.59700012207031,-116.884765625
,260,,,378.5728816986084,,,,,,,,,
13,279,,,,,,,,,,,-110.8030014038086,-116.05375671386719
,280,,,382.148530960083,,,,,,,,,
,299,,,,,9800.168991088867,,,,,,,
,299,,,,59.42821502685547,,,,,,,,
14,299,,,,,,0.23908565938472748,-110.33999633789062,0.23908565938472748,0.43329861760139465,-115.44416809082031,,
14,299,,,,,,,,,,,-110.5979995727539,-115.74275207519531
,300,,,374.16470527648926,,,,,,,,,
15,319,,,,,,,,,,,-110.74299621582031,-116.01837921142578
,320,,,375.92307925224304,,,,,,,,,
16,339,,,,,,,,,,,-109.73400115966797,-114.83366394042969
,340,,,372.5794789791107,,,,,,,,,
,349,,,,,10118.246793746948,,,,,,,
,349,,,,37.744998931884766,,,,,,,,
17,349,,,,,,0.23836541175842285,-112.18000030517578,0.23836541175842285,0.4319097399711609,-117.71833801269531,,
17,359,,,,,,,,,,,-112.58999633789062,-118.04307556152344
,360,,,374.09986114501953,,,,,,,,,
18,379,,,,,,,,,,,-109.66100311279297,-114.7579116821289
,380,,,373.87592911720276,,,,,,,,,
,399,,,,,9701.150178909302,,,,,,,
,399,,,,50.911664962768555,,,,,,,,
19,399,,,,,,0.23859697580337524,-109.1199951171875,0.23859697580337524,0.43020835518836975,-114.19917297363281,,
19,399,,,,,,,,,,,-109.55500030517578,-114.63146209716797
,400,,,366.0984642505646,,,,,,,,,
20,419,,,,,,,,,,,-112.19499969482422,-117.51295471191406
,420,,,373.1839792728424,,,,,,,,,
