epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/po_loss,train/po_pref_rate,train/reward,val/max_reward,val/reward
,720,202.17458033561707,,,,,,,,,
36,739,,,,,,,,,-52.224998474121094,-55.5032958984375
,740,196.54682517051697,,,,,,,,,
,749,,,5568.858861923218,,,,,,,
,749,,18.150806427001953,,,,,,,,
37,749,,,,-0.9208160042762756,-52.31999969482422,-0.9208160042762756,0.42315971851348877,-56.36250305175781,,
37,759,,,,,,,,,-52.23899841308594,-55.41392135620117
,760,198.88765692710876,,,,,,,,,
38,779,,,,,,,,,-52.26300048828125,-55.48838424682617
,780,200.26534581184387,,,,,,,,,
,799,,,5603.70945930481,,,,,,,
,799,,42.9842472076416,,,,,,,,
39,799,,,,-0.7789157629013062,-52.2599983215332,-0.7789157629013062,0.42131945490837097,-56.227500915527344,,
39,799,,,,,,,,,-52.20500183105469,-55.489349365234375
,800,203.11829924583435,,,,,,,,,
40,819,,,,,,,,,-52.29499816894531,-55.474796295166016
,820,196.37384295463562,,,,,,,,,
41,839,,,,,,,,,-52.24300003051758,-55.3944091796875
,840,192.29506492614746,,,,,,,,,
,849,,,4976.677894592285,,,,,,,
,849,,13.393163681030273,,,,,,,,
42,849,,,,-0.5441539287567139,-51.23999786376953,-0.5441539287567139,0.4211111068725586,-55.1783332824707,,
42,859,,,,,,,,,-52.25699996948242,-55.50441360473633
,860,195.8615107536316,,,,,,,,,
43,879,,,,,,,,,-52.2760009765625,-55.49983215332031
,880,195.6601676940918,,,,,,,,,
,899,,,5523.245096206665,,,,,,,
,899,,37.339210510253906,,,,,,,,
44,899,,,,-0.2996782958507538,-51.71999740600586,-0.2996782958507538,0.4272569417953491,-55.87750244140625,,
44,899,,,,,,,,,-52.319000244140625,-55.61774826049805
,900,193.03768587112427,,,,,,,,,
45,919,,,,,,,,,-52.35100173950195,-55.54170608520508
,920,195.95712733268738,,,,,,,,,
46,939,,,,,,,,,-52.26499938964844,-55.49062728881836
,940,197.54765701293945,,,,,,,,,
,949,,,4786.250591278076,,,,,,,
,949,,26.737689971923828,,,,,,,,
47,949,,,,-0.7717239260673523,-52.02000045776367,-0.7717239260673523,0.4204166829586029,-56.02583312988281,,
47,959,,,,,,,,,-52.28200149536133,-55.58116912841797
,960,194.8977029323578,,,,,,,,,
48,979,,,,,,,,,-52.36600112915039,-55.599334716796875
,980,197.70815086364746,,,,,,,,,
,999,,,5590.954303741455,,,,,,,
,999,,40.70615768432617,,,,,,,,
49,999,,,,-0.4585168659687042,-51.81999969482422,-0.4585168659687042,0.4189930558204651,-55.766666412353516,,
49,999,,,,,,,,,-52.22600173950195,-55.46087646484375
,1000,195.44043827056885,,,,,,,,,
50,1019,,,,,,,,,-52.24700164794922,-55.41862487792969
,1020,192.97335410118103,,,,,,,,,
51,1039,,,,,,,,,-52.198001861572266,-55.48979949951172
,1040,194.5107979774475,,,,,,,,,
,1049,,,5283.2372188568115,,,,,,,
,1049,,25.554895401000977,,,,,,,,
52,1049,,,,-0.7259853482246399,-52.23999786376953,-0.7259853482246399,0.4201388955116272,-56.125,,
52,1059,,,,,,,,,-52.0890007019043,-55.3849983215332
,1060,200.58514213562012,,,,,,,,,
53,1079,,,,,,,,,-52.28099822998047,-55.502540588378906
,1080,195.5277042388916,,,,,,,,,
,1099,,,4998.334646224976,,,,,,,
,1099,,32.83071517944336,,,,,,,,
54,1099,,,,-0.9295352101325989,-51.599998474121094,-0.9295352101325989,0.4201388955116272,-55.5625,,
54,1099,,,,,,,,,-52.20100021362305,-55.37129211425781
,1100,195.4452977180481,,,,,,,,,
55,1119,,,,,,,,,-52.15800094604492,-55.34208679199219
,1120,194.5162272453308,,,,,,,,,
56,1139,,,,,,,,,-52.3129997253418,-55.49462890625
,1140,195.03868079185486,,,,,,,,,
,1149,,,5138.679504394531,,,,,,,
,1149,,25.154829025268555,,,,,,,,
57,1149,,,,-0.7873002886772156,-51.89999771118164,-0.7873002886772156,0.4201388955116272,-55.711669921875,,
57,1159,,,,,,,,,-52.10200119018555,-55.352134704589844
,1160,193.77213144302368,,,,,,,,,
58,1179,,,,,,,,,-52.138999938964844,-55.392372131347656
,1180,192.57750153541565,,,,,,,,,
,1199,,,5112.40291595459,,,,,,,
,1199,,37.05430030822754,,,,,,,,
59,1199,,,,-0.6724429130554199,-51.89999771118164,-0.6724429130554199,0.42038196325302124,-55.95000076293945,,
59,1199,,,,,,,,,-52.152000427246094,-55.37666702270508
,1200,189.80122470855713,,,,,,,,,
