epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,train/sll_loss,val/max_reward,val/reward
,9,,,13689.779281616211,,,,,,
,9,,38.65933418273926,,,,,,,
0,9,,,,43.601829528808594,-156.4375,-164.52474975585938,43.601829528808594,,
,19,,,10770.897150039673,,,,,,
,19,,35.274505615234375,,,,,,,
0,19,,,,20.50171661376953,-130.84375,-138.875,20.50171661376953,,
,29,,,16960.425853729248,,,,,,
,29,,59.098005294799805,,,,,,,
0,29,,,,19.538509368896484,-150.71875,-162.87109375,19.538509368896484,,
0,31,,,,,,,,-248.3300018310547,-255.4390411376953
,32,1090.9249033927917,,,,,,,,
,39,,,18230.015754699707,,,,,,
,39,,64.10408020019531,,,,,,,
1,39,,,,16.543081283569336,-163.96875,-175.70443725585938,16.543081283569336,,
,49,,,17494.028329849243,,,,,,
,49,,58.86220932006836,,,,,,,
1,49,,,,16.950260162353516,-164.90625,-175.9635467529297,16.950260162353516,,
,59,,,20098.30403327942,,,,,,
,59,,74.18179512023926,,,,,,,
1,59,,,,18.312393188476562,-176.8125,-189.65234375,18.312393188476562,,
1,63,,,,,,,,-250.79100036621094,-257.0690612792969
,64,1193.8398492336273,,,,,,,,
,69,,,20043.981552124023,,,,,,
,69,,75.06179809570312,,,,,,,
2,69,,,,15.341005325317383,-179.96875,-192.45443725585938,15.341005325317383,,
,79,,,19037.38498687744,,,,,,
,79,,72.65353202819824,,,,,,,
2,79,,,,14.7716703414917,-176.59375,-190.0651092529297,14.7716703414917,,
