method,generation,n,max_discovery_score,median_discovery_score,mean_discovery_score,q25_discovery_score,q75_discovery_score,best_so_far
unrestricted_non_full_pair,0,5,-0.785201827685,-6.12501168251,-5.32579907179,-6.48275667429,-2.3165178895,-0.785201827685
unrestricted_non_full_pair,1,4,-0.524493674437,-4.99478997787,-4.88863636057,-6.33171929916,-3.55170703928,-0.524493674437
unrestricted_non_full_pair,2,5,-0.160468975703,-3.81400253375,-3.83062731028,-5.63743168116,-0.810740133127,-0.160468975703
unrestricted_non_full_pair,3,4,-0.85062789917,-4.10181876024,-3.50291457276,-4.4847445786,-3.11998875439,-0.160468975703
unrestricted_non_full_pair,4,6,-0.602105398973,-3.919153591,-4.00107548303,-4.70737356444,-1.73370995124,-0.160468975703
unrestricted_non_full_pair,5,5,-2.90973915656,-5.78879555066,-6.07285757462,-7.16901900371,-3.52453575532,-0.160468975703
unrestricted_non_full_pair,6,8,-0.0381262501081,-2.29639693101,-2.62761821349,-4.58722755313,-0.335389619072,-0.0381262501081
unrestricted_non_full_pair,7,3,-2.06535663207,-5.81314494212,-5.69411532084,-7.50849466523,-3.9392507871,-0.0381262501081
unrestricted_non_full_pair,8,4,-0.116200089455,-3.09950471918,-3.35575071474,-5.99918583035,-0.456069603562,-0.0381262501081
unrestricted_non_full_pair,9,3,-0.877557635307,-6.12025060256,-4.42658368084,-6.20109670361,-3.49890411894,-0.0381262501081
unrestricted_full_pair,0,5,0.0123283068339,-0.00194426377614,-0.00888284047445,-0.0145853360494,0.0032487710317,0.0123283068339
unrestricted_full_pair,1,12,0.017061094443,0.000874211390813,-0.07660139766,-0.0359028329452,0.0103783160448,0.017061094443
unrestricted_full_pair,2,16,0.0197605689367,0.00623140732447,0.000538169095914,-0.00567033390204,0.0125113874674,0.0197605689367
unrestricted_full_pair,3,17,0.0179708798726,0.00139822562536,-0.00270954534119,-0.00770330429077,0.0141944686572,0.0197605689367
unrestricted_full_pair,4,19,0.0204356511434,0.00556993484497,0.00332407784044,-0.00154987970988,0.0166103641192,0.0204356511434
unrestricted_full_pair,5,21,0.0185870726903,0.00897765159607,0.00414860437787,-0.00163986285528,0.0137903491656,0.0204356511434
unrestricted_full_pair,6,21,0.0223260521889,0.00788867473602,0.00335763749622,0.00138904651006,0.0129305521647,0.0223260521889
unrestricted_full_pair,7,27,0.021555463473,0.00946569442749,0.0059703161687,7.30057557424e-05,0.0147569477558,0.0223260521889
unrestricted_full_pair,8,27,0.0197553833326,0.0110026399295,0.00544278489219,-0.00263742605845,0.0150151650111,0.0223260521889
unrestricted_full_pair,9,30,0.0199656089147,0.00854191184044,0.00420817931493,-0.00291627645493,0.0141579459111,0.0223260521889
full_pair_reweight_only,0,8,0.0348938755035,0.0151514022827,-0.0302916843414,-0.0524443205833,0.022849936676,0.0348938755035
full_pair_reweight_only,1,13,0.0406939769745,-0,-0.0154747969701,0,0.0332170951843,0.0406939769745
full_pair_reweight_only,2,15,0.0447276008606,-0,0.0162583977,-0,0.0367172662735,0.0447276008606
full_pair_reweight_only,3,15,0.0406248092651,-0,0.0124103553772,-0,0.0340593416214,0.0447276008606
full_pair_reweight_only,4,16,0.0469313308716,-0,0.0122714633942,-0,0.0296534861565,0.0469313308716
full_pair_reweight_only,5,14,0.0417782554626,-0,0.0080180619921,0,-0,0.0469313308716
full_pair_reweight_only,6,14,0.0427918872833,-0,0.00703719223567,0,-0,0.0469313308716
full_pair_reweight_only,7,16,0.0400535549164,-0,0.0118912846565,-0,0.0333173329353,0.0469313308716
full_pair_reweight_only,8,16,0.0337965015411,-0,0.00537419240475,-0,0,0.0469313308716
full_pair_reweight_only,9,16,0.0449492778778,-0,0.0123966619492,-0,0.0359214642525,0.0469313308716
