epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/quality,train/reward,train/shape_j,train/shape_m,val/gap,val/makespan,val/reward
,49,,,948.8234519958496,,,,,,,,
,49,,3.7043094635009766,,,,,,,,,
0,49,,,,-0.013485938310623169,1.2770283222198486,-1712.0,10.0,10.0,,,
,99,,,795.9966659545898,,,,,,,,
,99,,17.4715518951416,,,,,,,,,
0,99,,,,-0.2074795365333557,1.1806955337524414,-1568.0001220703125,10.0,10.0,,,
,149,,,801.7313480377197,,,,,,,,
,149,,3.624439239501953,,,,,,,,,
0,149,,,,0.23136958479881287,1.1313836574554443,-1620.0,10.0,10.0,,,
,199,,,907.616138458252,,,,,,,,
,199,,15.33818244934082,,,,,,,,,
0,199,,,,0.7311224937438965,1.2003421783447266,-1632.0,10.0,10.0,,,
,249,,,862.9634380340576,,,,,,,,
,249,,2.6421546936035156,,,,,,,,,
0,249,,,,0.0090523362159729,1.1222023963928223,-1819.0001220703125,10.0,10.0,,,
,299,,,986.0782623291016,,,,,,,,
,299,,10.921955108642578,,,,,,,,,
0,299,,,,-0.5168514847755432,1.1304118633270264,-1595.000244140625,10.0,10.0,,,
,349,,,760.8423233032227,,,,,,,,
,349,,1.3437271118164062,,,,,,,,,
0,349,,,,-0.1845894604921341,1.1378674507141113,-1649.9998779296875,10.0,10.0,,,
,399,,,860.0127696990967,,,,,,,,
,399,,27.051687240600586,,,,,,,,,
0,399,,,,-0.2720138430595398,1.1342452764511108,-1608.9998779296875,10.0,10.0,,,
,449,,,985.2313995361328,,,,,,,,
,449,,1.9984245300292969,,,,,,,,,
0,449,,,,0.21501949429512024,1.1365623474121094,-1743.0,10.0,10.0,,,
,499,,,838.3631706237793,,,,,,,,
,499,,10.301351547241211,,,,,,,,,
0,499,,,,-0.8917242288589478,1.1102261543273926,-1623.0,10.0,10.0,,,
,549,,,836.2882137298584,,,,,,,,
,549,,1.5780925750732422,,,,,,,,,
0,549,,,,1.0984923839569092,1.151573657989502,-1702.0,10.0,10.0,,,
,599,,,854.9857139587402,,,,,,,,
,599,,10.732650756835938,,,,,,,,,
0,599,,,,-0.058128923177719116,1.1058149337768555,-1558.0,10.0,10.0,,,
,649,,,856.898307800293,,,,,,,,
,649,,1.9180774688720703,,,,,,,,,
0,649,,,,-0.4550155699253082,1.121572494506836,-1752.0,10.0,10.0,,,
,699,,,937.6144409179688,,,,,,,,
,699,,13.33761215209961,,,,,,,,,
0,699,,,,0.3557341992855072,1.1036465167999268,-1701.0,10.0,10.0,,,
,749,,,736.384391784668,,,,,,,,
,749,,1.3353824615478516,,,,,,,,,
0,749,,,,0.3376936912536621,1.120597243309021,-1699.0,10.0,10.0,,,
,799,,,853.0619144439697,,,,,,,,
,799,,10.492801666259766,,,,,,,,,
0,799,,,,-0.13671821355819702,1.1001635789871216,-1747.0,10.0,10.0,,,
,849,,,854.9859523773193,,,,,,,,
,849,,1.3535022735595703,,,,,,,,,
0,849,,,,-0.11824329942464828,1.1141153573989868,-1641.0,10.0,10.0,,,
,899,,,822.9587078094482,,,,,,,,
,899,,10.000944137573242,,,,,,,,,
0,899,,,,-0.5140805840492249,1.1302112340927124,-1716.999755859375,10.0,10.0,,,
,949,,,791.0778522491455,,,,,,,,
,949,,1.323699951171875,,,,,,,,,
0,949,,,,0.04289019852876663,1.1082720756530762,-1644.0001220703125,10.0,10.0,,,
,999,,,959.2146873474121,,,,,,,,
,999,,15.38228988647461,,,,,,,,,
0,999,,,,-0.00813862681388855,1.1006724834442139,-1526.0,10.0,10.0,,,
,1049,,,835.3660106658936,,,,,,,,
,1049,,1.3234615325927734,,,,,,,,,
0,1049,,,,0.31221073865890503,1.149285078048706,-1763.0,10.0,10.0,,,
,1099,,,849.1580486297607,,,,,,,,
,1099,,10.593175888061523,,,,,,,,,
0,1099,,,,-0.15497371554374695,1.1189978122711182,-1679.0,10.0,10.0,,,
,1149,,,749.0460872650146,,,,,,,,
,1149,,1.2483596801757812,,,,,,,,,
0,1149,,,,-0.35714811086654663,1.1323461532592773,-1546.0,10.0,10.0,,,
,1199,,,1094.799280166626,,,,,,,,
,1199,,10.659456253051758,,,,,,,,,
0,1199,,,,-0.6402636766433716,1.0741069316864014,-1561.0,10.0,10.0,,,
,1249,,,849.5833873748779,,,,,,,,
,1249,,1.2903213500976562,,,,,,,,,
0,1249,,,,-0.17453818023204803,1.0967026948928833,-1615.0,10.0,10.0,,,
,1299,,,2079.228401184082,,,,,,,,
,1299,,11.521339416503906,,,,,,,,,
0,1299,,,,0.3256797194480896,1.1016604900360107,-2559.999755859375,15.0,15.0,,,
,1349,,,1958.7230682373047,,,,,,,,
,1349,,2.0482540130615234,,,,,,,,,
0,1349,,,,0.47755640745162964,1.0995731353759766,-2615.0,15.0,15.0,,,
,1399,,,1929.4250011444092,,,,,,,,
,1399,,12.038946151733398,,,,,,,,,
0,1399,,,,0.56065434217453,1.1117241382598877,-2451.0,15.0,15.0,,,
,1449,,,1735.140085220337,,,,,,,,
,1449,,1.9669532775878906,,,,,,,,,
0,1449,,,,-0.9259014129638672,1.100775957107544,-2507.000244140625,15.0,15.0,,,
,1499,,,1952.86226272583,,,,,,,,
,1499,,10.823488235473633,,,,,,,,,
0,1499,,,,-0.806509256362915,1.115779161453247,-2320.999755859375,15.0,15.0,,,
,1549,,,2116.8510913848877,,,,,,,,
,1549,,4.642248153686523,,,,,,,,,
0,1549,,,,-0.3361249566078186,1.1184284687042236,-2534.0,15.0,15.0,,,
,1599,,,2282.8571796417236,,,,,,,,
,1599,,12.42971420288086,,,,,,,,,
0,1599,,,,0.016546189785003662,1.1052806377410889,-2496.999755859375,15.0,15.0,,,
,1649,,,1870.391607284546,,,,,,,,
,1649,,3.0858516693115234,,,,,,,,,
0,1649,,,,0.8227682113647461,1.0873539447784424,-2529.999755859375,15.0,15.0,,,
,1699,,,1935.584545135498,,,,,,,,
,1699,,10.778665542602539,,,,,,,,,
0,1699,,,,0.6694974303245544,1.0770795345306396,-2548.000244140625,15.0,15.0,,,
,1749,,,2052.1726608276367,,,,,,,,
,1749,,2.8476715087890625,,,,,,,,,
0,1749,,,,0.10757109522819519,1.0688215494155884,-2504.000244140625,15.0,15.0,,,
,1799,,,1898.7882137298584,,,,,,,,
,1799,,10.775089263916016,,,,,,,,,
0,1799,,,,0.36219802498817444,1.0989625453948975,-2501.0,15.0,15.0,,,
,1849,,,1744.847297668457,,,,,,,,
,1849,,2.7785301208496094,,,,,,,,,
0,1849,,,,0.30188989639282227,1.0918139219284058,-2455.0,15.0,15.0,,,
,1899,,,1935.3411197662354,,,,,,,,
,1899,,12.66026496887207,,,,,,,,,
0,1899,,,,0.04627346992492676,1.1101877689361572,-2564.0,15.0,15.0,,,
,1949,,,2023.460865020752,,,,,,,,
,1949,,3.160715103149414,,,,,,,,,
0,1949,,,,0.49453526735305786,1.0874804258346558,-2448.0,15.0,15.0,,,
,1999,,,1753.2966136932373,,,,,,,,
,1999,,10.206937789916992,,,,,,,,,
0,1999,,,,-0.4193817377090454,1.0776976346969604,-2473.999755859375,15.0,15.0,,,
,2049,,,1874.403953552246,,,,,,,,
,2049,,1.4977455139160156,,,,,,,,,
0,2049,,,,1.3228583335876465,1.0830203294754028,-2530.0,15.0,15.0,,,
,2099,,,1745.6200122833252,,,,,,,,
,2099,,11.918067932128906,,,,,,,,,
0,2099,,,,0.3496345281600952,1.0863893032073975,-2483.0,15.0,15.0,,,
,2149,,,1909.712791442871,,,,,,,,
,2149,,2.9823780059814453,,,,,,,,,
0,2149,,,,-0.4780206084251404,1.1070358753204346,-2422.0,15.0,15.0,,,
,2199,,,1968.4317111968994,,,,,,,,
,2199,,10.230302810668945,,,,,,,,,
