epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/pair_count,train/quality,train/reward,val/gap,val/makespan,val/reward
,3699,,,1100.8565425872803,,,,,,,
,3699,,11.646509170532227,,,,,,,,
,3749,,,1108.2308292388916,,,,,,,
,3749,,1.5909671783447266,,,,,,,,
,3799,,,1122.161626815796,,,,,,,
,3799,,12.213945388793945,,,,,,,,
,3849,,,1102.9229164123535,,,,,,,
,3849,,1.6987323760986328,,,,,,,,
,3899,,,1112.968921661377,,,,,,,
,3899,,14.863967895507812,,,,,,,,
,3949,,,1117.0618534088135,,,,,,,
,3949,,0.7486343383789062,,,,,,,,
,3999,,,1097.7938175201416,,,,,,,
,3999,,10.221004486083984,,,,,,,,
,4049,,,1096.2212085723877,,,,,,,
,4049,,1.682281494140625,,,,,,,,
,4099,,,1098.9458560943604,,,,,,,
,4099,,9.082317352294922,,,,,,,,
,4149,,,1094.4323539733887,,,,,,,
,4149,,1.707315444946289,,,,,,,,
,4199,,,1094.5298671722412,,,,,,,
,4199,,10.279655456542969,,,,,,,,
,4249,,,1110.771656036377,,,,,,,
,4249,,1.3327598571777344,,,,,,,,
,4299,,,1113.6810779571533,,,,,,,
,4299,,10.253667831420898,,,,,,,,
,4349,,,1105.4906845092773,,,,,,,
,4349,,0.6561279296875,,,,,,,,
,4399,,,1104.4237613677979,,,,,,,
,4399,,10.225772857666016,,,,,,,,
,4449,,,1098.4382629394531,,,,,,,
,4449,,2.513408660888672,,,,,,,,
,4499,,,1100.0266075134277,,,,,,,
,4499,,10.27369499206543,,,,,,,,
,4549,,,1084.5682621002197,,,,,,,
,4549,,1.5194416046142578,,,,,,,,
,4599,,,1101.2520790100098,,,,,,,
,4599,,9.085893630981445,,,,,,,,
,4649,,,1101.3758182525635,,,,,,,
,4649,,0.7081031799316406,,,,,,,,
,4699,,,1123.2917308807373,,,,,,,
,4699,,12.888193130493164,,,,,,,,
,4749,,,1151.522159576416,,,,,,,
,4749,,1.7609596252441406,,,,,,,,
,4799,,,1105.8025360107422,,,,,,,
,4799,,10.198116302490234,,,,,,,,
,4849,,,1096.3494777679443,,,,,,,
,4849,,1.741647720336914,,,,,,,,
,4899,,,1096.6980457305908,,,,,,,
,4899,,9.372472763061523,,,,,,,,
,4949,,,1103.7158966064453,,,,,,,
,4949,,1.7712116241455078,,,,,,,,
,4999,,,1097.6128578186035,,,,,,,
,4999,,10.326385498046875,,,,,,,,
,5049,,,400.9437561035156,,,,,,,
,5049,,0.499725341796875,,,,,,,,
,5099,,,372.50328063964844,,,,,,,
,5099,,9.386301040649414,,,,,,,,
,5149,,,373.0044364929199,,,,,,,
,5149,,0.47659873962402344,,,,,,,,
,5199,,,363.8312816619873,,,,,,,
,5199,,8.477210998535156,,,,,,,,
,5249,,,375.6861686706543,,,,,,,
,5249,,0.5662441253662109,,,,,,,,
,5299,,,384.81831550598145,,,,,,,
,5299,,9.180307388305664,,,,,,,,
,5349,,,381.514310836792,,,,,,,
,5349,,0.4792213439941406,,,,,,,,
,5399,,,376.8482208251953,,,,,,,
,5399,,8.878231048583984,,,,,,,,
,5449,,,369.340181350708,,,,,,,
,5449,,0.39649009704589844,,,,,,,,
,5499,,,361.25683784484863,,,,,,,
,5499,,8.355379104614258,,,,,,,,
,5549,,,399.52874183654785,,,,,,,
,5549,,0.5190372467041016,,,,,,,,
,5599,,,372.8775978088379,,,,,,,
,5599,,9.204626083374023,,,,,,,,
,5649,,,370.9592819213867,,,,,,,
,5649,,0.49304962158203125,,,,,,,,
,5699,,,370.4850673675537,,,,,,,
,5699,,9.228706359863281,,,,,,,,
,5749,,,361.10973358154297,,,,,,,
,5749,,0.4038810729980469,,,,,,,,
,5799,,,372.4205493927002,,,,,,,
,5799,,8.670330047607422,,,,,,,,
,5849,,,365.6609058380127,,,,,,,
,5849,,0.5192756652832031,,,,,,,,
,5899,,,376.7850399017334,,,,,,,
,5899,,16.114234924316406,,,,,,,,
,5949,,,364.8393154144287,,,,,,,
,5949,,0.5023479461669922,,,,,,,,
,5999,,,365.67068099975586,,,,,,,
,5999,,9.06682014465332,,,,,,,,
,6049,,,377.0895004272461,,,,,,,
,6049,,0.46825408935546875,,,,,,,,
,6099,,,375.0638961791992,,,,,,,
,6099,,9.311676025390625,,,,,,,,
,6149,,,375.4243850708008,,,,,,,
,6149,,2.3412704467773438,,,,,,,,
,6199,,,370.6796169281006,,,,,,,
,6199,,8.606672286987305,,,,,,,,
,6249,,,362.2393608093262,,,,,,,
,6249,,0.3917217254638672,,,,,,,,
,6299,,,368.9398765563965,,,,,,,
,6299,,9.252548217773438,,,,,,,,
,6349,,,365.9710884094238,,,,,,,
,6349,,0.4711151123046875,,,,,,,,
,6399,,,365.80610275268555,,,,,,,
,6399,,8.825302124023438,,,,,,,,
,6449,,,372.9586601257324,,,,,,,
,6449,,0.5486011505126953,,,,,,,,
,6499,,,365.95654487609863,,,,,,,
,6499,,9.260416030883789,,,,,,,,
,6549,,,361.35363578796387,,,,,,,
,6549,,0.43129920959472656,,,,,,,,
,6599,,,365.1752471923828,,,,,,,
,6599,,9.237289428710938,,,,,,,,
,6649,,,380.54585456848145,,,,,,,
,6649,,1.2888908386230469,,,,,,,,
,6699,,,367.33317375183105,,,,,,,
,6699,,9.146928787231445,,,,,,,,
,6749,,,369.42219734191895,,,,,,,
,6749,,1.1527538299560547,,,,,,,,
,6799,,,363.72947692871094,,,,,,,
,6799,,8.475303649902344,,,,,,,,
,6849,,,369.6296215057373,,,,,,,
,6849,,0.5178451538085938,,,,,,,,
,6899,,,374.5396137237549,,,,,,,
,6899,,20.159244537353516,,,,,,,,
,6949,,,373.19254875183105,,,,,,,
,6949,,0.5064010620117188,,,,,,,,
,6999,,,372.4644184112549,,,,,,,
,6999,,8.761167526245117,,,,,,,,
,7049,,,367.0310974121094,,,,,,,
,7049,,0.46563148498535156,,,,,,,,
,7099,,,373.1081485748291,,,,,,,
,7099,,9.355306625366211,,,,,,,,
,7149,,,373.1422424316406,,,,,,,
,7149,,0.5159378051757812,,,,,,,,
,7199,,,369.9057102203369,,,,,,,
,7199,,9.203910827636719,,,,,,,,
,7249,,,365.7336235046387,,,,,,,
,7249,,0.48232078552246094,,,,,,,,
,7299,,,370.7606792449951,,,,,,,
,7299,,9.115934371948242,,,,,,,,
,7349,,,367.2504425048828,,,,,,,
,7349,,0.4119873046875,,,,,,,,
,7399,,,373.05355072021484,,,,,,,
,7399,,8.519172668457031,,,,,,,,
,7449,,,417.6440238952637,,,,,,,
,7449,,1.0046958923339844,,,,,,,,
,7499,,,449.54586029052734,,,,,,,
,7499,,8.81338119506836,,,,,,,,
,7549,,,374.2713928222656,,,,,,,
,7549,,1.0690689086914062,,,,,,,,
,7599,,,356.656551361084,,,,,,,
,7599,,8.4075927734375,,,,,,,,
,7649,,,363.06238174438477,,,,,,,
,7649,,0.4210472106933594,,,,,,,,
,7699,,,357.94973373413086,,,,,,,
,7699,,8.644580841064453,,,,,,,,
,7749,,,354.02798652648926,,,,,,,
,7749,,0.3948211669921875,,,,,,,,
,7799,,,353.4865379333496,,,,,,,
,7799,,8.679628372192383,,,,,,,,
,7849,,,361.4833354949951,,,,,,,
,7849,,0.38433074951171875,,,,,,,,
,7899,,,359.94744300842285,,,,,,,
,7899,,8.551836013793945,,,,,,,,
,7949,,,353.7571430206299,,,,,,,
,7949,,0.38623809814453125,,,,,,,,
,7999,,,368.847131729126,,,,,,,
,7999,,8.484840393066406,,,,,,,,
,8049,,,350.5709171295166,,,,,,,
,8049,,0.4124641418457031,,,,,,,,
,8099,,,348.1929302215576,,,,,,,
,8099,,10.394811630249023,,,,,,,,
,8149,,,426.11026763916016,,,,,,,
,8149,,1.2638568878173828,,,,,,,,
,8199,,,423.0666160583496,,,,,,,
,8199,,8.446216583251953,,,,,,,,
,8249,,,412.17780113220215,,,,,,,
,8249,,0.45418739318847656,,,,,,,,
,8299,,,413.33961486816406,,,,,,,
,8299,,8.411884307861328,,,,,,,,
,8349,,,412.78672218322754,,,,,,,
,8349,,0.4239082336425781,,,,,,,,
,8399,,,412.3990535736084,,,,,,,
,8399,,8.37254524230957,,,,,,,,
,8449,,,411.8077754974365,,,,,,,
,8449,,0.4210472106933594,,,,,,,,
,8499,,,412.9502773284912,,,,,,,
,8499,,8.199453353881836,,,,,,,,
,8549,,,411.88526153564453,,,,,,,
,8549,,0.42438507080078125,,,,,,,,
,8599,,,412.10436820983887,,,,,,,
,8599,,8.352279663085938,,,,,,,,
,8649,,,426.44262313842773,,,,,,,
,8649,,0.9365081787109375,,,,,,,,
,8699,,,412.5018119812012,,,,,,,
,8699,,16.177892684936523,,,,,,,,
,8749,,,413.4519100189209,,,,,,,
,8749,,0.3991127014160156,,,,,,,,
,8799,,,414.28399085998535,,,,,,,
,8799,,16.028404235839844,,,,,,,,
,8849,,,415.82393646240234,,,,,,,
,8849,,0.38909912109375,,,,,,,,
,8899,,,420.24755477905273,,,,,,,
,8899,,8.378982543945312,,,,,,,,
,8949,,,421.8766689300537,,,,,,,
,8949,,0.3986358642578125,,,,,,,,
,8999,,,414.2639636993408,,,,,,,
,8999,,16.3421630859375,,,,,,,,
,9049,,,415.41028022766113,,,,,,,
,9049,,0.4749298095703125,,,,,,,,
,9099,,,412.91260719299316,,,,,,,
,9099,,16.559600830078125,,,,,,,,
,9149,,,412.77551651000977,,,,,,,
,9149,,0.44035911560058594,,,,,,,,
,9199,,,412.8293991088867,,,,,,,
,9199,,8.385896682739258,,,,,,,,
,9249,,,423.6636161804199,,,,,,,
,9249,,0.45228004455566406,,,,,,,,
,9299,,,412.9915237426758,,,,,,,
,9299,,8.25047492980957,,,,,,,,
,9349,,,419.9032783508301,,,,,,,
,9349,,0.4010200500488281,,,,,,,,
,9399,,,412.11962699890137,,,,,,,
,9399,,8.515119552612305,,,,,,,,
,9449,,,416.8689250946045,,,,,,,
,9449,,0.3960132598876953,,,,,,,,
,9499,,,420.121431350708,,,,,,,
,9499,,15.523672103881836,,,,,,,,
,9549,,,412.31465339660645,,,,,,,
,9549,,0.3883838653564453,,,,,,,,
,9599,,,419.95859146118164,,,,,,,
,9599,,13.915777206420898,,,,,,,,
,9649,,,421.0371971130371,,,,,,,
,9649,,0.40340423583984375,,,,,,,,
,9699,,,417.6363945007324,,,,,,,
,9699,,7.92384147644043,,,,,,,,
,9749,,,412.0049476623535,,,,,,,
,9749,,0.3948211669921875,,,,,,,,
,9799,,,420.6662178039551,,,,,,,
,9799,,8.177757263183594,,,,,,,,
,9849,,,412.3871326446533,,,,,,,
,9849,,0.3974437713623047,,,,,,,,
,9899,,,412.37688064575195,,,,,,,
,9899,,8.323907852172852,,,,,,,,
,9949,,,420.3956127166748,,,,,,,
,9949,,0.40435791015625,,,,,,,,
,9999,,,426.0709285736084,,,,,,,
,9999,,15.637874603271484,,,,,,,,
,10049,,,629.7397613525391,,,,,,,
,10049,,0.4258155822753906,,,,,,,,
,10099,,,615.4272556304932,,,,,,,
,10099,,8.473396301269531,,,,,,,,
,10149,,,618.4535026550293,,,,,,,
,10149,,1.3463497161865234,,,,,,,,
,10199,,,616.9884204864502,,,,,,,
,10199,,8.070230484008789,,,,,,,,
,10249,,,615.9107685089111,,,,,,,
,10249,,0.44417381286621094,,,,,,,,
,10299,,,628.0133724212646,,,,,,,
,10299,,8.600711822509766,,,,,,,,
,10349,,,619.401216506958,,,,,,,
,10349,,0.9763240814208984,,,,,,,,
,10399,,,625.0200271606445,,,,,,,
,10399,,16.180753707885742,,,,,,,,
,10449,,,616.2757873535156,,,,,,,
,10449,,0.4420280456542969,,,,,,,,
,10499,,,617.9516315460205,,,,,,,
,10499,,8.811712265014648,,,,,,,,
,10549,,,616.9576644897461,,,,,,,
,10549,,0.4153251647949219,,,,,,,,
,10599,,,625.1711845397949,,,,,,,
,10599,,8.575439453125,,,,,,,,
,10649,,,634.8268985748291,,,,,,,
,10649,,1.192331314086914,,,,,,,,
,10699,,,618.4735298156738,,,,,,,
,10699,,8.778572082519531,,,,,,,,
,10749,,,615.4172420501709,,,,,,,
,10749,,0.41675567626953125,,,,,,,,
,10799,,,624.7689723968506,,,,,,,
,10799,,8.56328010559082,,,,,,,,
,10849,,,628.2165050506592,,,,,,,
,10849,,0.44465065002441406,,,,,,,,
