epoch,step,train/delta_nll,train/diversity_edge,train/diversity_edge_entropy,train/diversity_edge_simpson,train/diversity_edit_edge,train/diversity_route,train/ga_cost_gain,train/ga_cost_gain_rel,train/loss,train/max_reward,train/reward,train/t_decode,train/t_diag,train/t_ga,train/t_total_raw,val/max_aug_reward,val/max_aug_reward_no_ls,val/max_reward,val/max_reward_no_ls,val/reward,val/reward_no_ls
0,49,,,,,,,,,-2.7192723751068115,-6.494745254516602,-8.743577003479004,0.07014989852905273,0.0,0.0,0.11415112018585205,,,,,,
0,99,,,,,,,,,-2.0434999465942383,-6.126688003540039,-7.958518028259277,0.07024919241666794,0.0,0.0,0.11377191543579102,,,,,,
0,149,,,,,,,,,-1.7755320072174072,-5.685006141662598,-7.708272933959961,0.06980086863040924,0.0,0.0,0.11551311612129211,,,,,,
0,199,,,,,,,0.024962425231933594,6.553340062964708e-05,-1.54991614818573,-5.846386909484863,-7.544694423675537,0.0755215585231781,0.0,0.0,0.12663251161575317,,,,,,
0,249,,,,,,,0.020194053649902344,5.3711850341642275e-05,-1.5599600076675415,-5.742825031280518,-7.406002521514893,0.0731678232550621,0.0,0.0,0.1190066933631897,,,,,,
0,299,,,,,,,0.020194053649902344,5.3711850341642275e-05,-1.3808681964874268,-5.873903274536133,-7.326060771942139,0.07096658647060394,0.0,0.0,0.11653102189302444,,,,,,
0,349,,,,,,,0.029420852661132812,8.124457963276654e-05,-1.4503942728042603,-5.814067840576172,-7.2905426025390625,0.0708998590707779,0.0,0.0,0.12042093276977539,,,,,,
0,399,,,,,,,0.00286102294921875,7.929786988825072e-06,-1.2135064601898193,-5.573544979095459,-7.204293727874756,0.07153715193271637,0.0,0.0,0.11647778004407883,,,,,,
0,449,,,,,,,0.00286102294921875,7.929786988825072e-06,-1.3612176179885864,-5.660831928253174,-7.15823221206665,0.0706075131893158,0.0,0.0,0.11509955674409866,,,,,,
0,499,,,,,,,0.019669532775878906,5.4591146181337535e-05,-1.2237564325332642,-5.534490585327148,-7.187389850616455,0.07872871309518814,0.0,0.0,0.1310993880033493,,,,,,
0,549,,,,,,,0.010085105895996094,2.859926098608412e-05,-1.3602416515350342,-5.735940456390381,-7.1353759765625,0.07051102817058563,0.0,0.0,0.11480771005153656,,,,,,
0,599,,,,,,,0.009131431579589844,2.5789304345380515e-05,-1.0904438495635986,-5.578860282897949,-7.071953773498535,0.07191944867372513,0.0,0.0,0.11896703392267227,,,,,,
0,649,,,,,,,0.009131431579589844,2.5789304345380515e-05,-1.0263018608093262,-5.826183319091797,-7.02119255065918,0.07088708877563477,0.0,0.0,0.11576824635267258,,,,,,
0,699,,,,,,,0.009131431579589844,2.5789304345380515e-05,-1.1883628368377686,-5.634819984436035,-7.010306358337402,0.07109846919775009,0.0,0.0,0.1186901107430458,,,,,,
0,749,,,,,,,0.009131431579589844,2.5789304345380515e-05,-0.9974821209907532,-5.424103736877441,-6.964039325714111,0.08508835732936859,0.0,0.0,0.13851965963840485,,,,,,
0,799,,,,,,,0.009131431579589844,2.5789304345380515e-05,-1.0600694417953491,-5.454798698425293,-6.984078407287598,0.07161980122327805,0.0,0.0,0.11276095360517502,,,,,,
0,849,,,,,,,0.009131431579589844,2.5789304345380515e-05,-0.833014965057373,-5.590875148773193,-6.950776100158691,0.07434463500976562,0.0,0.0,0.12239279597997665,,,,,,
0,899,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.01590251922607422,4.650737173506059e-05,-0.9665194749832153,-5.515668869018555,-6.965450286865234,0.07057824730873108,0.0,0.0,0.1148773655295372,,,,,,
0,949,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.01590251922607422,4.650737173506059e-05,-1.1847442388534546,-5.479294300079346,-6.921831130981445,0.06966259330511093,0.0,0.0,0.11387905478477478,,,,,,
0,999,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.01590251922607422,4.650737173506059e-05,-1.2178388833999634,-5.48822021484375,-6.820352077484131,0.06996709108352661,0.0,0.0,0.11417478322982788,,,,,,
0,1049,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.023031234741210938,6.652758020209149e-05,-0.9680927991867065,-5.478687286376953,-6.887524127960205,0.07052493840456009,0.0,0.0,0.11519161611795425,,,,,,
0,1099,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.0133514404296875,3.9095411921152845e-05,-0.834937572479248,-5.657662391662598,-6.860792636871338,0.07016970217227936,0.0,0.0,0.11915239691734314,,,,,,
0,1149,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.0133514404296875,3.9095411921152845e-05,-0.9548541307449341,-5.417300224304199,-6.809488296508789,0.07266493886709213,0.0,0.0,0.11645469069480896,,,,,,
0,1199,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.0133514404296875,3.9095411921152845e-05,-0.9388885498046875,-5.385796546936035,-6.707756042480469,0.06935546547174454,0.0,0.0,0.11481151729822159,,,,,,
0,1249,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.0133514404296875,3.9095411921152845e-05,-0.736231803894043,-5.367116928100586,-6.6659979820251465,0.06981755793094635,0.0,0.0,0.1138470396399498,,,,,,
0,1299,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.0133514404296875,3.9095411921152845e-05,-0.6413793563842773,-5.253968238830566,-6.75672721862793,0.06963161379098892,0.0,0.0,0.1111050546169281,,,,,,
0,1349,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.0133514404296875,3.9095411921152845e-05,-0.5932649970054626,-5.494822025299072,-6.713994979858398,0.08228008449077606,0.0,0.0,0.1274186372756958,,,,,,
0,1399,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.0133514404296875,3.9095411921152845e-05,-0.742691695690155,-5.345371246337891,-6.721139907836914,0.0707056000828743,0.0,0.0,0.1145491972565651,,,,,,
0,1449,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.015354156494140625,4.632582567865029e-05,-0.7806726098060608,-5.613743782043457,-6.686456203460693,0.07022711634635925,0.0,0.0,0.11430658400058746,,,,,,
0,1499,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.015354156494140625,4.632582567865029e-05,-0.756057858467102,-5.547842979431152,-6.699621200561523,0.07117288559675217,0.0,0.0,0.11570621281862259,,,,,,
0,1549,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.015997886657714844,4.845787407248281e-05,-0.5965598821640015,-5.488663196563721,-6.618513107299805,0.07358851283788681,0.0,0.0,0.11876603960990906,,,,,,
0,1599,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.015997886657714844,4.845787407248281e-05,-0.6236460208892822,-5.383599281311035,-6.625109672546387,0.07137642800807953,0.0,0.0,0.11648215353488922,,,,,,
0,1649,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.015997886657714844,4.845787407248281e-05,-0.7391244173049927,-5.453733444213867,-6.681055545806885,0.07116350531578064,0.0,0.0,0.11630833148956299,,,,,,
0,1699,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.0091552734375,2.7664318622555584e-05,-0.6056571006774902,-5.682685852050781,-6.632195949554443,0.07069304585456848,0.0,0.0,0.1153145357966423,,,,,,
0,1749,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.017404556274414062,5.265034269541502e-05,-0.5640473961830139,-5.3693766593933105,-6.568802356719971,0.07234801352024078,0.0,0.0,0.12330706417560577,,,,,,
0,1799,0.016027450561523438,0.9789676070213318,0.9803417325019836,0.9997290968894958,0.0008553770021535456,0.0,0.017404556274414062,5.265034269541502e-05,-0.5595034956932068,-5.060216903686523,-6.618812084197998,0.07108356058597565,0.0,0.0,0.12057970464229584,,,,,,
0,1849,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.016021728515625,4.840554902330041e-05,-0.6094530820846558,-5.349332809448242,-6.586345195770264,0.07066291570663452,0.0,0.0,0.11802230775356293,,,,,,
0,1899,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.016021728515625,4.840554902330041e-05,-0.5822091698646545,-5.165523529052734,-6.604385852813721,0.0737181305885315,0.0,0.0,0.12310474365949631,,,,,,
0,1949,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.012564659118652344,3.826706961262971e-05,-0.6285232305526733,-5.193142890930176,-6.588468551635742,0.07271495461463928,0.0,0.0,0.12219548970460892,,,,,,
0,1999,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.012564659118652344,3.826706961262971e-05,-0.6493610739707947,-5.275464057922363,-6.582760334014893,0.07093136757612228,0.0,0.0,0.11707547307014465,,,,,,
0,2049,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.012564659118652344,3.826706961262971e-05,-0.6426032185554504,-5.387613296508789,-6.5413498878479,0.07131870836019516,0.0,0.0,0.11611135303974152,,,,,,
0,2099,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.014352798461914062,4.364640699350275e-05,-0.6073964834213257,-5.255640983581543,-6.56547212600708,0.0778760313987732,0.0,0.0,0.130752295255661,,,,,,
0,2149,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.012540817260742188,3.81820609618444e-05,-0.5610739588737488,-5.37157678604126,-6.514416217803955,0.07143920660018921,0.0,0.0,0.11600450426340103,,,,,,
0,2199,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.009250640869140625,2.8752088837791234e-05,-0.5495245456695557,-5.39056396484375,-6.62909460067749,0.07050386071205139,0.0,0.0,0.11539024114608765,,,,,,
0,2249,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.014781951904296875,4.527657802100293e-05,-0.4163140654563904,-5.617213249206543,-6.5528717041015625,0.06958500295877457,0.0,0.0,0.11139072477817535,,,,,,
0,2299,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.014781951904296875,4.527657802100293e-05,-0.45957326889038086,-5.366409778594971,-6.568512916564941,0.07009559869766235,0.0,0.0,0.11874603480100632,,,,,,
0,2349,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.014781951904296875,4.527657802100293e-05,-0.5339372754096985,-5.410254001617432,-6.588590621948242,0.07719438523054123,0.0,0.0,0.1221688985824585,,,,,,
0,2399,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.022339820861816406,6.858821143396199e-05,-0.6564944386482239,-5.389650344848633,-6.514186382293701,0.14126895368099213,0.0,0.5302296876907349,0.7680036425590515,,,,,,
0,2449,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.022339820861816406,6.858821143396199e-05,-0.47308555245399475,-5.409723281860352,-6.451071739196777,0.07063129544258118,0.0,0.0,0.11557479947805405,,,,,,
0,2499,0.0130615234375,0.9786185622215271,0.9801545143127441,0.9997247457504272,0.0014054981293156743,0.0,0.022339820861816406,6.858821143396199e-05,-0.4920036494731903,-5.346312522888184,-6.492860794067383,0.069710373878479,0.0,0.0,0.11441023647785187,,,,,,
0,2499,,,,,,,,,,,,,,,,-5.792943954467773,-5.792943954467773,-5.930592060089111,-5.930592060089111,-6.366975784301758,-6.366975784301758
1,2549,,,,,,,,,-0.4793466031551361,-5.382327079772949,-6.507429122924805,0.07030723243951797,0.0,0.0,0.11956791579723358,,,,,,
1,2599,,,,,,,,,-0.44972869753837585,-5.335528373718262,-6.502359390258789,0.07016915827989578,0.0,0.0,0.11328420788049698,,,,,,
1,2649,,,,,,,,,-0.40239787101745605,-5.397355556488037,-6.501224994659424,0.06984817236661911,0.0,0.0,0.11344258487224579,,,,,,
1,2699,0.04143333435058594,0.9788807034492493,0.980505645275116,0.9997300505638123,0.0015256890328601003,0.0,0.029349327087402344,9.058770228875801e-05,-0.417083740234375,-5.230140686035156,-6.42104434967041,0.07073476910591125,0.0,0.0,0.11273651570081711,,,,,,
1,2749,0.04143333435058594,0.9788807034492493,0.980505645275116,0.9997300505638123,0.0015256890328601003,0.0,0.0202178955078125,6.238331116037443e-05,-0.39205148816108704,-5.266165733337402,-6.440964221954346,0.07058157026767731,0.0,0.0,0.11568264663219452,,,,,,
1,2799,0.04143333435058594,0.9788807034492493,0.980505645275116,0.9997300505638123,0.0015256890328601003,0.0,0.01392364501953125,4.316712511354126e-05,-0.36253851652145386,-5.271427154541016,-6.411695957183838,0.07051961123943329,0.0,0.0,0.11668867617845535,,,,,,
