epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,799,,,,,5094.657421112061,,,,,
,799,,,,25.225162506103516,,,,,,
39,799,,,,,,-2.492563486099243,-52.63999938964844,-56.41666793823242,,
39,799,,,,,,,,,-52.4010009765625,-55.68632888793945
,800,,,183.71065855026245,,,,,,,
40,819,,,,,,,,,-52.33100128173828,-55.55558776855469
,820,,,181.09853768348694,,,,,,,
41,839,,,,,,,,,-52.27299880981445,-55.47383499145508
,840,,,177.42327857017517,,,,,,,
,849,,,,,4598.34623336792,,,,,
,849,,,,11.489391326904297,,,,,,
42,849,,,,,,-1.529709815979004,-51.19999694824219,-55.169166564941406,,
42,859,,,,,,,,,-52.380001068115234,-55.63291931152344
,860,,,176.38518810272217,,,,,,,
43,879,,,,,,,,,-52.04800033569336,-55.318077087402344
,880,,,235.03578543663025,,,,,,,
,899,,,,,6828.269243240356,,,,,
,899,,,,26.895761489868164,,,,,,
44,899,,,,,,-2.9548277854919434,-51.97999954223633,-56.0091667175293,,
44,899,,,,,,,,,-52.31999969482422,-55.61612319946289
,900,,,239.3916881084442,,,,,,,
45,919,,,,,,,,,-52.3129997253418,-55.549537658691406
,920,,,238.90198493003845,,,,,,,
46,939,,,,,,,,,-52.314998626708984,-55.49966049194336
,940,,,219.74662804603577,,,,,,,
,949,,,,,4827.193021774292,,,,,
,949,,,,12.079477310180664,,,,,,
47,949,,,,,,-1.6606361865997314,-51.68000030517578,-55.78166961669922,,
47,959,,,,,,,,,-52.268001556396484,-55.51625061035156
,960,,,180.73974347114563,,,,,,,
48,979,,,,,,,,,-52.24599838256836,-55.494537353515625
,980,,,183.6279308795929,,,,,,,
,999,,,,,4929.1181564331055,,,,,
,999,,,,26.414155960083008,,,,,,
49,999,,,,,,-1.5449327230453491,-51.97999954223633,-55.90583419799805,,
49,999,,,,,,,,,-52.36899948120117,-55.542537689208984
,1000,,,182.54505014419556,,,,,,,
50,1019,,,,,,,,,-52.17100143432617,-55.44237518310547
,1020,,,180.09298586845398,,,,,,,
51,1039,,,,,,,,,-52.3380012512207,-55.58837127685547
,1040,,,180.21492910385132,,,,,,,
,1049,,,,,4705.314874649048,,,,,
,1049,,,,12.835979461669922,,,,,,
52,1049,,,,,,-1.8708720207214355,-52.65999984741211,-56.526668548583984,,
52,1059,,,,,,,,,-52.12900161743164,-55.361080169677734
,1060,,,180.86564207077026,,,,,,,
53,1079,,,,,,,,,-52.26599884033203,-55.459590911865234
,1080,,,183.95369696617126,,,,,,,
,1099,,,,,4618.329763412476,,,,,
,1099,,,,25.85315704345703,,,,,,
54,1099,,,,,,-1.9039835929870605,-51.69999694824219,-55.450836181640625,,
54,1099,,,,,,,,,-52.1619987487793,-55.37653732299805
,1100,,,193.2778115272522,,,,,,,
55,1119,,,,,,,,,-52.21699905395508,-55.463661193847656
,1120,,,175.42309427261353,,,,,,,
56,1139,,,,,,,,,-52.244998931884766,-55.425254821777344
