epoch,lr-Adam,step,time/inter_step (ms),time/intra_step (ms),train/bopo_loss,train/bopo_pair_count,train/loss,train/max_reward,train/reward
,0.0003,0,,,,,,,
,,49,,480.1321029663086,,,,,
,,49,8.412837982177734,,,,,,
0,,49,,,0.6916961669921875,576.0,0.6916961669921875,-20.218231201171875,-22.235836029052734
,,99,,506.0083866119385,,,,,
,,99,27.625322341918945,,,,,,
0,,99,,,0.6925504207611084,576.0,0.6925504207611084,-19.675277709960938,-21.806718826293945
,,149,,478.00374031066895,,,,,
,,149,8.741140365600586,,,,,,
0,,149,,,0.691943347454071,576.0,0.691943347454071,-19.552410125732422,-21.875396728515625
,,199,,486.9112968444824,,,,,
,,199,27.017593383789062,,,,,,
0,,199,,,0.6924434304237366,576.0,0.6924434304237366,-19.068315505981445,-21.43498420715332
,,249,,483.234167098999,,,,,
,,249,8.456945419311523,,,,,,
0,,249,,,0.6920173764228821,576.0,0.6920173764228821,-18.412425994873047,-20.453495025634766
,,299,,482.7103614807129,,,,,
,,299,30.65800666809082,,,,,,
0,,299,,,0.6924366354942322,576.0,0.6924366354942322,-18.705148696899414,-21.082435607910156
,,349,,535.1097583770752,,,,,
,,349,7.552623748779297,,,,,,
0,,349,,,0.6922594904899597,576.0,0.6922594904899597,-18.581890106201172,-20.80453872680664
,,399,,510.70713996887207,,,,,
,,399,27.58169174194336,,,,,,
0,,399,,,0.6927329301834106,576.0,0.6927329301834106,-18.493244171142578,-20.523794174194336
,,449,,515.2871608734131,,,,,
,,449,9.242534637451172,,,,,,
0,,449,,,0.6920574903488159,576.0,0.6920574903488159,-18.786457061767578,-21.161840438842773
,,499,,605.5030822753906,,,,,
,,499,32.31024742126465,,,,,,
0,,499,,,0.690724790096283,576.0,0.690724790096283,-18.32052993774414,-22.9136905670166
,,549,,571.6865062713623,,,,,
,,549,10.878324508666992,,,,,,
0,,549,,,0.6913653016090393,576.0,0.6913653016090393,-17.706974029541016,-21.561298370361328
,,599,,582.9012393951416,,,,,
,,599,29.27684783935547,,,,,,
0,,599,,,0.6912588477134705,576.0,0.6912588477134705,-17.954959869384766,-22.3873233795166
,,649,,611.1927032470703,,,,,
,,649,11.454105377197266,,,,,,
0,,649,,,0.6918796300888062,576.0,0.6918796300888062,-18.31634521484375,-22.61467742919922
,,699,,608.2980632781982,,,,,
,,699,30.862808227539062,,,,,,
0,,699,,,0.691893458366394,576.0,0.691893458366394,-18.03348731994629,-21.88811683654785
