"generation","result_count","best_delta","worst_delta"
0,2,-0.003541009521484284,0.0009646987915044036
1,16,0.5421689613342293,1.8988522010803228
2,16,0.4754097877502437,2.2272182411193855
3,16,0.4812286140441904,2.202559009552002
4,16,0.5348729530334468,2.593644855499268
5,16,0.42113214950561595,2.754585919952393
6,16,0.4432305305480968,3.333467464447021
7,16,0.440435221099853,33.65642341384888
8,16,0.46018502578735454,17.275844257354734
9,16,0.5383876274108887,2.4822426216125484
10,16,0.47499813003540137,3.064538013458253
11,16,0.48012730941772563,1.3192497581481932
12,16,0.46402936172485365,1.5478889900207529
13,16,0.563321094512939,1.7992942726135253
14,16,0.4489200294494635,33.85133009719849
15,16,0.5205662025451661,1.938901776885987
16,16,0.5069195274353033,2.1507204490661627
17,16,0.5099236671447764,3.0192569892883308
18,16,0.5368384529113763,1.8975165855407718
19,16,0.4891823616027837,1.209790889739991
