problem,transfer,feature,ks_search_vs_transfer,search_mean,transfer_mean,search_median,transfer_median
tsp100,TSP100 -> TSP50,pre_clamp_pressure,0.020016233766233738,-0.024097749963402748,-0.04926139861345291,0.08572419732809067,0.05545089393854141
tsp100,TSP100 -> TSP50,final_weight,0.017898371469800056,1.8282749652862549,1.7987709045410156,2.5,2.5
tsp100,TSP100 -> TSP50,normalized_final_weight,0.017898371469800056,0.7079455256462097,0.6951178312301636,1.0,1.0
tsp100,TSP100 -> TSP50,gap_mad,0.019103019995877046,1.717814326286316,1.7877702713012695,1.4397947788238525,1.4912617206573486
tsp100,TSP100 -> TSP50,margin_norm,0.00519519171304883,1.1276124715805054,1.1233022212982178,0.9491138458251953,0.9396077394485474
tsp100,TSP100 -> TSP50,rank_diff,0.0397979797979798,0.3400673270225525,0.3469387888908386,0.3030302822589874,0.30612245202064514
cvrp100,CVRP100 -> CVRP50,pre_clamp_pressure,0.24326736755308187,-0.5770665407180786,-0.8360564708709717,-0.4947469234466553,-0.744662344455719
cvrp100,CVRP100 -> CVRP50,final_weight,0.24326736755308187,2.0166375637054443,1.184822678565979,1.6003799438476562,0.9001350402832031
cvrp100,CVRP100 -> CVRP50,normalized_final_weight,0.24326736755308187,0.36524203419685364,0.18826013803482056,0.27667659521102905,0.12768831849098206
cvrp100,CVRP100 -> CVRP50,gap_mad,0.020393217893217908,1.8537148237228394,1.7822484970092773,1.4871795177459717,1.4792969226837158
cvrp100,CVRP100 -> CVRP50,margin_norm,0.0036466707895279615,1.1345847845077515,1.1353586912155151,0.9689376354217529,0.968480110168457
cvrp100,CVRP100 -> CVRP50,rank_diff,0.0397979797979798,0.3400673270225525,0.3469387888908386,0.3030302822589874,0.30612245202064514
ffsp100,FFSP100 -> FFSP50,pre_clamp_pressure,0.019865747268829392,0.08572554588317871,0.07245265692472458,0.054189201444387436,0.039260298013687134
ffsp100,FFSP100 -> FFSP50,final_weight,0.015406430365429713,2.085322618484497,2.0767500400543213,2.5,2.5
ffsp100,FFSP100 -> FFSP50,normalized_final_weight,0.015406430365429713,0.823541522026062,0.8198935985565186,1.0,1.0
ffsp100,FFSP100 -> FFSP50,gap_mad,0.033528510930187494,2.133942127227783,2.151578426361084,1.75,1.6666666269302368
ffsp100,FFSP100 -> FFSP50,margin_norm,0.008536540511845714,1.1426105499267578,1.1461020708084106,0.982461154460907,0.9882710576057434
ffsp100,FFSP100 -> FFSP50,rank_diff,0.019559850076992624,0.37868329882621765,0.3866215944290161,0.3478260636329651,0.3478260934352875
jssp10x10,JSSP10x10 -> JSSP15x15,pre_clamp_pressure,0.05167794988115737,-0.21279175579547882,-0.15908308327198029,-0.13492609560489655,-0.08130582422018051
jssp10x10,JSSP10x10 -> JSSP15x15,final_weight,0.046672433089855137,1.9521387815475464,2.046745538711548,2.198847770690918,2.487799882888794
jssp10x10,JSSP10x10 -> JSSP15x15,normalized_final_weight,0.046672433089855137,0.6386685967445374,0.6712914705276489,0.7237406373023987,0.8233792781829834
jssp10x10,JSSP10x10 -> JSSP15x15,gap_mad,0.026638339088843166,1.6892145872116089,1.7893459796905518,1.4390244483947754,1.503546953201294
jssp10x10,JSSP10x10 -> JSSP15x15,margin_norm,0.008637975352103644,1.1350311040878296,1.130122423171997,0.971462070941925,0.9540895223617554
jssp10x10,JSSP10x10 -> JSSP15x15,rank_diff,0.00024256312568752755,0.3387760519981384,0.33869457244873047,0.29921257495880127,0.29921257495880127
