group,method,spearman_rho,normalized_nn_error,top1_agreement,top5_overlap,mean_nn_actual_distance,mean_random_actual_distance
matched,one_point,0.9752758891539398,0.2669167598777781,0.9375,0.8,0.07931008486607566,0.29713415112034164
matched,euclidean_two_point,0.9752794474655905,0.2669167598777781,0.9375,0.8,0.07931008486607566,0.29713415112034164
matched,fisher_two_point,0.9749200897995279,0.2669167598777781,0.9375,0.8,0.07931008486607566,0.29713415112034164
external,one_point,0.8037303570189924,0.39696191565201516,0.625,0.7750000000000001,0.1022663959838648,0.25762268860449977
external,euclidean_two_point,0.8016902049412411,0.3969627693285454,0.625,0.75,0.10226661591030772,0.25762268860449977
external,fisher_two_point,0.8002946123367002,0.39696191565201516,0.6875,0.7375,0.1022663959838648,0.25762268860449977
pooled,one_point,0.9261975384455894,0.3080210853641704,0.6875,0.6937500000000001,0.08597881738948335,0.27913289535952196
pooled,euclidean_two_point,0.9261307440980545,0.3080214793099334,0.6875,0.70625,0.08597892735270479,0.27913289535952196
pooled,fisher_two_point,0.925774350800996,0.3080210853641704,0.6875,0.7125,0.08597881738948335,0.27913289535952196
