source,key,score,rank_index,loss,gradient_norm,parameter_step_norm,response_norm,elapsed_seconds,error
matched,g_ref::f004_009_8bc47121,-0.02145215148925761,0,0.6433867812156677,2.4206437268012633,0.3210535020361865,55.26017016861306,1.2270413000005647,
matched,g_ref::f009_009_11a243e4,-0.013208696746825677,3,0.37003495685237525,0.8337276613262984,0.32071213406864385,55.97364642255307,2.174000700004399,
matched,g_ref::f001_006_7a9533f8,-0.010966670608520523,5,0.6437056660652161,2.4358039060243306,0.3210623893600099,55.28719862100107,1.339659400000528,
matched,g_ref::f009_012_fe608485,-0.007863076782226308,8,0.6608847851517589,1.1973826144399486,0.3208472600518015,54.48800270288955,1.8266596000030404,
matched,g_ref::f008_013_f9624f1c,-0.0066167686462397235,10,0.4640985961267072,1.0110630809208891,0.32079488158874797,56.030358484893895,0.900488300001598,
matched,g_ref::f007_001_f0cb97b6,-0.006049733734130314,13,0.6631626576151243,1.3040755737749516,0.3208802689709495,54.56792159746281,0.8021873999969102,
matched,g_ref::f008_015_7ce47577,-0.0047830284118650646,16,0.6623667468370846,1.3357842490961171,0.3208908305716975,54.46251341163638,1.0453978000005009,
matched,g_ref::f004_005_d9e9b2d8,-0.0030386592864988238,18,6718.00303348319,13310.104925660331,0.32407743400497413,56.01851850480569,1.62785960000474,
matched,g_ref::f009_001_7ef2567f,-0.001981002807616594,21,0.6789290584621718,1.3451344848740647,0.3209081267105444,56.02696563573284,1.6747987999988254,
matched,g_ref::f007_002_3d53a833,-0.0011698871612542128,23,0.6789698456464841,1.3962992643067635,0.3209073305833288,54.53246354712246,1.24738790000265,
matched,g_ref::f009_011_064cf83f,0.005766624450683988,26,0.4680063214282901,0.2442066171631141,0.3200048611511952,57.02120523544038,0.7986056999943685,
matched,g_ref::f004_010_768ce53b,0.016811165237427428,29,6851.71826171875,273.2857625112112,0.32265729293564754,57.86283034536589,0.8275309000018751,
matched,g_ref::f007_007_10a7f956,0.03040526695251522,31,0.6610353217245001,1.5765170321577675,0.32099903023810666,57.11598980724552,1.6396555999963311,
matched,g_ref::f008_014_20037da3,0.22672706680297905,34,3120.318777300049,56555.163180610274,0.32428058211781513,51.33580202935597,1.0882211999996798,
matched,g_ref::f002_014_ec78f8e4,0.4690059169769287,36,1.1083933299214777,30.71147664141929,0.3216984450222849,46.709767280422476,0.726829799998086,
matched,g_ref::f004_012_52eed4b6,1.1220219722747804,39,1.1324617862701416,33.88328934282408,0.32175095463231274,46.914763712431565,0.6944325000004028,
external,g_ref::f005_006_8b004cd2,-0.042149878692626874,0,0.6424589157104492,1.2367732077044586,0.3208466891266181,54.863854461588296,0.8202957000030437,
external,g_ref::f005_014_7eb4ebc1,-0.033328799438476775,4,6574.8916015625,12376.601716700683,0.32406638064550564,54.24927840008087,0.98893720000342,
external,g_ref::f009_005_80849452,-0.031768030929565594,9,-0.09658050537109375,2.4763541047583866,0.32105667321370807,53.24036226874802,0.7996448999983841,
external,g_ref::f002_005_87e4506f,-0.026153978347778217,13,0.6644660830497742,1.250793613849953,0.3208493541313898,54.24839664332432,0.9928201000002446,
external,g_ref::f005_005_1a0ce1dc,-0.01444534988403312,17,0.6612593531608582,1.3068794914501483,0.32089400790732836,55.94166503249089,2.1190094999983557,
external,g_ref::f005_011_59253fc2,-0.005547791290283044,21,0.6612593531608582,1.3068794914501483,0.32089400790732836,55.94166503249089,0.7838103999965824,
external,g_ref::f004_014_1962a7f8,-0.0025282855987547315,26,6543.1611328125,12931.57172727586,0.3240906743869538,55.94363074373024,0.8491366000016569,
external,g_ref::f006_007_6ab77f91,-0.00046483917236361805,30,0.6612593531608582,1.3068794914501483,0.32089400790732836,55.94166503249089,0.8519046000001254,
external,g_ref::f008_012_84415412,0.0013766220092770176,34,0.6612593531608582,1.3068794919877447,0.32089454465951744,55.94091019894203,0.9282454999993206,
external,g_ref::f001_003_832279b4,0.005083121490478515,38,0.6612593531608582,1.3068794914501483,0.32089400790732836,55.94166503249089,0.8889650000055553,
external,g_ref::f007_012_ae7d31e8,0.021124951553344484,43,-0.5300605297088623,0.6611216372872475,0.32060765451129264,55.21803349355427,0.8066777999993064,
external,g_ref::f005_001_4d742f10,0.03407954330444296,47,6021.89599609375,15901.315900338426,0.32411087569918845,55.49789489830196,0.7037720000007539,
external,g_ref::f000_008_908e311d,0.041994724655151305,51,0.9309858083724976,2.6197776864979305,0.3211022442046034,55.11956246297024,0.830570500002068,
external,g_ref::f007_006_6bf72c72,0.05064679107666015,55,0.6915061473846436,0.06180228977099237,0.3184857174221225,57.817315237629614,0.8268888000020524,
external,g_ref::f002_009_bf8ce1cc,0.2951874870300295,60,-0.9526230692863464,50.343359384001026,0.32182211989177745,53.59268005154313,1.7490703000003123,
external,g_ref::f008_014_36722685,3.1618976264953615,64,-0.12982654571533203,1.6570891516616082,0.32099146580528304,55.120561077765146,1.6042942999993102,
