model,problem,cpu_time_s,cpu_only_time_s,cpu_with_cuda_time_s,gpu_time_s,event_cpu_time_s,event_gpu_time_s,wall_time_s,profiled_steps,total_steps,profile_warmup,event_profiled_steps,device_type,cuda_available,cuda_device_index,cuda_device_name,batch_size,train_data_size,precision,wall_time_real_s,wall_time_profiled_s,profile_wall_over_real,wall_profiler_overhead_s,event_gpu_over_wall_real,event_gpu_over_wall_real_capped,other_time_real_s,other_time_real_s_capped,event_cpu_over_wall_real
EAM-AM,TSP50,540.0312811500095,540.0312811500095,0.0,0.0,425.1364483499991,417.06956329345707,436.67999999999995,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,436.67999999999995,432.8890736119356,0.9913187542638445,-3.7909263880643493,0.9550919741995445,0.9550919741995445,19.610436706542885,19.610436706542885,0.9735651927040376
EAM-AM,TSP100,1132.6212123500093,1132.6212123500093,0.0,0.0,13082.601013399995,894.6333221435544,797.136,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,797.136,805.6402404429391,1.0106684937613395,8.504240442939135,1.1223095207637774,1.0,-97.49732214355447,0.0,16.412006249121852
EAM-AM,TSP50,650.230556330072,650.230556330072,0.0,0.0,6696.842450649992,507.12663932800274,436.67999999999995,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,436.67999999999995,1576.0040513619315,3.609059382985096,1139.3240513619317,1.1613232557662425,1.0,-70.44663932800279,0.0,15.33581215226251
EAM-AM,TSP100,1052.0213413499373,1052.0213413499373,0.0,0.0,5010.956457440043,828.5552635192869,797.136,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,797.136,2958.3857466739137,3.7112685246606776,2161.2497466739137,1.0394151857641443,1.0,-31.419263519286915,0.0,6.286200168402936
EAM-AM,CVRP50,734.9658063200275,734.9658063200275,0.0,0.0,1996.2728315449203,599.0661126708986,661.32,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,661.32,2082.826202997938,3.149498280708186,1421.5062029979376,0.9058641998894613,0.9058641998894613,62.25388732910142,62.25388732910142,3.018618568234622
EAM-AM,CVRP100,1626.575148210151,1626.575148210151,0.0,0.0,7448.896235379798,1376.444172363282,1223.352,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,1223.352,4201.273876812076,3.434231420565852,2977.9218768120763,1.1251415556301718,1.0,-153.09217236328186,0.0,6.088923086225222
