epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/po_loss,train/po_pref_rate,train/reward,val/max_aug_reward,val/max_reward,val/reward
,49,,,528.5124778747559,,,,,,,
,49,,2.9573440551757812,,,,,,,,
0,49,,,,0.29938167333602905,0.29938167333602905,0.4949968755245209,-10.185708999633789,,,
,99,,,521.5733051300049,,,,,,,
,99,,15.212059020996094,,,,,,,,
0,99,,,,0.2903960943222046,0.2903960943222046,0.4949999749660492,-9.893367767333984,,,
,149,,,390.6877040863037,,,,,,,
,149,,2.826690673828125,,,,,,,,
0,149,,,,0.2933856248855591,0.2933856248855591,0.4949999749660492,-9.604297637939453,,,
,199,,,410.75706481933594,,,,,,,
,199,,15.142679214477539,,,,,,,,
0,199,,,,0.300390362739563,0.300390362739563,0.4949999749660492,-9.342812538146973,,,
,249,,,390.8360004425049,,,,,,,
,249,,2.7251243591308594,,,,,,,,
0,249,,,,0.30058807134628296,0.30058807134628296,0.4949999749660492,-9.185159683227539,,,
,299,,,515.0489807128906,,,,,,,
,299,,31.235456466674805,,,,,,,,
0,299,,,,0.29976779222488403,0.29976779222488403,0.4949999749660492,-9.15031623840332,,,
,349,,,530.8742523193359,,,,,,,
,349,,2.7413368225097656,,,,,,,,
0,349,,,,0.3037882149219513,0.3037882149219513,0.49499842524528503,-9.022464752197266,,,
,399,,,523.7879753112793,,,,,,,
,399,,14.901161193847656,,,,,,,,
0,399,,,,0.3029122054576874,0.3029122054576874,0.4949999749660492,-8.987520217895508,,,
,449,,,526.6051292419434,,,,,,,
,449,,2.7768611907958984,,,,,,,,
0,449,,,,0.30569300055503845,0.30569300055503845,0.4949999749660492,-8.915103912353516,,,
,499,,,520.7030773162842,,,,,,,
,499,,14.83464241027832,,,,,,,,
0,499,,,,0.30628305673599243,0.30628305673599243,0.4949999749660492,-8.836568832397461,,,
,549,,,389.7240161895752,,,,,,,
,549,,3.303050994873047,,,,,,,,
0,549,,,,0.3070535659790039,0.3070535659790039,0.4949999749660492,-8.819049835205078,,,
