bank,dataset,descriptor,false20,nn_primary_median,rho_joint,rho_scratch,rho_warm
epoch031,matched,raw_coefficient,0.01282051282051282,0.022475664407742738,0.866319752424813,0.8275856065479289,0.8725511404422945
epoch135,matched,raw_coefficient,0.012738853503184714,0.02525575457261633,0.8426117390821677,0.8021898473927115,0.8515256429222965
product,matched,raw_coefficient,0.012738853503184714,0.022475664407742738,0.8582180357955108,0.8184792801270299,0.8680822938135329
epoch031,matched,centered_coefficient,0.01282051282051282,0.022475664407742738,0.866572996072227,0.8277392623248931,0.8728751871131613
epoch135,matched,centered_coefficient,0.012738853503184714,0.02525575457261633,0.8433032970111904,0.8029495369233622,0.8522981809584674
product,matched,centered_coefficient,0.012738853503184714,0.022475664407742738,0.8590778829550205,0.8193027475876129,0.8692223263530315
epoch031,matched,logit_euclidean,0.01282051282051282,0.022475664407742738,0.8677650389660563,0.8282632206904939,0.8735678096006271
epoch135,matched,logit_euclidean,0.01282051282051282,0.02525575457261633,0.8449509316999071,0.8048895932717262,0.8559821663210284
product,matched,logit_euclidean,0.01282051282051282,0.02525575457261633,0.8581410063023157,0.8191377342509971,0.868128100771661
epoch031,matched,policy_fisher,0.05660377358490566,0.0283834497204444,0.8279469574754584,0.7923234127164311,0.8145303929981528
epoch135,matched,policy_fisher,0.02564102564102564,0.029031375037291522,0.8519924214570639,0.8099786956172137,0.8696782848283561
product,matched,policy_fisher,0.02564102564102564,0.02870741237886796,0.8504989148878119,0.8109662819823359,0.8513697389954153
epoch031,external,raw_coefficient,0.019184652278177457,0.00731441421508805,,0.7312132296536787,
epoch135,external,raw_coefficient,0.01839080459770115,0.006617299652099895,,0.7180832013453212,
product,external,raw_coefficient,0.016666666666666666,0.00731441421508805,,0.7316944425721145,
epoch031,external,centered_coefficient,0.019184652278177457,0.00731441421508805,,0.7313849473810262,
epoch135,external,centered_coefficient,0.018223234624145785,0.00731441421508805,,0.717864119558603,
product,external,centered_coefficient,0.019313304721030045,0.00731441421508805,,0.731647752888871,
epoch031,external,logit_euclidean,0.05924170616113744,0.00731441421508805,,0.7255899671681372,
epoch135,external,logit_euclidean,0.12740384615384615,0.006617299652099895,,0.7095138355769661,
product,external,logit_euclidean,0.11971830985915492,0.006617299652099895,,0.7219514930547354,
epoch031,external,policy_fisher,0.07177033492822966,0.005547960662842133,,0.7762591052771415,
epoch135,external,policy_fisher,0.11217183770883055,0.006143544387817279,,0.7134567483729333,
product,external,policy_fisher,0.037825059101654845,0.006041012573242188,,0.7545318932174454,
