bank,dataset,descriptor,false20,nn_primary_median,rho_joint,rho_scratch,rho_warm
epoch031,matched,raw_coefficient,0.01282051282051282,0.022475664407742738,0.8665296373735675,0.8278048980224162,0.8724958084828295
epoch135,matched,raw_coefficient,0.012738853503184714,0.02525575457261633,0.842735807150602,0.8023166753881068,0.8515672777700649
product,matched,raw_coefficient,0.01282051282051282,0.022475664407742738,0.8585144479945345,0.8187735358475693,0.8681680421688523
epoch031,matched,one_point_policy_fisher,0.05625,0.0283834497204444,0.8278279398623363,0.7922158044857178,0.8145108173073354
epoch135,matched,one_point_policy_fisher,0.025477707006369428,0.029031375037291522,0.8518600348455768,0.8098609994373736,0.8696001351630276
product,matched,one_point_policy_fisher,0.025477707006369428,0.02870741237886796,0.8503713043074828,0.8108395329844662,0.8513766222500156
epoch031,matched,two_point_policy_fisher,0.057692307692307696,0.02870741237886796,0.8565806886372727,0.8194083445368398,0.849129249584986
epoch135,matched,two_point_policy_fisher,0.057692307692307696,0.029031375037291522,0.8384561726304147,0.7975376582805442,0.8429430287902536
product,matched,two_point_policy_fisher,0.05732484076433121,0.02870741237886796,0.8565097716913963,0.8161483457530273,0.8480541282624386
epoch031,external,raw_coefficient,0.019184652278177457,0.008291375350951924,,0.7312422334664462,
epoch135,external,raw_coefficient,0.021929824561403508,0.009049320220946733,,0.7185254996268328,
product,external,raw_coefficient,0.020080321285140562,0.008291375350951924,,0.7325376981922306,
epoch031,external,one_point_policy_fisher,0.07838479809976247,0.008038269805908271,,0.775980725687316,
epoch135,external,one_point_policy_fisher,0.09933774834437085,0.008038269805908271,,0.7141100949942858,
product,external,one_point_policy_fisher,0.03800475059382423,0.008038269805908271,,0.7545636684614901,
epoch031,external,two_point_policy_fisher,0.07857142857142857,0.00901854438781724,,0.7774835983863452,
epoch135,external,two_point_policy_fisher,0.0673076923076923,0.007611407089233246,,0.6971531849061166,
product,external,two_point_policy_fisher,0.07092198581560284,0.008038269805908271,,0.7326490496597998,
