[2026-03-05 14:07:06,574] INFO:fitness.free_loss_fidelity: Stage3 offline mini-train start gen=7 pair_index=14 K=200 seed=12345 valid_sizes=[100] baseline_json=baseline/mini_eval/baseline_minitrain_tsp100_K200.json
[2026-03-05 14:07:13,430] INFO:fitness.free_loss_fidelity: RL4CO free-loss (step-mode): f1_steps=200, f2_steps=0, total_steps=200, train_problem_size=100, rollouts=100, batch_size=64, device=cuda:0, env=tsp
[2026-03-05 14:07:14,733] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 1/200: score=36.122910 (avg=36.122910), loss=0.846588 (avg=0.846588), pairs_step=316800, pairs_total=316800
[2026-03-05 14:07:21,188] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 20/200: score=9.881584 (avg=12.710078), loss=0.737036 (avg=0.746707), pairs_step=316800, pairs_total=6335994
[2026-03-05 14:07:27,842] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 40/200: score=9.355062 (avg=11.098390), loss=0.740039 (avg=0.742961), pairs_step=316799, pairs_total=12671987
[2026-03-05 14:07:34,434] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 60/200: score=9.190432 (avg=10.470667), loss=0.727904 (avg=0.739992), pairs_step=316799, pairs_total=19007979
[2026-03-05 14:07:40,980] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 80/200: score=8.963853 (avg=10.107391), loss=0.731064 (avg=0.737248), pairs_step=316800, pairs_total=25343975
[2026-03-05 14:07:47,616] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 100/200: score=8.846657 (avg=9.873121), loss=0.724802 (avg=0.735016), pairs_step=316799, pairs_total=31679968
[2026-03-05 14:07:55,343] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 120/200: score=8.768661 (avg=9.705100), loss=0.726707 (avg=0.733562), pairs_step=316800, pairs_total=38015963
[2026-03-05 14:08:02,524] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 140/200: score=8.772095 (avg=9.571426), loss=0.729695 (avg=0.732646), pairs_step=316800, pairs_total=44351960
[2026-03-05 14:08:09,790] INFO:fitness.free_loss_fidelity: RL4CO free-loss step 160/200: score=8.653191 (avg=9.460644), loss=0.725791 (avg=0.732318), pairs_step=316798, pairs_total=50687955
