epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/po_loss,train/po_pref_rate,train/reward,val/max_reward,val/reward
33,679,,,,,,,,,,,-52.39799880981445,-55.674835205078125
,680,,,215.23661375045776,,,,,,,,,
,699,,,,,5366.547584533691,,,,,,,
,699,,,,35.98451614379883,,,,,,,,
34,699,,,,,,-0.583008885383606,-52.15999984741211,-0.583008885383606,0.41843751072883606,-56.2841682434082,,
34,699,,,,,,,,,,,-52.32899856567383,-55.57920837402344
,700,,,194.75492906570435,,,,,,,,,
35,719,,,,,,,,,,,-52.44300079345703,-55.64437484741211
,720,,,254.265154838562,,,,,,,,,
36,739,,,,,,,,,,,-52.224998474121094,-55.5032958984375
,740,,,211.33882331848145,,,,,,,,,
,749,,,,,5485.144853591919,,,,,,,
,749,,,,13.936042785644531,,,,,,,,
37,749,,,,,,-0.9208160042762756,-52.31999969482422,-0.9208160042762756,0.42315971851348877,-56.36250305175781,,
37,759,,,,,,,,,,,-52.23899841308594,-55.41392135620117
,760,,,195.2371814250946,,,,,,,,,
38,779,,,,,,,,,,,-52.26300048828125,-55.48838424682617
,780,,,196.20176815986633,,,,,,,,,
,799,,,,,5438.209533691406,,,,,,,
,799,,,,35.84027290344238,,,,,,,,
39,799,,,,,,-0.7789157629013062,-52.2599983215332,-0.7789157629013062,0.42131945490837097,-56.227500915527344,,
39,799,,,,,,,,,,,-52.20500183105469,-55.489349365234375
,800,,,201.45765495300293,,,,,,,,,
40,819,,,,,,,,,,,-52.29499816894531,-55.474796295166016
,820,,,192.47249293327332,,,,,,,,,
41,839,,,,,,,,,,,-52.24300003051758,-55.3944091796875
,840,,,190.4331967830658,,,,,,,,,
,849,,,,,4910.45880317688,,,,,,,
,849,,,,22.516965866088867,,,,,,,,
42,849,,,,,,-0.5441539287567139,-51.23999786376953,-0.5441539287567139,0.4211111068725586,-55.1783332824707,,
42,859,,,,,,,,,,,-52.25699996948242,-55.50441360473633
,860,,,190.5156650543213,,,,,,,,,
43,879,,,,,,,,,,,-52.2760009765625,-55.49983215332031
,880,,,192.23284101486206,,,,,,,,,
,899,,,,,5464.8597240448,,,,,,,
,899,,,,35.52985191345215,,,,,,,,
44,899,,,,,,-0.2996782958507538,-51.71999740600586,-0.2996782958507538,0.4272569417953491,-55.87750244140625,,
44,899,,,,,,,,,,,-52.319000244140625,-55.61774826049805
,900,,,192.63226175308228,,,,,,,,,
45,919,,,,,,,,,,,-52.35100173950195,-55.54170608520508
,920,,,198.41824555397034,,,,,,,,,
46,939,,,,,,,,,,,-52.26499938964844,-55.49062728881836
,940,,,198.38967633247375,,,,,,,,,
,949,,,,,4726.0582447052,,,,,,,
,949,,,,13.38815689086914,,,,,,,,
47,949,,,,,,-0.7717239260673523,-52.02000045776367,-0.7717239260673523,0.4204166829586029,-56.02583312988281,,
47,959,,,,,,,,,,,-52.28200149536133,-55.58116912841797
,960,,,193.46711206436157,,,,,,,,,
48,979,,,,,,,,,,,-52.36600112915039,-55.599334716796875
,980,,,193.74300408363342,,,,,,,,,
,999,,,,,5632.155895233154,,,,,,,
,999,,,,37.60814666748047,,,,,,,,
49,999,,,,,,-0.4585168659687042,-51.81999969482422,-0.4585168659687042,0.4189930558204651,-55.766666412353516,,
49,999,,,,,,,,,,,-52.22600173950195,-55.46087646484375
,1000,,,195.15803289413452,,,,,,,,,
50,1019,,,,,,,,,,,-52.24700164794922,-55.41862487792969
,1020,,,189.30161142349243,,,,,,,,,
51,1039,,,,,,,,,,,-52.198001861572266,-55.48979949951172
,1040,,,198.41041660308838,,,,,,,,,
,1049,,,,,5340.14892578125,,,,,,,
,1049,,,,13.392210006713867,,,,,,,,
52,1049,,,,,,-0.7259853482246399,-52.23999786376953,-0.7259853482246399,0.4201388955116272,-56.125,,
52,1059,,,,,,,,,,,-52.0890007019043,-55.3849983215332
,1060,,,199.76696062088013,,,,,,,,,
53,1079,,,,,,,,,,,-52.28099822998047,-55.502540588378906
,1080,,,194.6981246471405,,,,,,,,,
,1099,,,,,5115.032196044922,,,,,,,
,1099,,,,32.97257423400879,,,,,,,,
54,1099,,,,,,-0.9295352101325989,-51.599998474121094,-0.9295352101325989,0.4201388955116272,-55.5625,,
54,1099,,,,,,,,,,,-52.20100021362305,-55.37129211425781
,1100,,,195.1384437084198,,,,,,,,,
55,1119,,,,,,,,,,,-52.15800094604492,-55.34208679199219
,1120,,,196.00214433670044,,,,,,,,,
56,1139,,,,,,,,,,,-52.3129997253418,-55.49462890625
,1140,,,241.77737975120544,,,,,,,,,
,1149,,,,,5004.606485366821,,,,,,,
,1149,,,,18.216609954833984,,,,,,,,
57,1149,,,,,,-0.7873002886772156,-51.89999771118164,-0.7873002886772156,0.4201388955116272,-55.711669921875,,
57,1159,,,,,,,,,,,-52.10200119018555,-55.352134704589844
,1160,,,192.05108618736267,,,,,,,,,
58,1179,,,,,,,,,,,-52.138999938964844,-55.392372131347656
,1180,,,191.0611114501953,,,,,,,,,
,1199,,,,,5109.42268371582,,,,,,,
,1199,,,,43.05076599121094,,,,,,,,
59,1199,,,,,,-0.6724429130554199,-51.89999771118164,-0.6724429130554199,0.42038196325302124,-55.95000076293945,,
59,1199,,,,,,,,,,,-52.152000427246094,-55.37666702270508
,1200,,,188.68691086769104,,,,,,,,,
60,1219,,,,,,,,,,,-52.292999267578125,-55.53954315185547
,1220,,,191.2255835533142,,,,,,,,,
61,1239,,,,,,,,,,,-52.20100021362305,-55.47358703613281
,1240,,,188.5745267868042,,,,,,,,,
,1249,,,,,4907.734394073486,,,,,,,
,1249,,,,13.708829879760742,,,,,,,,
62,1249,,,,,,-0.5980538725852966,-52.03999710083008,-0.5980538725852966,0.42538195848464966,-56.395835876464844,,
62,1259,,,,,,,,,,,-52.17900085449219,-55.33953857421875
,1260,,,186.9310383796692,,,,,,,,,
63,1279,,,,,,,,,,,-52.22200012207031,-55.421417236328125
,1280,,,202.00971865653992,,,,,,,,,
,1299,,,,,5084.315538406372,,,,,,,
,1299,,,,35.772085189819336,,,,,,,,
64,1299,,,,,,-0.7719379663467407,-51.63999938964844,-0.7719379663467407,0.4201388955116272,-55.71083450317383,,
64,1299,,,,,,,,,,,-52.316001892089844,-55.378501892089844
,1300,,,194.3931701183319,,,,,,,,,
65,1319,,,,,,,,,,,-52.17499923706055,-55.359336853027344
,1320,,,192.86650490760803,,,,,,,,,
66,1339,,,,,,,,,,,-52.154998779296875,-55.35454177856445
,1340,,,197.25064897537231,,,,,,,,,
,1349,,,,,7103.907585144043,,,,,,,
,1349,,,,15.529632568359375,,,,,,,,
67,1349,,,,,,-0.6177911758422852,-51.89999771118164,-0.6177911758422852,0.417743057012558,-55.72999954223633,,
67,1359,,,,,,,,,,,-52.11600112915039,-55.26995849609375
,1360,,,249.56658363342285,,,,,,,,,
68,1379,,,,,,,,,,,-52.15299987792969,-55.29429626464844
,1380,,,250.8848752975464,,,,,,,,,
,1399,,,,,6863.004684448242,,,,,,,
,1399,,,,37.49227523803711,,,,,,,,
69,1399,,,,,,-0.27114564180374146,-51.439998626708984,-0.27114564180374146,0.42750000953674316,-55.59166717529297,,
69,1399,,,,,,,,,,,-52.1609992980957,-55.35625076293945
,1400,,,223.24829816818237,,,,,,,,,
70,1419,,,,,,,,,,,-52.08300018310547,-55.38545608520508
,1420,,,189.89061975479126,,,,,,,,,
71,1439,,,,,,,,,,,-52.24300003051758,-55.44108963012695
,1440,,,192.36096167564392,,,,,,,,,
,1449,,,,,5444.5037841796875,,,,,,,
,1449,,,,14.598608016967773,,,,,,,,
72,1449,,,,,,-0.9319703578948975,-51.19999694824219,-0.9319703578948975,0.4230555593967438,-55.270835876464844,,
72,1459,,,,,,,,,,,-52.27000045776367,-55.45871353149414
,1460,,,192.94317412376404,,,,,,,,,
73,1479,,,,,,,,,,,-52.06800079345703,-55.3707160949707
,1480,,,233.29191994667053,,,,,,,,,
,1499,,,,,6740.87381362915,,,,,,,
,1499,,,,34.493207931518555,,,,,,,,
74,1499,,,,,,-0.257785826921463,-52.099998474121094,-0.257785826921463,0.42375001311302185,-56.34250259399414,,
74,1499,,,,,,,,,,,-52.108001708984375,-55.398040771484375
,1500,,,203.93148565292358,,,,,,,,,
75,1519,,,,,,,,,,,-52.16699981689453,-55.43067169189453
