epoch,lr-Adam,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
10,,351,,,,,,,-93.0979995727539,-96.4299545288086
,,352,458.50891280174255,,,,,,,
,0.0001,352,,,,,,,,
,,359,,,7687.870502471924,,,,,
,,359,,26.26323699951172,,,,,,
11,,359,,,,0.6872389316558838,-94.5,-98.58073425292969,,
,,369,,,7731.521844863892,,,,,
,,369,,26.54266357421875,,,,,,
11,,369,,,,0.6886489391326904,-93.96875,-98.08724212646484,,
,,379,,,7623.479604721069,,,,,
,,379,,25.766849517822266,,,,,,
11,,379,,,,0.6860057711601257,-93.6875,-97.4765625,,
11,,383,,,,,,,-92.75499725341797,-96.12691497802734
,,384,450.63793563842773,,,,,,,
,0.0001,384,,,,,,,,
,,389,,,8137.075424194336,,,,,
,,389,,26.990175247192383,,,,,,
12,,389,,,,0.6882384419441223,-94.03125,-98.09114837646484,,
,,399,,,7790.144205093384,,,,,
,,399,,45.15886306762695,,,,,,
12,,399,,,,0.6871302127838135,-94.0,-98.16927337646484,,
,,409,,,7971.290826797485,,,,,
,,409,,26.793718338012695,,,,,,
12,,409,,,,0.6882666945457458,-93.59375,-97.92317962646484,,
12,,415,,,,,,,-92.73799896240234,-96.11190795898438
,,416,460.4681601524353,,,,,,,
,0.0001,416,,,,,,,,
,,419,,,7953.965902328491,,,,,
,,419,,26.974201202392578,,,,,,
13,,419,,,,0.6887350678443909,-93.53125,-97.91146087646484,,
,,429,,,7362.894058227539,,,,,
,,429,,25.438785552978516,,,,,,
13,,429,,,,0.6897167563438416,-93.59375,-97.6875,,
,,439,,,7957.459449768066,,,,,
,,439,,26.127099990844727,,,,,,
13,,439,,,,0.688349723815918,-93.65625,-97.73177337646484,,
13,,447,,,,,,,-93.04499816894531,-96.39666748046875
,,448,465.35515093803406,,,,,,,
,0.0001,448,,,,,,,,
,,449,,,10709.495067596436,,,,,
,,449,,32.77730941772461,,,,,,
14,,449,,,,0.6872950196266174,-94.28125,-98.1171875,,
,,459,,,10670.62759399414,,,,,
,,459,,31.345367431640625,,,,,,
14,,459,,,,0.6862993240356445,-94.0625,-98.25260925292969,,
,,469,,,10259.511470794678,,,,,
,,469,,31.107187271118164,,,,,,
14,,469,,,,0.6874527335166931,-93.75,-97.73698425292969,,
,,479,,,10000.837802886963,,,,,
,,479,,27.008533477783203,,,,,,
