epoch,lr-Adam,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,0.0001,0,,,,,,,,
,,9,,,7706.7811489105225,,,,,
,,9,,29.24633026123047,,,,,,
0,,9,,,,0.6804590821266174,-99.1875,-103.87109375,,
,,19,,,7656.047582626343,,,,,
,,19,,28.178691864013672,,,,,,
0,,19,,,,0.6880885362625122,-96.78125,-100.68359375,,
,,29,,,7710.0584506988525,,,,,
,,29,,28.208494186401367,,,,,,
0,,29,,,,0.6854722499847412,-95.0625,-99.31771087646484,,
0,,31,,,,,,,-94.2509994506836,-97.73471069335938
,,32,464.26032733917236,,,,,,,
,0.0001,32,,,,,,,,
,,39,,,7394.423484802246,,,,,
,,39,,24.430513381958008,,,,,,
1,,39,,,,0.6867794394493103,-95.5,-99.78776550292969,,
,,49,,,7534.2419147491455,,,,,
,,49,,24.434804916381836,,,,,,
1,,49,,,,0.688834011554718,-95.5625,-99.72396087646484,,
,,59,,,7609.049320220947,,,,,
,,59,,29.0834903717041,,,,,,
1,,59,,,,0.6884136199951172,-94.78125,-99.03776550292969,,
1,,63,,,,,,,-93.48500061035156,-96.82746124267578
,,64,454.4920527935028,,,,,,,
,0.0001,64,,,,,,,,
,,69,,,7673.611879348755,,,,,
,,69,,26.345014572143555,,,,,,
2,,69,,,,0.686745822429657,-94.9375,-98.94792175292969,,
,,79,,,7494.192123413086,,,,,
,,79,,28.514385223388672,,,,,,
2,,79,,,,0.6881293654441833,-94.84375,-98.9140625,,
,,89,,,7596.015691757202,,,,,
,,89,,30.118465423583984,,,,,,
2,,89,,,,0.6873897910118103,-95.125,-99.1953125,,
2,,95,,,,,,,-93.59600067138672,-96.91020965576172
,,96,460.3164186477661,,,,,,,
,0.0001,96,,,,,,,,
,,99,,,7681.103467941284,,,,,
,,99,,46.91338539123535,,,,,,
3,,99,,,,0.6861420273780823,-94.46875,-98.53385925292969,,
,,109,,,7595.243692398071,,,,,
,,109,,35.86721420288086,,,,,,
3,,109,,,,0.6890588402748108,-94.9375,-98.86458587646484,,
,,119,,,8228.786945343018,,,,,
,,119,,36.93413734436035,,,,,,
3,,119,,,,0.6879924535751343,-94.5625,-98.81380462646484,,
3,,127,,,,,,,-93.72599792480469,-97.20209503173828
,,128,466.60642290115356,,,,,,,
,0.0001,128,,,,,,,,
,,129,,,10124.93348121643,,,,,
,,129,,27.025461196899414,,,,,,
4,,129,,,,0.691050112247467,-94.9375,-99.10546875,,
,,139,,,10226.834535598755,,,,,
,,139,,29.267311096191406,,,,,,
4,,139,,,,0.6892040967941284,-95.25,-99.48046875,,
,,149,,,10888.756275177002,,,,,
,,149,,31.25786781311035,,,,,,
4,,149,,,,0.6871077418327332,-93.9375,-98.02734375,,
,,159,,,7971.3075160980225,,,,,
,,159,,28.58114242553711,,,,,,
4,,159,,,,0.6927390694618225,-93.375,-97.69271087646484,,
4,,159,,,,,,,-93.44300079345703,-96.85645294189453
,,160,535.7152514457703,,,,,,,
,0.0001,160,,,,,,,,
,,169,,,7554.5618534088135,,,,,
,,169,,25.56157112121582,,,,,,
5,,169,,,,0.6864009499549866,-95.40625,-99.88932800292969,,
,,179,,,7795.018196105957,,,,,
,,179,,30.58791160583496,,,,,,
5,,179,,,,0.6875880360603333,-95.0,-99.23567962646484,,
,,189,,,7751.643657684326,,,,,
,,189,,28.36441993713379,,,,,,
5,,189,,,,0.6898154616355896,-94.15625,-98.31901550292969,,
5,,191,,,,,,,-93.44000244140625,-96.75921630859375
,,192,459.9038462638855,,,,,,,
,0.0001,192,,,,,,,,
,,199,,,8056.532621383667,,,,,
,,199,,46.942949295043945,,,,,,
6,,199,,,,0.6870709657669067,-94.34375,-98.640625,,
,,209,,,8091.397047042847,,,,,
,,209,,27.99844741821289,,,,,,
6,,209,,,,0.6890794634819031,-94.625,-98.9765625,,
,,219,,,8035.348415374756,,,,,
,,219,,28.662443161010742,,,,,,
6,,219,,,,0.6910386085510254,-94.96875,-99.12370300292969,,
6,,223,,,,,,,-93.3290023803711,-96.78412628173828
,,224,484.7469778060913,,,,,,,
,0.0001,224,,,,,,,,
,,229,,,8167.290449142456,,,,,
,,229,,27.7554988861084,,,,,,
7,,229,,,,0.6885819435119629,-94.625,-98.796875,,
,,239,,,8164.74175453186,,,,,
,,239,,31.309127807617188,,,,,,
7,,239,,,,0.6862571835517883,-94.96875,-98.69792175292969,,
,,249,,,7868.1769371032715,,,,,
,,249,,31.97169303894043,,,,,,
