shape,comparison,method,n,slim_mean_makespan,method_mean_makespan,slim_minus_method_mean,slim_minus_method_ci95_low,slim_minus_method_ci95_high,slim_relative_change_pct,slim_wins,ties,slim_losses,slim_probability_superiority,wilcoxon_statistic,wilcoxon_p_raw,paired_t_p_raw,rank_biserial_slim_minus_method,wilcoxon_p_holm12,significant_holm12_0.05
jssp10x10,slim_vs_rl,rl,100,872.2899963378907,890.8000012207032,-18.5100048828125,-23.230260055541986,-13.840004882812504,-2.077908044167873,81,3,16,0.825,613.5,2.24181359932853e-10,1.291234778887008e-11,-0.7418472543656638,4.48362719865706e-10,True
jssp10x10,slim_vs_po,po,100,872.2899963378907,1074.9299981689453,-202.6400018310547,-211.62025227355957,-193.7897512512207,-18.85146029752963,100,0,0,1.0,0.0,3.895460925389839e-18,3.639894170079363e-67,-1.0,4.6740257277270805e-17,True
jssp10x10,slim_vs_sll,sll,100,872.2899963378907,1094.9800079345703,-222.69001159667968,-232.34000840759276,-212.97002493286135,-20.337358671665022,100,0,0,1.0,0.0,3.895021439772567e-18,1.2587711523566466e-67,-1.0,4.6740257277270805e-17,True
jssp10x10,slim_vs_bopo,bopo,100,872.2899963378907,854.4699975585937,17.819998779296874,14.329993164062504,21.260249069213845,2.085503157537711,16,3,81,0.175,342.0,2.466117842102922e-13,1.0058152288835475e-16,0.8560908899642331,7.398353526308767e-13,True
jssp10x10,slim_vs_loss_only,loss_only,100,872.2899963378907,853.1300024414063,19.15999389648438,15.780001220703127,22.649994155883793,2.2458469215306147,10,5,85,0.125,202.0,1.2242969976818808e-14,1.6963960191381647e-18,0.9114035087719298,6.121484988409404e-14,True
jssp10x10,slim_vs_weighting,weighting,100,872.2899963378907,851.5599945068359,20.730001831054686,16.890016418457027,24.56999592590332,2.434356001312633,11,4,85,0.13,271.0,5.5986084143994114e-14,1.1155568210151542e-17,0.8835910652920962,2.2394433657597646e-13,True
jssp15x15,slim_vs_rl,rl,100,1346.8999877929687,1350.8700012207032,-3.970013427734375,-11.40000863647461,3.250245758056619,-0.29388567546447125,57,0,43,0.57,2263.5,0.3685816943519101,0.2868213241953717,-0.10356435643564356,0.3685816943519101,False
jssp15x15,slim_vs_po,po,100,1346.8999877929687,1642.6700073242187,-295.77001953125,-305.8400158996582,-285.5297362365723,-18.005443467798884,100,0,0,1.0,0.0,3.896340037647931e-18,1.875473587870708e-77,-1.0,4.6740257277270805e-17,True
jssp15x15,slim_vs_sll,sll,100,1346.8999877929687,1865.0499951171876,-518.1500073242188,-529.3907540283203,-506.8800145263672,-27.782097460162813,100,0,0,1.0,0.0,3.895460925389839e-18,1.1714438793163644e-96,-1.0,4.6740257277270805e-17,True
jssp15x15,slim_vs_bopo,bopo,100,1346.8999877929687,1303.1700061035156,43.729981689453126,37.51996817016602,49.91997204589843,3.355662076677622,9,0,91,0.09,122.5,1.4485329583248915e-16,1.1053886762940733e-24,0.9514851485148514,8.69119774994935e-16,True
jssp15x15,slim_vs_loss_only,loss_only,100,1346.8999877929687,1308.4999926757812,38.3999951171875,33.28000241088868,43.629997589111326,2.934657648615074,7,0,93,0.07,103.0,8.231486372274912e-17,5.782238038447295e-26,0.9592079207920792,5.762040460592438e-16,True
jssp15x15,slim_vs_weighting,weighting,100,1346.8999877929687,1297.5399938964845,49.359993896484376,44.120004730224615,54.67997604370117,3.8041211930784025,2,0,98,0.02,3.0,4.262962473422899e-18,1.3093904404633784e-33,0.9988118811881188,4.6740257277270805e-17,True
