epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/po_loss,train/po_pref_rate,train/reward,val/max_reward,val/reward
0,19,,,,,,,,,-53.415000915527344,-56.95528793334961
,20,210.95551943778992,,,,,,,,,
1,39,,,,,,,,,-53.08700180053711,-56.634376525878906
,40,198.11500930786133,,,,,,,,,
,49,,,6086.783885955811,,,,,,,
,49,,14.668941497802734,,,,,,,,
2,49,,,,-1.2013226747512817,-53.13999938964844,-1.2013226747512817,0.42125001549720764,-57.020835876464844,,
2,59,,,,,,,,,-53.047000885009766,-56.5369987487793
,60,216.19192051887512,,,,,,,,,
3,79,,,,,,,,,-53.077999114990234,-56.480533599853516
,80,201.6098871231079,,,,,,,,,
,99,,,5332.029104232788,,,,,,,
,99,,34.72638130187988,,,,,,,,
4,99,,,,-1.2308220863342285,-54.18000030517578,-1.2308220863342285,0.42027777433395386,-58.040000915527344,,
4,99,,,,,,,,,-53.104000091552734,-56.502716064453125
,100,198.15510773658752,,,,,,,,,
5,119,,,,,,,,,-53.0260009765625,-56.4387092590332
,120,193.73260641098022,,,,,,,,,
6,139,,,,,,,,,-52.893001556396484,-56.2493782043457
,140,202.94589471817017,,,,,,,,,
,149,,,5084.721803665161,,,,,,,
,149,,15.178442001342773,,,,,,,,
7,149,,,,-0.7685747742652893,-53.13999938964844,-0.7685747742652893,0.4240625202655792,-57.249168395996094,,
7,159,,,,,,,,,-52.85900115966797,-56.224666595458984
,160,215.60870838165283,,,,,,,,,
8,179,,,,,,,,,-52.933998107910156,-56.29250717163086
,180,211.0910964012146,,,,,,,,,
,199,,,5232.14316368103,,,,,,,
,199,,33.95891189575195,,,,,,,,
9,199,,,,-1.1021353006362915,-52.55999755859375,-1.1021353006362915,0.42166668176651,-56.62750244140625,,
9,199,,,,,,,,,-52.85900115966797,-56.209373474121094
,200,215.3887813091278,,,,,,,,,
10,219,,,,,,,,,-52.904998779296875,-56.223915100097656
,220,201.01811385154724,,,,,,,,,
11,239,,,,,,,,,-52.9379997253418,-56.29574203491211
,240,206.18693852424622,,,,,,,,,
,249,,,5333.491325378418,,,,,,,
,249,,13.841867446899414,,,,,,,,
12,249,,,,-0.9627470374107361,-52.53999710083008,-0.9627470374107361,0.41979166865348816,-56.461669921875,,
12,259,,,,,,,,,-52.70800018310547,-56.07912826538086
,260,198.6068148612976,,,,,,,,,
13,279,,,,,,,,,-52.78200149536133,-56.19237518310547
,280,207.87838768959045,,,,,,,,,
,299,,,6130.5742263793945,,,,,,,
,299,,35.208702087402344,,,,,,,,
14,299,,,,-0.9961878657341003,-52.619998931884766,-0.9961878657341003,0.4184722304344177,-56.53166961669922,,
14,299,,,,,,,,,-52.683998107910156,-56.055877685546875
,300,222.26424837112427,,,,,,,,,
15,319,,,,,,,,,-52.63600158691406,-56.03958511352539
,320,214.74165081977844,,,,,,,,,
16,339,,,,,,,,,-52.516998291015625,-55.87995910644531
,340,202.86445355415344,,,,,,,,,
,349,,,5451.561212539673,,,,,,,
,349,,14.39809799194336,,,,,,,,
17,349,,,,-0.5112831592559814,-52.5,-0.5112831592559814,0.4230555593967438,-56.45333480834961,,
17,359,,,,,,,,,-52.680999755859375,-56.023834228515625
,360,213.72184038162231,,,,,,,,,
18,379,,,,,,,,,-52.64699935913086,-55.9995002746582
,380,202.6804542541504,,,,,,,,,
,399,,,5699.517011642456,,,,,,,
,399,,34.148454666137695,,,,,,,,
19,399,,,,-1.0638600587844849,-52.439998626708984,-1.0638600587844849,0.41996529698371887,-56.44750213623047,,
19,399,,,,,,,,,-52.66699981689453,-55.99254608154297
,400,204.2215757369995,,,,,,,,,
20,419,,,,,,,,,-52.654998779296875,-55.91566848754883
,420,207.1344277858734,,,,,,,,,
21,439,,,,,,,,,-52.42300033569336,-55.74125289916992
,440,199.01224303245544,,,,,,,,,
,449,,,6948.672294616699,,,,,,,
,449,,14.979362487792969,,,,,,,,
22,449,,,,-0.9214859008789062,-52.15999984741211,-0.9214859008789062,0.42190971970558167,-56.176666259765625,,
22,459,,,,,,,,,-52.50899887084961,-55.7990837097168
,460,212.40367460250854,,,,,,,,,
23,479,,,,,,,,,-52.57699966430664,-55.90774917602539
,480,207.07892727851868,,,,,,,,,
,499,,,5628.488540649414,,,,,,,
,499,,38.23685646057129,,,,,,,,
24,499,,,,-0.687933087348938,-52.13999938964844,-0.687933087348938,0.4226388931274414,-56.36750030517578,,
24,499,,,,,,,,,-52.4370002746582,-55.77149963378906
,500,221.31384444236755,,,,,,,,,
25,519,,,,,,,,,-52.417999267578125,-55.672874450683594
,520,213.41952395439148,,,,,,,,,
26,539,,,,,,,,,-52.25199890136719,-55.5759162902832
,540,206.08975076675415,,,,,,,,,
,549,,,5922.264099121094,,,,,,,
,549,,14.492511749267578,,,,,,,,
27,549,,,,-0.8053606748580933,-52.0,-0.8053606748580933,0.4221875071525574,-56.060001373291016,,
27,559,,,,,,,,,-52.38100051879883,-55.62029266357422
,560,214.96950483322144,,,,,,,,,
28,579,,,,,,,,,-52.2760009765625,-55.59892272949219
,580,212.3448841571808,,,,,,,,,
,599,,,5755.927324295044,,,,,,,
,599,,37.06192970275879,,,,,,,,
29,599,,,,-0.6551092863082886,-52.41999816894531,-0.6551092863082886,0.4194791913032532,-56.484169006347656,,
29,599,,,,,,,,,-52.404998779296875,-55.71128845214844
,600,201.1723084449768,,,,,,,,,
30,619,,,,,,,,,-52.284000396728516,-55.54338836669922
,620,210.89701199531555,,,,,,,,,
31,639,,,,,,,,,-52.446998596191406,-55.70487976074219
,640,207.8961398601532,,,,,,,,,
,649,,,5755.365610122681,,,,,,,
,649,,18.825054168701172,,,,,,,,
32,649,,,,-0.8208616375923157,-52.05999755859375,-0.8208616375923157,0.4204166829586029,-56.193336486816406,,
