scenario,solver,count,ok_count,optimal_count,feasible_count,failed_count,total_elapsed_s,sum_instance_elapsed_s,avg_elapsed_s,avg_objective_ok,best_objective_ok,workers,solver_threads
cvrp50,nearest_feasible,3,3,0,0,0,0.3491725999629125,0.00307890004478395,0.0010263000149279833,1581786.6666666667,1434829.0,2,1
cvrp50,savings,3,3,0,0,0,0.3482044999836944,0.0036527999909594655,0.0012175999969864886,1138554.6666666667,1076565.0,2,1
cvrp50,sweep,3,3,0,0,0,0.35402309999335557,0.0009626999380998313,0.00032089997936661047,1891883.6666666667,1741129.0,2,1
ffsp50,ga,3,3,0,0,0,0.3708387999795377,0.0430404000217095,0.014346800007236501,58.666666666666664,56.0,2,1
ffsp50,pso,3,3,0,0,0,0.36638840002706274,0.036104500002693385,0.012034833334231129,58.666666666666664,58.0,2,1
jssp10x10,ga,3,3,0,0,0,0.4303927000146359,0.03681940003298223,0.01227313334432741,919.3333333333334,856.0,2,1
jssp10x10,pso,3,3,0,0,0,0.36954400001559407,0.031926500028930604,0.010642166676310202,954.3333333333334,855.0,2,1
tsp50,nearest_insertion,3,3,0,0,0,0.4046837000059895,0.04386309999972582,0.01462103333324194,675520.3333333334,660829.0,2,1
tsp50,nn_2opt,3,3,0,0,0,0.3522788999835029,0.00488790002418682,0.0016293000080622733,629404.0,624036.0,2,1
