epoch,lr-Adam,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,train/sll_loss,val/max_reward,val/reward
,0.0003,0,,,,,,,,,
,,49,,,237.42914199829102,,,,,,
,,49,,3.9772987365722656,,,,,,,
0,,49,,,,2.949286460876465,-12.094401359558105,-13.500580787658691,2.949286460876465,,
,,99,,,219.29621696472168,,,,,,
,,99,,21.6219425201416,,,,,,,
0,,99,,,,2.937255859375,-11.879020690917969,-13.162956237792969,2.937255859375,,
,,149,,,222.08404541015625,,,,,,
,,149,,3.9548873901367188,,,,,,,
0,,149,,,,2.938263416290283,-11.673358917236328,-12.807159423828125,2.938263416290283,,
,,199,,,227.38885879516602,,,,,,
,,199,,21.019697189331055,,,,,,,
0,,199,,,,2.9406275749206543,-11.713879585266113,-12.856700897216797,2.9406275749206543,,
,,249,,,224.7178554534912,,,,,,
,,249,,3.3779144287109375,,,,,,,
0,,249,,,,2.953155994415283,-11.424217224121094,-12.47459602355957,2.953155994415283,,
,,299,,,234.7242832183838,,,,,,
,,299,,29.666423797607422,,,,,,,
0,,299,,,,2.9318859577178955,-11.52981185913086,-12.585529327392578,2.9318859577178955,,
,,349,,,228.44624519348145,,,,,,
,,349,,5.478143692016602,,,,,,,
0,,349,,,,2.939448595046997,-11.347665786743164,-12.370651245117188,2.939448595046997,,
,,399,,,231.42218589782715,,,,,,
,,399,,23.340225219726562,,,,,,,
0,,399,,,,2.9364519119262695,-11.348799705505371,-12.348822593688965,2.9364519119262695,,
,,449,,,235.52870750427246,,,,,,
,,449,,3.7987232208251953,,,,,,,
0,,449,,,,2.927232027053833,-11.439559936523438,-12.383115768432617,2.927232027053833,,
,,499,,,231.81438446044922,,,,,,
,,499,,23.982763290405273,,,,,,,
0,,499,,,,2.9186108112335205,-11.7864351272583,-12.717243194580078,2.9186108112335205,,
,,549,,,219.52080726623535,,,,,,
,,549,,3.6766529083251953,,,,,,,
0,,549,,,,2.9296624660491943,-11.214038848876953,-12.12508487701416,2.9296624660491943,,
,,599,,,223.6025333404541,,,,,,
,,599,,21.587371826171875,,,,,,,
0,,599,,,,2.9255623817443848,-11.285184860229492,-12.180106163024902,2.9255623817443848,,
,,649,,,226.09424591064453,,,,,,
,,649,,2.3040771484375,,,,,,,
0,,649,,,,2.9267239570617676,-11.552242279052734,-12.410258293151855,2.9267239570617676,,
,,699,,,220.72291374206543,,,,,,
,,699,,24.489879608154297,,,,,,,
0,,699,,,,2.9323601722717285,-11.471014976501465,-12.304405212402344,2.9323601722717285,,
,,749,,,218.78671646118164,,,,,,
,,749,,2.2382736206054688,,,,,,,
0,,749,,,,2.9240126609802246,-11.309319496154785,-12.120580673217773,2.9240126609802246,,
,,799,,,219.91562843322754,,,,,,
,,799,,19.858121871948242,,,,,,,
0,,799,,,,2.928877592086792,-11.030776977539062,-11.834293365478516,2.928877592086792,,
,,849,,,214.69950675964355,,,,,,
,,849,,2.1512508392333984,,,,,,,
0,,849,,,,2.931131601333618,-11.416891098022461,-12.229357719421387,2.931131601333618,,
,,899,,,212.7542495727539,,,,,,
,,899,,19.551515579223633,,,,,,,
0,,899,,,,2.9275522232055664,-11.015400886535645,-11.845959663391113,2.9275522232055664,,
,,949,,,224.5347499847412,,,,,,
,,949,,3.578662872314453,,,,,,,
0,,949,,,,2.9252703189849854,-11.212218284606934,-12.020795822143555,2.9252703189849854,,
,,999,,,228.25121879577637,,,,,,
,,999,,22.90201187133789,,,,,,,
0,,999,,,,2.924861431121826,-11.37731647491455,-12.19434642791748,2.924861431121826,,
,,1049,,,231.56404495239258,,,,,,
,,1049,,3.4699440002441406,,,,,,,
0,,1049,,,,2.9324939250946045,-10.98696231842041,-11.748336791992188,2.9324939250946045,,
,,1099,,,225.2340316772461,,,,,,
,,1099,,21.249055862426758,,,,,,,
0,,1099,,,,2.9335758686065674,-11.158258438110352,-11.933446884155273,2.9335758686065674,,
,,1149,,,225.2492904663086,,,,,,
,,1149,,3.6106109619140625,,,,,,,
0,,1149,,,,2.9269702434539795,-11.142986297607422,-11.907350540161133,2.9269702434539795,,
,,1199,,,222.36037254333496,,,,,,
,,1199,,21.121978759765625,,,,,,,
0,,1199,,,,2.925727367401123,-10.984075546264648,-11.674077033996582,2.925727367401123,,
,,1249,,,225.97455978393555,,,,,,
,,1249,,3.8204193115234375,,,,,,,
0,,1249,,,,2.931833505630493,-11.401239395141602,-12.192161560058594,2.931833505630493,,
,,1299,,,225.56781768798828,,,,,,
,,1299,,25.609493255615234,,,,,,,
0,,1299,,,,2.9236907958984375,-11.25271224975586,-11.9754638671875,2.9236907958984375,,
,,1349,,,224.9739170074463,,,,,,
,,1349,,4.390239715576172,,,,,,,
0,,1349,,,,2.9283969402313232,-11.028915405273438,-11.732264518737793,2.9283969402313232,,
,,1399,,,216.202974319458,,,,,,
,,1399,,20.43008804321289,,,,,,,
0,,1399,,,,2.922977924346924,-10.795124053955078,-11.517974853515625,2.922977924346924,,
,,1449,,,221.61364555358887,,,,,,
,,1449,,3.598928451538086,,,,,,,
0,,1449,,,,2.927142858505249,-10.804972648620605,-11.546762466430664,2.927142858505249,,
,,1499,,,218.82390975952148,,,,,,
