epoch,lr-Adam,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
9,,319,,,,,,,,,-93.00399780273438,-96.40708923339844
,,320,,,461.95227813720703,,,,,,,
,0.0001,320,,,,,,,,,,
,,329,,,,,7778.12933921814,,,,,
,,329,,,,31.24213218688965,,,,,,
10,,329,,,,,,-5.287534236907959,-93.96875,-98.08464050292969,,
,,339,,,,,8115.92698097229,,,,,
,,339,,,,34.20758247375488,,,,,,
10,,339,,,,,,-6.749448299407959,-93.84375,-98.02734375,,
,,349,,,,,7676.4976978302,,,,,
,,349,,,,25.77519416809082,,,,,,
10,,349,,,,,,-4.312837600708008,-93.90625,-97.86067962646484,,
10,,351,,,,,,,,,-93.21800231933594,-96.64183044433594
,,352,,,453.43496441841125,,,,,,,
,0.0001,352,,,,,,,,,,
,,359,,,,,7705.575942993164,,,,,
,,359,,,,25.450944900512695,,,,,,
11,,359,,,,,,-5.664281368255615,-93.1875,-97.22396087646484,,
,,369,,,,,7848.272323608398,,,,,
,,369,,,,25.544166564941406,,,,,,
11,,369,,,,,,-6.2432661056518555,-93.0625,-97.20573425292969,,
,,379,,,,,7605.263948440552,,,,,
,,379,,,,30.035972595214844,,,,,,
11,,379,,,,,,-4.392735481262207,-93.4375,-97.42448425292969,,
11,,383,,,,,,,,,-92.96600341796875,-96.36054992675781
,,384,,,449.91747879981995,,,,,,,
,0.0001,384,,,,,,,,,,
,,389,,,,,7958.817958831787,,,,,
,,389,,,,26.95465087890625,,,,,,
12,,389,,,,,,-3.5761477947235107,-93.0625,-97.28385925292969,,
,,399,,,,,7587.761402130127,,,,,
,,399,,,,43.4417724609375,,,,,,
12,,399,,,,,,-3.7282989025115967,-93.34375,-97.29817962646484,,
,,409,,,,,11609.73834991455,,,,,
,,409,,,,27.96173095703125,,,,,,
12,,409,,,,,,-6.605966091156006,-93.875,-97.58073425292969,,
12,,415,,,,,,,,,-92.78600311279297,-96.1524887084961
,,416,,,467.9864571094513,,,,,,,
,0.0001,416,,,,,,,,,,
,,419,,,,,7744.482517242432,,,,,
,,419,,,,25.725603103637695,,,,,,
13,,419,,,,,,-4.301156520843506,-92.6875,-96.98567962646484,,
,,429,,,,,7599.722146987915,,,,,
,,429,,,,31.514644622802734,,,,,,
13,,429,,,,,,-3.8384017944335938,-93.53125,-97.7890625,,
,,439,,,,,7892.609357833862,,,,,
,,439,,,,28.958559036254883,,,,,,
13,,439,,,,,,-4.236562252044678,-93.53125,-97.53515625,,
13,,447,,,,,,,,,-93.0260009765625,-96.44508361816406
,,448,,,458.4853959083557,,,,,,,
,0.0001,448,,,,,,,,,,
,,449,,,,,8083.385944366455,,,,,
,,449,,,,26.550769805908203,,,,,,
14,,449,,,,,,-6.919459342956543,-93.75,-97.81771087646484,,
,,459,,,,,7985.781669616699,,,,,
,,459,,,,30.338048934936523,,,,,,
14,,459,,,,,,-6.865199089050293,-93.75,-97.8671875,,
,,469,,,,,7714.285373687744,,,,,
,,469,,,,31.329870223999023,,,,,,
14,,469,,,,,,-5.996070861816406,-93.5625,-97.4453125,,
,,479,,,,,7662.205934524536,,,,,
,,479,,,,26.623249053955078,,,,,,
14,,479,,,,,,-4.111852169036865,-93.125,-97.0,,
14,,479,,,,,,,,,-92.95500183105469,-96.32196044921875
,,480,,,458.22480511665344,,,,,,,
,0.0001,480,,,,,,,,,,
,,489,,,,,7875.705003738403,,,,,
,,489,,,,28.20277214050293,,,,,,
15,,489,,,,,,-5.320048809051514,-93.65625,-97.8515625,,
,,499,,,,,7532.063722610474,,,,,
,,499,,,,46.03695869445801,,,,,,
15,,499,,,,,,-5.0917158126831055,-93.90625,-98.08724212646484,,
,,509,,,,,8006.040334701538,,,,,
,,509,,,,26.751041412353516,,,,,,
15,,509,,,,,,-5.151531219482422,-93.34375,-97.2890625,,
15,,511,,,,,,,,,-92.86599731445312,-96.21070861816406
,,512,,,507.89572048187256,,,,,,,
,0.0001,512,,,,,,,,,,
,,519,,,,,7840.4669761657715,,,,,
,,519,,,,31.84056282043457,,,,,,
16,,519,,,,,,-5.460536956787109,-92.8125,-96.91667175292969,,
,,529,,,,,7722.661018371582,,,,,
,,529,,,,31.783342361450195,,,,,,
16,,529,,,,,,-5.797338008880615,-93.0625,-97.21614837646484,,
,,539,,,,,7744.120121002197,,,,,
,,539,,,,25.713443756103516,,,,,,
16,,539,,,,,,-4.920489311218262,-93.96875,-97.90104675292969,,
16,,543,,,,,,,,,-92.95899963378906,-96.31275177001953
,,544,,,448.05222821235657,,,,,,,
,0.0001,544,,,,,,,,,,
,,549,,,,,7560.22310256958,,,,,
,,549,,,,29.86431121826172,,,,,,
17,,549,,,,,,-7.617610931396484,-94.0,-97.95964050292969,,
,,559,,,,,7515.9666538238525,,,,,
,,559,,,,27.689218521118164,,,,,,
17,,559,,,,,,-4.777442932128906,-92.625,-96.57421875,,
,,569,,,,,7563.504219055176,,,,,
,,569,,,,29.950618743896484,,,,,,
17,,569,,,,,,-4.6727614402771,-92.09375,-96.27604675292969,,
17,,575,,,,,,,,,-92.61799621582031,-95.97734069824219
,,576,,,444.03602862358093,,,,,,,
,0.0001,576,,,,,,,,,,
,,579,,,,,8087.097644805908,,,,,
,,579,,,,31.77499771118164,,,,,,
18,,579,,,,,,-4.374368667602539,-92.625,-96.8671875,,
,,589,,,,,7537.662029266357,,,,,
,,589,,,,29.026508331298828,,,,,,
18,,589,,,,,,-3.418712615966797,-92.875,-97.15625,,
,,599,,,,,7731.470108032227,,,,,
,,599,,,,41.771650314331055,,,,,,
18,,599,,,,,,-3.660411834716797,-92.75,-96.80859375,,
18,,607,,,,,,,,,-92.94999694824219,-96.3236312866211
,,608,,,447.7506935596466,,,,,,,
,0.0001,608,,,,,,,,,,
,,609,,,,,7596.0845947265625,,,,,
,,609,,,,27.076244354248047,,,,,,
19,,609,,,,,,-5.475022315979004,-93.875,-97.88671875,,
,,619,,,,,8066.619396209717,,,,,
,,619,,,,27.08721160888672,,,,,,
