epoch,step,train/loss,train/max_reward,train/reward,val/max_aug_reward,val/max_reward,val/reward
0,49,-2.740129232406616,-7.350297927856445,-8.638178825378418,,,
0,99,-2.065908908843994,-6.717072486877441,-7.774156093597412,,,
0,149,-1.705979824066162,-6.6265106201171875,-7.576026916503906,,,
0,199,-1.3706378936767578,-6.588072299957275,-7.506473064422607,,,
0,249,-1.2879289388656616,-6.496925354003906,-7.391716957092285,,,
0,299,-1.3752976655960083,-6.380409240722656,-7.289037704467773,,,
0,349,-1.42986261844635,-6.39854621887207,-7.24986457824707,,,
0,399,-1.344807744026184,-6.414324760437012,-7.247153282165527,,,
0,449,-1.0557758808135986,-6.325268745422363,-7.124935626983643,,,
0,499,-1.009207010269165,-6.274572849273682,-7.059161186218262,,,
0,549,-1.0761895179748535,-6.389505386352539,-7.140830993652344,,,
0,599,-1.509770154953003,-6.282902717590332,-7.094811916351318,,,
0,649,-1.2680213451385498,-6.234824180603027,-7.012903213500977,,,
0,699,-1.3066226243972778,-6.372143745422363,-7.107446193695068,,,
0,749,-1.0560435056686401,-6.181770324707031,-6.91908073425293,,,
0,799,-0.9210465550422668,-6.224881649017334,-6.951979637145996,,,
0,849,-0.9532768130302429,-6.172451019287109,-6.8762383460998535,,,
0,899,-0.9335219264030457,-6.178525924682617,-6.904664039611816,,,
0,949,-0.828302264213562,-6.220029830932617,-6.911646366119385,,,
0,999,-0.8158404231071472,-6.149100303649902,-6.846468448638916,,,
0,1049,-0.8332991003990173,-6.177727222442627,-6.855844497680664,,,
0,1099,-0.848016619682312,-6.070908546447754,-6.756845474243164,,,
0,1149,-0.767646849155426,-6.152023792266846,-6.781660079956055,,,
0,1199,-0.7560924887657166,-6.13541316986084,-6.771207809448242,,,
0,1249,-0.6963120698928833,-6.005876541137695,-6.643405437469482,,,
0,1299,-0.7789723873138428,-6.072391510009766,-6.708757400512695,,,
0,1349,-0.7553483247756958,-6.080214500427246,-6.706972122192383,,,
0,1399,-0.7319284677505493,-6.054381370544434,-6.693388938903809,,,
0,1449,-0.6672689914703369,-6.008266448974609,-6.613613605499268,,,
0,1499,-0.7118999361991882,-6.0754876136779785,-6.686667442321777,,,
0,1549,-0.7313745021820068,-6.044858932495117,-6.6545023918151855,,,
0,1599,-0.6524685621261597,-6.09018611907959,-6.678857326507568,,,
0,1649,-0.719655454158783,-6.081241130828857,-6.662012577056885,,,
