run,descriptor,probe_count,n_subsets,rho_min,rho_median,rho_max,nn_median_of_subsets,nn_worst,false_skip_median,false_skip_worst
matched_scratch_seed1,kappa_full,1,8,0.5499215418311754,0.5600465541669705,0.5771160075479994,0.008564367294311648,0.008658030700683383,0.0,0.125
matched_scratch_seed1,kappa_full,2,28,0.5553126838548058,0.5639909010142796,0.5755194577564035,0.008564367294311648,0.008658030700683383,0.0,0.125
matched_scratch_seed1,kappa_full,4,70,0.5573647416353651,0.5649516326615138,0.5735777460340346,0.008564367294311648,0.008658030700683383,0.0,0.0
matched_scratch_seed1,kappa_full,8,1,0.5650795968775213,0.5650795968775213,0.5650795968775213,0.008564367294311648,0.008564367294311648,0.0,0.0
matched_scratch_seed1,kappa_early,1,8,0.5495335336697392,0.5593545080691973,0.5785881449510647,0.008564367294311648,0.008658030700683383,0.0,0.125
matched_scratch_seed1,kappa_early,2,28,0.5521199864037301,0.5632373602670425,0.5765624988543927,0.008564367294311648,0.008658030700683383,0.0,0.125
matched_scratch_seed1,kappa_early,4,70,0.5562383223951645,0.5638608778123957,0.5719849716965244,0.008658030700683383,0.008658030700683383,0.0,0.0
matched_scratch_seed1,kappa_early,8,1,0.5640125171971786,0.5640125171971786,0.5640125171971786,0.008658030700683383,0.008658030700683383,0.0,0.0
matched_scratch_seed1,initial_unit_per_probe,1,8,0.5122696383862172,0.6444032191442935,0.7046393991313039,0.007532770919799869,0.008564367294311648,0.125,0.125
matched_scratch_seed1,initial_unit_per_probe,2,28,0.564414006401714,0.6482629453952016,0.6915315447503926,0.007532770919799869,0.008564367294311648,0.125,0.125
matched_scratch_seed1,initial_unit_per_probe,4,70,0.6013416698136145,0.6463803361672366,0.67994571997467,0.007532770919799869,0.007532770919799869,0.125,0.125
matched_scratch_seed1,initial_unit_per_probe,8,1,0.6459037369947732,0.6459037369947732,0.6459037369947732,0.007532770919799869,0.007532770919799869,0.125,0.125
matched_scratch_seed2,kappa_full,1,8,0.5586640156384239,0.5720344033945949,0.6007407063505464,0.008611198997497516,0.008658030700683383,0.0625,0.125
matched_scratch_seed2,kappa_full,2,28,0.5605427650743768,0.5766982796725009,0.5948527324467281,0.008658030700683383,0.008658030700683383,0.125,0.125
matched_scratch_seed2,kappa_full,4,70,0.5703005534927931,0.5774806533824639,0.5854320246588121,0.008658030700683383,0.008658030700683383,0.125,0.125
matched_scratch_seed2,kappa_full,8,1,0.5775386501061197,0.5775386501061197,0.5775386501061197,0.008658030700683383,0.008658030700683383,0.125,0.125
matched_scratch_seed2,kappa_early,1,8,0.5601091647540567,0.5706020293037398,0.6003517406268927,0.008611198997497516,0.010501472091674291,0.0625,0.125
matched_scratch_seed2,kappa_early,2,28,0.5625524453704283,0.5755820871763797,0.5939123482765243,0.008564367294311648,0.010501472091674291,0.125,0.125
matched_scratch_seed2,kappa_early,4,70,0.5700826782098585,0.5765982124494353,0.58394988301486,0.008658030700683383,0.010501472091674291,0.125,0.125
matched_scratch_seed2,kappa_early,8,1,0.5767962146481989,0.5767962146481989,0.5767962146481989,0.008658030700683383,0.008658030700683383,0.125,0.125
matched_scratch_seed2,initial_unit_per_probe,1,8,0.6014304049606384,0.6762471146728581,0.7290948768459492,0.007400147819518921,0.008205457687378015,0.125,0.125
matched_scratch_seed2,initial_unit_per_probe,2,28,0.6170397550192962,0.6795843715421389,0.7246739315053755,0.007532770919799869,0.008564367294311648,0.125,0.125
matched_scratch_seed2,initial_unit_per_probe,4,70,0.6420685261204656,0.6796020636928326,0.7084598281650486,0.007532770919799869,0.007532770919799869,0.125,0.125
matched_scratch_seed2,initial_unit_per_probe,8,1,0.6790554467685103,0.6790554467685103,0.6790554467685103,0.007532770919799869,0.007532770919799869,0.125,0.125
matched_warm_seed1,kappa_full,1,8,0.5570958769413484,0.573684008363051,0.612894861088358,0.0018917623519896232,0.0024456207275393993,0.0,0.0
matched_warm_seed1,kappa_full,2,28,0.5496279223595967,0.567076676900762,0.5934252562315212,0.0018917623519896232,0.0024456207275393993,0.0,0.0
