run,descriptor,rho,nn_median,nn_mean,false_skip_20pct_tol001,skip_rate,dimension
matched_scratch_seed1,initial_field,0.11669015013275104,0.01008359985351559,0.0754287718582152,0.125,0.20512820512820512,816
matched_scratch_seed1,raw_three_positions,0.1101620706284747,0.01008359985351559,0.06840090587615955,0.125,0.20512820512820512,2448
matched_scratch_seed1,kappa_full,0.565079141710393,0.008564367294311648,0.11374138046264644,0.0,0.20512820512820512,1600
matched_scratch_seed1,kappa_early,0.5640125171971786,0.008658030700683383,0.11503821565628045,0.0,0.20512820512820512,800
matched_scratch_seed1,kappa_late,0.5668947309073958,0.008205457687378015,0.1127568974113464,0.0,0.20512820512820512,800
matched_scratch_seed1,position_second_difference,0.5671066259393178,0.008205457687378015,0.11304038757324215,0.0,0.20512820512820512,800
matched_scratch_seed1,initial_unit_per_probe,0.6459037369947732,0.007532770919799869,0.0698447360420226,0.125,0.20512820512820512,800
matched_scratch_seed1,initial_unit_global,0.48227051144199795,0.0067744235992432955,0.08352682725906357,0.125,0.20512820512820512,816
matched_scratch_seed1,initial_norm_profile,0.11026614722057643,0.01008359985351559,0.07946176811218249,0.125,0.20512820512820512,8
matched_scratch_seed1,initial_gram,0.6669120398287982,0.007267524719237972,0.06985315534591666,0.125,0.20512820512820512,36
matched_scratch_seed1,kappa_rp32,0.5623739914066251,0.008658030700683383,0.14998859241485588,0.0,0.20512820512820512,32
matched_scratch_seed1,kappa_rp64,0.5603260013138539,0.008564367294311648,0.11316530927658078,0.0,0.20512820512820512,64
matched_scratch_seed1,kappa_rp128,0.5642985680158477,0.008658030700683383,0.11398251081466666,0.0,0.20512820512820512,128
matched_scratch_seed2,initial_field,0.12123157845968649,0.01008359985351559,0.07547242027282704,0.125,0.20512820512820512,816
matched_scratch_seed2,raw_three_positions,0.11192750754529003,0.011696495819091268,0.06769486337661731,0.125,0.20512820512820512,2448
matched_scratch_seed2,kappa_full,0.577538734959773,0.008658030700683383,0.11352954158782953,0.125,0.20512820512820512,1600
matched_scratch_seed2,kappa_early,0.5767962146481989,0.008658030700683383,0.11197755050659172,0.125,0.20512820512820512,800
matched_scratch_seed2,kappa_late,0.5783118290153869,0.008658030700683383,0.11471734563827507,0.125,0.20512820512820512,800
matched_scratch_seed2,position_second_difference,0.5762266488518437,0.008564367294311648,0.11387818315505974,0.125,0.20512820512820512,800
matched_scratch_seed2,initial_unit_per_probe,0.6790554467685103,0.007532770919799869,0.06473751031875596,0.125,0.20512820512820512,800
matched_scratch_seed2,initial_unit_global,0.4957650392656347,0.0067744235992432955,0.06814443264007557,0.25,0.20512820512820512,816
matched_scratch_seed2,initial_norm_profile,0.11564481761360854,0.011696495819091268,0.07966293430328357,0.125,0.20512820512820512,8
matched_scratch_seed2,initial_gram,0.7152481443869819,0.007267524719237972,0.06292915410995473,0.125,0.20512820512820512,36
matched_scratch_seed2,kappa_rp32,0.5834992675634798,0.010501472091674291,0.1364018847656249,0.125,0.20512820512820512,32
matched_scratch_seed2,kappa_rp64,0.5834642449821015,0.008658030700683383,0.10615521749496452,0.125,0.20512820512820512,64
matched_scratch_seed2,kappa_rp128,0.578427593186903,0.008658030700683383,0.13879543270111072,0.125,0.20512820512820512,128
matched_warm_seed1,initial_field,0.23852767371962327,0.002325206375122235,0.0702244789314271,0.125,0.20512820512820512,816
matched_warm_seed1,raw_three_positions,0.2049552240999159,0.002325206375122235,0.07323641769409188,0.0,0.20512820512820512,2448
matched_warm_seed1,kappa_full,0.5521333000421504,0.0020081531524658303,0.06573253934860238,0.0,0.20512820512820512,1600
matched_warm_seed1,kappa_early,0.5532903440208874,0.001775371551513416,0.06568836147308357,0.0,0.20512820512820512,800
matched_warm_seed1,kappa_late,0.5449664281372543,0.0020081531524658303,0.06574413520812997,0.0,0.20512820512820512,800
matched_warm_seed1,position_second_difference,0.5496354601239462,0.0020081531524658303,0.0632139391326905,0.0,0.20512820512820512,800
matched_warm_seed1,initial_unit_per_probe,0.850797618181852,0.0012177814483642635,0.06660078712463387,0.125,0.20512820512820512,800
matched_warm_seed1,initial_unit_global,0.49527245361620764,0.0010906177520753069,0.05278835441589354,0.125,0.20512820512820512,816
matched_warm_seed1,initial_norm_profile,0.20530319617283543,0.002325206375122235,0.07846029567718515,0.125,0.20512820512820512,8
matched_warm_seed1,initial_gram,0.8580302623229111,0.0012177814483642635,0.0664680973815919,0.125,0.20512820512820512,36
matched_warm_seed1,kappa_rp32,0.5531127529818839,0.001775371551513416,0.06567049724578866,0.0,0.20512820512820512,32
matched_warm_seed1,kappa_rp64,0.5523557341958028,0.001775371551513416,0.051142379589080876,0.0,0.20512820512820512,64
matched_warm_seed1,kappa_rp128,0.5533577340420955,0.002343277740478822,0.06344063833236702,0.0,0.20512820512820512,128
matched_warm_seed2,initial_field,0.2396488344724115,0.002325206375122235,0.07020027679443368,0.125,0.20512820512820512,816
matched_warm_seed2,raw_three_positions,0.20519918982509655,0.002325206375122235,0.06527304145812995,0.0,0.20512820512820512,2448
matched_warm_seed2,kappa_full,0.5733868575311322,0.00170750732421876,0.06319044948577887,0.0,0.20512820512820512,1600
matched_warm_seed2,kappa_early,0.5749979830407348,0.00170750732421876,0.06317885362625128,0.0,0.20512820512820512,800
matched_warm_seed2,kappa_late,0.5710875808112872,0.001775371551513416,0.06322303150177008,0.0,0.20512820512820512,800
matched_warm_seed2,position_second_difference,0.574302122753506,0.001775371551513416,0.06071539178848271,0.0,0.20512820512820512,800
matched_warm_seed2,initial_unit_per_probe,0.8529118313567765,0.0013301193237307274,0.0584067129516602,0.125,0.20512820512820512,800
matched_warm_seed2,initial_unit_global,0.496497011476879,0.001316505050659167,0.05925129661560058,0.125,0.20512820512820512,816
matched_warm_seed2,initial_norm_profile,0.2059807657460722,0.002325206375122235,0.07745278659820569,0.125,0.20512820512820512,8
matched_warm_seed2,initial_gram,0.8484922943801534,0.0010206703186037558,0.055826270751953164,0.125,0.20512820512820512,36
matched_warm_seed2,kappa_rp32,0.5767606231076924,0.001703379058838106,0.05309686643600473,0.0,0.20512820512820512,32
matched_warm_seed2,kappa_rp64,0.5663113604714065,0.001775371551513416,0.07140652830123906,0.0,0.20512820512820512,64
matched_warm_seed2,kappa_rp128,0.5698839960381425,0.001771243286132762,0.06322098375320442,0.0,0.20512820512820512,128
external_scratch_seed1,initial_field,0.09100529053144589,0.007681481933593748,0.18160005259587214,0.07142857142857142,0.21875,816
external_scratch_seed1,raw_three_positions,0.10794936077120472,0.007681481933593748,0.18756437059842618,0.07692307692307693,0.203125,2448
external_scratch_seed1,kappa_full,0.4543699421037683,0.006888439178466488,0.11145797021719128,0.07692307692307693,0.203125,1600
external_scratch_seed1,kappa_early,0.4555548259740145,0.006888439178466488,0.1109676172931378,0.07692307692307693,0.203125,800
external_scratch_seed1,kappa_late,0.4563112818519608,0.006888439178466488,0.11145797021719128,0.07692307692307693,0.203125,800
external_scratch_seed1,position_second_difference,0.45128832492714904,0.006888439178466488,0.11174087398235619,0.07692307692307693,0.203125,800
external_scratch_seed1,initial_unit_per_probe,0.6273662420679361,0.006143544387817279,0.09774503724905162,0.06666666666666667,0.234375,800
external_scratch_seed1,initial_unit_global,0.24185593081697748,0.006617299652099895,0.10748248623187724,0.07142857142857142,0.21875,816
external_scratch_seed1,initial_norm_profile,0.10862523254988893,0.009362091064453182,0.18745538844768816,0.10526315789473684,0.296875,8
external_scratch_seed1,initial_gram,0.6427291870842418,0.006617299652099895,0.10096141690180857,0.06666666666666667,0.234375,36
external_scratch_seed1,kappa_rp32,0.461786676267664,0.007681481933593748,0.14622032680804917,0.07692307692307693,0.203125,32
external_scratch_seed1,kappa_rp64,0.45831774771451134,0.007488506698608344,0.11438255173316372,0.07692307692307693,0.203125,64
external_scratch_seed1,kappa_rp128,0.45737328798365384,0.006888439178466488,0.15758025846041168,0.07692307692307693,0.203125,128
external_scratch_seed2,initial_field,0.09095530238272008,0.009362091064453182,0.18068649520287142,0.07142857142857142,0.21875,816
external_scratch_seed2,raw_three_positions,0.10747594906443295,0.007681481933593748,0.18649290185194745,0.15384615384615385,0.203125,2448
external_scratch_seed2,kappa_full,0.4865177263196025,0.006462363433837659,0.11163312022869407,0.07692307692307693,0.203125,1600
external_scratch_seed2,kappa_early,0.487571985780607,0.006462363433837659,0.11163112944969766,0.07692307692307693,0.203125,800
external_scratch_seed2,kappa_late,0.48448577222665834,0.005547960662842133,0.11144980022136987,0.07692307692307693,0.203125,800
external_scratch_seed2,position_second_difference,0.4803759839391706,0.006143544387817279,0.1115896538015513,0.07692307692307693,0.203125,800
external_scratch_seed2,initial_unit_per_probe,0.6616444467530701,0.006143544387817279,0.09924520995506875,0.06666666666666667,0.234375,800
external_scratch_seed2,initial_unit_global,0.24818254245493582,0.007681481933593748,0.09824329483032229,0.07142857142857142,0.21875,816
external_scratch_seed2,initial_norm_profile,0.1072468729464569,0.009362091064453182,0.186390596800584,0.15,0.3125,8
external_scratch_seed2,initial_gram,0.7085521379711909,0.006617299652099895,0.11386583691523626,0.06666666666666667,0.234375,36
external_scratch_seed2,kappa_rp32,0.44621733485920284,0.006462363433837659,0.11854008384117712,0.07692307692307693,0.203125,32
external_scratch_seed2,kappa_rp64,0.4613783704291873,0.006617299652099895,0.15730509641207185,0.07692307692307693,0.203125,64
external_scratch_seed2,kappa_rp128,0.4785277305964386,0.005547960662842133,0.11083968975947456,0.07692307692307693,0.203125,128
external_warmprobe_seed1,initial_field,0.11591739720704357,0.006635288619995183,0.09562536972045896,0.06666666666666667,0.234375,816
external_warmprobe_seed1,initial_unit_per_probe,0.7125587567626965,0.00731441421508805,0.16995207460843606,0.0625,0.25,800
