epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,train/sll_loss,val/max_reward,val/reward
,49,,,826.8904685974121,,,,,,
,49,,2.3849010467529297,,,,,,,
0,49,,,,2.7673656940460205,-926.0,-1107.5,2.7673656940460205,,
,99,,,832.2069644927979,,,,,,
,99,,28.09309959411621,,,,,,,
0,99,,,,4.032206058502197,-957.0,-1128.0,4.032206058502197,,
,149,,,823.5678672790527,,,,,,
,149,,2.0723342895507812,,,,,,,
0,149,,,,4.9328389167785645,-936.0,-1040.8125,4.9328389167785645,,
,199,,,838.5896682739258,,,,,,
,199,,21.643400192260742,,,,,,,
0,199,,,,5.316102981567383,-943.0,-1010.375,5.316102981567383,,
,249,,,859.5499992370605,,,,,,
,249,,2.0461082458496094,,,,,,,
0,249,,,,3.9014699459075928,-896.0,-971.875,3.9014699459075928,,
,299,,,836.9851112365723,,,,,,
,299,,20.356178283691406,,,,,,,
0,299,,,,4.358556747436523,-843.0,-954.0625,4.358556747436523,,
,349,,,853.5332679748535,,,,,,
,349,,2.1562576293945312,,,,,,,
0,349,,,,5.538871765136719,-1052.0,-1135.875,5.538871765136719,,
,399,,,865.4375076293945,,,,,,
,399,,23.46348762512207,,,,,,,
0,399,,,,2.509763240814209,-908.0,-1005.5625,2.509763240814209,,
,449,,,847.6042747497559,,,,,,
,449,,2.3980140686035156,,,,,,,
0,449,,,,2.278069019317627,-835.0,-913.1875,2.278069019317627,,
,499,,,830.2817344665527,,,,,,
,499,,21.26312255859375,,,,,,,
0,499,,,,4.438620567321777,-842.0,-964.4375,4.438620567321777,,
,549,,,839.3292427062988,,,,,,
,549,,2.0744800567626953,,,,,,,
0,549,,,,5.982765197753906,-820.0,-885.125,5.982765197753906,,
,599,,,829.0572166442871,,,,,,
,599,,20.457983016967773,,,,,,,
0,599,,,,4.2668914794921875,-967.0,-1062.875,4.2668914794921875,,
,649,,,833.4095478057861,,,,,,
,649,,2.153158187866211,,,,,,,
0,649,,,,4.473133087158203,-1002.0,-1128.8125,4.473133087158203,,
,699,,,862.3614311218262,,,,,,
,699,,20.4007625579834,,,,,,,
0,699,,,,4.108292579650879,-873.0,-988.3125,4.108292579650879,,
,749,,,1087.4006748199463,,,,,,
,749,,2.923250198364258,,,,,,,
0,749,,,,4.928627014160156,-929.0,-1039.0625,4.928627014160156,,
,799,,,840.2271270751953,,,,,,
,799,,21.353721618652344,,,,,,,
0,799,,,,4.601778507232666,-1038.0,-1121.5,4.601778507232666,,
,849,,,801.9742965698242,,,,,,
,849,,5.566835403442383,,,,,,,
0,849,,,,3.883188247680664,-903.0,-995.125,3.883188247680664,,
,899,,,873.809814453125,,,,,,
,899,,21.962404251098633,,,,,,,
0,899,,,,4.161931037902832,-915.0,-999.625,4.161931037902832,,
,949,,,843.5928821563721,,,,,,
,949,,2.3980140686035156,,,,,,,
0,949,,,,5.977376937866211,-934.0,-1044.5625,5.977376937866211,,
,999,,,841.0403728485107,,,,,,
,999,,20.31683921813965,,,,,,,
0,999,,,,4.810309410095215,-940.0,-1080.1875,4.810309410095215,,
,1049,,,843.8417911529541,,,,,,
,1049,,2.0322799682617188,,,,,,,
0,1049,,,,4.75065803527832,-829.0,-934.875,4.75065803527832,,
,1099,,,863.7022972106934,,,,,,
,1099,,22.7508544921875,,,,,,,
0,1099,,,,5.436063766479492,-924.0,-1028.625,5.436063766479492,,
,1149,,,851.5169620513916,,,,,,
,1149,,2.3031234741210938,,,,,,,
0,1149,,,,3.803535223007202,-973.0,-1065.25,3.803535223007202,,
,1199,,,1078.4332752227783,,,,,,
,1199,,21.3010311126709,,,,,,,
0,1199,,,,4.634733200073242,-883.0,-939.625,4.634733200073242,,
,1249,,,872.6551532745361,,,,,,
,1249,,2.110719680786133,,,,,,,
0,1249,,,,5.27483606338501,-876.0,-1016.6875,5.27483606338501,,
,1299,,,869.5342540740967,,,,,,
,1299,,29.6022891998291,,,,,,,
0,1299,,,,5.978153228759766,-971.0,-1051.0,5.978153228759766,,
,1349,,,826.8036842346191,,,,,,
,1349,,2.1135807037353516,,,,,,,
0,1349,,,,3.431758403778076,-883.0,-929.8125,3.431758403778076,,
,1399,,,861.6158962249756,,,,,,
,1399,,21.631956100463867,,,,,,,
0,1399,,,,3.404757499694824,-1046.0,-1139.4375,3.404757499694824,,
,1449,,,821.4778900146484,,,,,,
,1449,,2.0906925201416016,,,,,,,
0,1449,,,,5.35085916519165,-975.0,-1108.0625,5.35085916519165,,
,1499,,,858.0231666564941,,,,,,
,1499,,20.231246948242188,,,,,,,
0,1499,,,,4.631736755371094,-884.0,-971.25,4.631736755371094,,
,1549,,,842.9436683654785,,,,,,
,1549,,2.6607513427734375,,,,,,,
0,1549,,,,4.130079746246338,-1073.0,-1160.6875,4.130079746246338,,
,1599,,,820.4731941223145,,,,,,
,1599,,27.99224853515625,,,,,,,
0,1599,,,,6.260451316833496,-893.0,-997.1875,6.260451316833496,,
,1649,,,875.1132488250732,,,,,,
,1649,,2.3818016052246094,,,,,,,
0,1649,,,,4.131143569946289,-913.0,-1031.5,4.131143569946289,,
,1699,,,868.4332370758057,,,,,,
,1699,,21.130800247192383,,,,,,,
0,1699,,,,4.268397331237793,-739.0,-805.8125,4.268397331237793,,
,1749,,,843.5933589935303,,,,,,
,1749,,2.036571502685547,,,,,,,
0,1749,,,,4.236041069030762,-933.0,-1030.375,4.236041069030762,,
,1799,,,844.2058563232422,,,,,,
,1799,,22.02582359313965,,,,,,,
0,1799,,,,5.838282585144043,-970.0,-1086.625,5.838282585144043,,
,1849,,,833.9121341705322,,,,,,
,1849,,2.2766590118408203,,,,,,,
0,1849,,,,2.708265781402588,-867.0,-958.875,2.708265781402588,,
,1899,,,866.6951656341553,,,,,,
,1899,,21.307945251464844,,,,,,,
0,1899,,,,3.1326849460601807,-935.0,-1020.0,3.1326849460601807,,
,1949,,,817.9049491882324,,,,,,
,1949,,2.760648727416992,,,,,,,
0,1949,,,,4.2079644203186035,-981.0,-1089.875,4.2079644203186035,,
,1999,,,872.0157146453857,,,,,,
,1999,,21.190404891967773,,,,,,,
0,1999,,,,4.876775741577148,-824.0,-933.3125,4.876775741577148,,
0,1999,,,,,,,,-933.2589721679688,-961.4903564453125
,2000,2389.800472974777,,,,,,,,
,2049,,,839.2684459686279,,,,,,
,2049,,1.9795894622802734,,,,,,,
1,2049,,,,5.774541854858398,-943.0,-1083.0,5.774541854858398,,
,2099,,,832.8280448913574,,,,,,
,2099,,26.92437171936035,,,,,,,
1,2099,,,,4.367369651794434,-983.0,-1050.5625,4.367369651794434,,
,2149,,,842.7770137786865,,,,,,
,2149,,2.0356178283691406,,,,,,,
1,2149,,,,4.592655658721924,-1045.0,-1129.3125,4.592655658721924,,
,2199,,,802.703857421875,,,,,,
,2199,,20.273923873901367,,,,,,,
1,2199,,,,4.4818434715271,-952.0,-1005.625,4.4818434715271,,
,2249,,,848.4668731689453,,,,,,
,2249,,2.267599105834961,,,,,,,
1,2249,,,,5.287123680114746,-945.0,-1040.3125,5.287123680114746,,
,2299,,,838.043212890625,,,,,,
,2299,,21.10743522644043,,,,,,,
1,2299,,,,6.406393051147461,-956.0,-1023.625,6.406393051147461,,
,2349,,,829.2250633239746,,,,,,
,2349,,1.9714832305908203,,,,,,,
1,2349,,,,5.217672348022461,-920.0,-1020.4375,5.217672348022461,,
,2399,,,845.7276821136475,,,,,,
,2399,,20.926475524902344,,,,,,,
1,2399,,,,7.593857765197754,-927.0,-1008.4375,7.593857765197754,,
,2449,,,832.2744369506836,,,,,,
,2449,,2.5827884674072266,,,,,,,
1,2449,,,,3.995767831802368,-867.0,-938.9375,3.995767831802368,,
,2499,,,842.3545360565186,,,,,,
,2499,,20.625829696655273,,,,,,,
1,2499,,,,5.049189567565918,-968.0,-1047.8125,5.049189567565918,,
,2549,,,856.281042098999,,,,,,
,2549,,2.304553985595703,,,,,,,
1,2549,,,,5.58889627456665,-870.0,-945.1875,5.58889627456665,,
,2599,,,867.2699928283691,,,,,,
,2599,,20.503997802734375,,,,,,,
1,2599,,,,2.596681833267212,-858.0,-913.5,2.596681833267212,,
,2649,,,849.999189376831,,,,,,
,2649,,2.357959747314453,,,,,,,
1,2649,,,,5.312321662902832,-985.0,-1095.0625,5.312321662902832,,
,2699,,,803.9495944976807,,,,,,
,2699,,20.132064819335938,,,,,,,
1,2699,,,,3.705875873565674,-985.0,-1088.9375,3.705875873565674,,
,2749,,,838.4418487548828,,,,,,
,2749,,2.043008804321289,,,,,,,
1,2749,,,,3.927145481109619,-893.0,-1022.8125,3.927145481109619,,
,2799,,,874.2640018463135,,,,,,
,2799,,20.27750015258789,,,,,,,
1,2799,,,,2.8007562160491943,-894.0,-989.3125,2.8007562160491943,,
,2849,,,818.0010318756104,,,,,,
,2849,,2.153635025024414,,,,,,,
1,2849,,,,6.908316612243652,-958.0,-1031.8125,6.908316612243652,,
,2899,,,870.7349300384521,,,,,,
,2899,,26.047468185424805,,,,,,,
1,2899,,,,3.346414566040039,-881.0,-984.875,3.346414566040039,,
,2949,,,824.2838382720947,,,,,,
,2949,,2.3851394653320312,,,,,,,
