problem,problem_label,condition,condition_label,target_size,bin,x_min,x_max,x_mid,weight_mean,weight_q25,weight_q75,count
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,0.0,1.0877847671508789e-05,0.2548561096191406,0.12724852561950684,0.23134957432649295,0.20000000298023224,0.20000000298023224,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,1.0,0.2549492120742798,0.5586494207382202,0.4008601903915405,0.26574130114770256,0.20000000298023224,0.20000000298023224,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,2.0,0.5587408542633057,0.9137611389160156,0.7366124987602234,0.3244293315204206,0.20000000298023224,0.20000000298023224,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,3.0,0.913824200630188,1.3431203365325928,1.116362452507019,0.4114295166295374,0.20000000298023224,0.26684657484292984,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,4.0,1.3431832790374756,1.8681687116622925,1.600380539894104,0.5572478990060992,0.20000000298023224,0.4619554132223129,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,5.0,1.8681960105895996,2.5557849407196045,2.181589365005493,0.660293965754063,0.20000000298023224,0.6704172939062119,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,6.0,2.555863857269287,3.5817501544952393,3.0266517400741577,0.7283791714834718,0.20000000298023224,0.8555134385824203,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,7.0,3.5818681716918945,5.511753082275391,4.3795270919799805,1.0347196078671328,0.24254009872674942,1.7762367725372314,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,8.0,5.512326240539551,11.980566024780273,7.558755397796631,1.690325114115115,0.7052121609449387,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,9.0,11.98172378540039,21.953018188476562,17.819284439086914,2.3464243472873125,2.5,2.5,4885.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,10.0,21.955581665039062,28.191394805908203,25.44739532470703,2.4837260539329975,2.5,2.5,4887.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,11.0,28.1947078704834,32.671730041503906,30.604814529418945,2.4888214489206444,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,12.0,32.67217254638672,36.64310073852539,34.62668800354004,2.4918034043722694,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,13.0,36.64349365234375,41.120704650878906,38.95623207092285,2.4958858213071395,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,14.0,41.12074661254883,45.177921295166016,42.9829158782959,2.499475417081518,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,15.0,45.178863525390625,49.98515319824219,47.402687072753906,2.5,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,16.0,49.9860725402832,55.89280700683594,52.94568061828613,2.5,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,17.0,55.89299392700195,63.11394119262695,59.44068145751953,2.5,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,18.0,63.11655044555664,70.39301300048828,67.0082778930664,2.5,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,19.0,70.39315795898438,78.89318084716797,74.22895812988281,2.5,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,20.0,78.89371490478516,87.22854614257812,83.06668472290039,2.5,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,21.0,87.22894287109375,96.29778289794922,92.05077362060547,2.5,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,22.0,96.29986572265625,110.1408920288086,101.64955139160156,2.5,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,23.0,110.14400482177734,155.2503662109375,121.54117202758789,2.5,2.5,2.5,4886.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,0.0,1.192147465189919e-07,0.003980577923357487,0.001223160419613123,1.890925879148691,1.0918010473251343,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,1.0,0.003984776325523853,0.015778332948684692,0.008878094144165516,1.9809423416543974,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,2.0,0.01578250527381897,0.041156165301799774,0.025512907654047012,1.5400167864999268,0.20000000298023224,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,3.0,0.04117770493030548,0.09141890704631805,0.06270390748977661,1.1921677792780137,0.20000000298023224,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,4.0,0.09147916734218597,0.16665416955947876,0.12810641527175903,1.224830866969497,0.20000000298023224,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,5.0,0.16671110689640045,0.29887425899505615,0.22566963732242584,1.1388193921982175,0.20000000298023224,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,6.0,0.2994077205657959,0.4879814386367798,0.3809046149253845,1.5222850726894563,0.3619134724140167,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,7.0,0.48863494396209717,0.7508488893508911,0.5980878174304962,1.6428935933084983,0.617608368396759,2.5,1060.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,8.0,0.7513008117675781,1.1587340831756592,0.9380568265914917,2.007581226913913,1.544420838356018,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,9.0,1.1590591669082642,1.7882182598114014,1.4409252405166626,2.010285186947347,1.6184024810791016,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,10.0,1.7908354997634888,2.9320735931396484,2.231907606124878,2.1810388635847504,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,11.0,2.9341957569122314,7.497211456298828,4.224552154541016,2.4087748919647893,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,12.0,7.560047149658203,28.404905319213867,18.581985473632812,2.4997825705701735,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,13.0,28.40583610534668,35.3032112121582,32.50349044799805,2.5,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,14.0,35.30510711669922,39.50468826293945,37.71646499633789,2.5,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,15.0,39.50675964355469,42.624332427978516,40.96253204345703,2.5,2.5,2.5,1060.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,16.0,42.62631607055664,45.83576202392578,43.91778564453125,2.5,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,17.0,45.83776092529297,48.785675048828125,47.36245346069336,2.5,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,18.0,48.785728454589844,52.10856628417969,50.23418045043945,2.5,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,19.0,52.11604690551758,58.782325744628906,55.2707633972168,2.5,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,20.0,58.78236389160156,66.4432144165039,61.6564826965332,2.5,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,21.0,66.44458770751953,77.81974792480469,71.9339370727539,2.5,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,22.0,77.81999969482422,101.10888671875,88.50096130371094,2.5,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,23.0,101.11003875732422,132.0398406982422,112.60770416259766,2.5,2.5,2.5,1061.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,0.0,0.0002040863037109375,0.3545989990234375,0.1787738800048828,0.4162005352973938,0.30000001192092896,0.48459434509277344,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,1.0,0.3549957275390625,0.6977119445800781,0.527613639831543,0.4109325422072897,0.30000001192092896,0.4593658447265625,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,2.0,0.6978168487548828,1.0441741943359375,0.8741445541381836,0.41228075334003994,0.30000001192092896,0.4654731750488281,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,3.0,1.0448083877563477,1.4082183837890625,1.2164192199707031,0.40948190085741937,0.30000001192092896,0.4725475311279297,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,4.0,1.4082622528076172,1.7683486938476562,1.5859127044677734,0.4203960550561243,0.30000001192092896,0.48233604431152344,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,5.0,1.7684135437011719,2.135303497314453,1.9557838439941406,0.4133197179619147,0.30000001192092896,0.47606372833251953,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,6.0,2.1354990005493164,2.4954299926757812,2.318850517272949,0.40954367637634276,0.30000001192092896,0.47194671630859375,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,7.0,2.4958906173706055,2.8644027709960938,2.675992012023926,0.4048850376751958,0.30000001192092896,0.4539985656738281,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,8.0,2.865673065185547,3.2677955627441406,3.066091537475586,0.4078745765102153,0.30000001192092896,0.4498729705810547,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,9.0,3.2686119079589844,3.6595897674560547,3.472651481628418,0.4073472057070051,0.30000001192092896,0.4631366729736328,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,10.0,3.659646987915039,4.088264465332031,3.872142791748047,0.4094045752895122,0.30000001192092896,0.4707508087158203,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,11.0,4.088561058044434,4.541872978210449,4.318123817443848,0.42267032389738124,0.30000001192092896,0.48511695861816406,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,12.0,4.5420427322387695,4.993226051330566,4.763280868530273,0.41081899404525757,0.30000001192092896,0.4811668395996094,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,13.0,4.994091033935547,5.45937442779541,5.218877792358398,0.42090110837196815,0.30000001192092896,0.48005104064941406,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,14.0,5.459405899047852,5.957135200500488,5.711208343505859,0.41867303439549036,0.30000001192092896,0.4764833450317383,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,15.0,5.95857048034668,6.502403259277344,6.2357025146484375,0.41917774395066865,0.30000001192092896,0.4621553421020508,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,16.0,6.502725601196289,7.088370323181152,6.78316593170166,0.42457038626378896,0.30000001192092896,0.4980125427246094,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,17.0,7.088691711425781,7.741616249084473,7.399135589599609,0.4221588515748783,0.30000001192092896,0.4722919464111328,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,18.0,7.74169921875,8.489463806152344,8.082191467285156,0.42320747467936304,0.30000001192092896,0.48984527587890625,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,19.0,8.490321159362793,9.35112476348877,8.89504337310791,0.42189487909784124,0.30000001192092896,0.4719581604003906,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,20.0,9.351299285888672,10.337583541870117,9.8052978515625,0.4323548407457313,0.30000001192092896,0.49606895446777344,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,21.0,10.33793830871582,11.701927185058594,10.992332458496094,0.44130418899107954,0.30000001192092896,0.5126724243164062,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,22.0,11.703498840332031,13.865999221801758,12.557543754577637,0.45237481477309244,0.30000001192092896,0.5370597839355469,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,23.0,13.866487503051758,29.772686004638672,15.624821662902832,0.4611684393396183,0.30000001192092896,0.5673389434814453,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,0.0,1.1920928955078125e-06,0.15104103088378906,0.07444524765014648,0.3575412407699896,0.30000001192092896,0.3452577590942383,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,1.0,0.1510465145111084,0.30702799558639526,0.2230842113494873,0.35477186577660696,0.30000001192092896,0.3249788284301758,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,2.0,0.30704832077026367,0.46035051345825195,0.38494551181793213,0.3619120415376157,0.30000001192092896,0.3487434387207031,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,3.0,0.46047115325927734,0.6295638084411621,0.5429229736328125,0.35853947731913355,0.30000001192092896,0.3411531448364258,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,4.0,0.6296076774597168,0.7894072532653809,0.70821213722229,0.36012372109354757,0.30000001192092896,0.3462991714477539,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,5.0,0.7894535064697266,0.955742359161377,0.8729703426361084,0.35855068680312896,0.30000001192092896,0.3509697914123535,1224.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,6.0,0.9561110138893127,1.1243572235107422,1.039724588394165,0.3573928541553264,0.30000001192092896,0.34076786041259766,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,7.0,1.1246401071548462,1.3059885501861572,1.2134463787078857,0.36135919084354323,0.30000001192092896,0.36107349395751953,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,8.0,1.3061423301696777,1.4908757209777832,1.4027116298675537,0.36450512170791627,0.30000001192092896,0.3587932586669922,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,9.0,1.4910128116607666,1.690495491027832,1.589106559753418,0.3615753309094176,0.30000001192092896,0.3427858352661133,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,10.0,1.691035270690918,1.893129825592041,1.792356252670288,0.3599428405080523,0.30000001192092896,0.33884716033935547,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,11.0,1.8932228088378906,2.1070947647094727,1.9954065084457397,0.37705989313476224,0.30000001192092896,0.38290953636169434,1224.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,12.0,2.107166290283203,2.338937997817993,2.219571352005005,0.36765582731791907,0.30000001192092896,0.37258338928222656,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,13.0,2.338965892791748,2.5675435066223145,2.4508631229400635,0.3667927474391704,0.30000001192092896,0.3636970520019531,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,14.0,2.567563056945801,2.850572109222412,2.7110812664031982,0.36422128896324,0.30000001192092896,0.3563556671142578,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,15.0,2.8509693145751953,3.1362171173095703,2.992607593536377,0.3754344253150784,0.30000001192092896,0.39822959899902344,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,16.0,3.136232852935791,3.4509174823760986,3.2859652042388916,0.37632343749610747,0.30000001192092896,0.3922100067138672,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,17.0,3.4512345790863037,3.827770709991455,3.635643482208252,0.37627943975278755,0.30000001192092896,0.37648534774780273,1224.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,18.0,3.8278627395629883,4.2244873046875,4.025774955749512,0.38967636813922807,0.30000001192092896,0.4276447296142578,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,19.0,4.224496841430664,4.7154083251953125,4.461219787597656,0.3751616661889213,0.30000001192092896,0.3810853958129883,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,20.0,4.716108798980713,5.304165363311768,4.982942581176758,0.37769644766437765,0.30000001192092896,0.3941154479980469,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,21.0,5.304191589355469,6.103038787841797,5.66558837890625,0.37356852813642855,0.30000001192092896,0.3727388381958008,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,22.0,6.104223728179932,7.436188697814941,6.689072608947754,0.36962944308105783,0.30000001192092896,0.35361671447753906,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,23.0,7.4367170333862305,13.905634880065918,8.780901908874512,0.37508903230939594,0.30000001192092896,0.38423633575439453,1225.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,0.0,0.009857177734375,1.089385986328125,0.509918212890625,2.5,2.5,2.5,123.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,1.0,1.1087646484375,2.040130615234375,1.617034912109375,2.5,2.5,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,2.0,2.048583984375,3.10809326171875,2.5374755859375,2.5,2.5,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,3.0,3.11077880859375,4.113555908203125,3.6359100341796875,2.499182523274031,2.5,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,4.0,4.12451171875,5.5057373046875,4.772186279296875,2.486631218010817,2.5,2.5,123.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,5.0,5.5220947265625,6.6336669921875,6.0842437744140625,2.445941885963815,2.5,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,6.0,6.640350341796875,7.84326171875,7.2512054443359375,2.384296417236328,2.5,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,7.0,7.86376953125,9.1300048828125,8.51007080078125,2.370958610636289,2.461768090724945,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,8.0,9.16595458984375,10.226318359375,9.619903564453125,2.325645667750661,2.1595284938812256,2.5,123.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,9.0,10.233795166015625,11.57427978515625,10.842575073242188,2.2377073139440817,1.9654014110565186,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,10.0,11.5823974609375,12.973388671875,12.305023193359375,2.1445416749500836,1.8350534439086914,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,11.0,12.97344970703125,14.563812255859375,13.775100708007812,2.127163101415165,1.7712346613407135,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,12.0,14.58837890625,16.185791015625,15.244110107421875,2.0901024399734123,1.6735684275627136,2.5,123.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,13.0,16.200439453125,17.801513671875,16.932281494140625,2.052940855260755,1.712831974029541,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,14.0,17.80499267578125,19.6148681640625,18.6878662109375,1.9616691738855643,1.440664529800415,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,15.0,19.617218017578125,21.49737548828125,20.599868774414062,2.034786171111904,1.674223244190216,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,16.0,21.5001220703125,23.468353271484375,22.5089111328125,1.911496845687308,1.3203849792480469,2.5,123.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,17.0,23.470184326171875,25.51116943359375,24.388504028320312,1.7932158337264765,1.256208896636963,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,18.0,25.523773193359375,27.9755859375,26.601531982421875,1.7472947068878861,1.2337088584899902,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,19.0,28.00750732421875,30.389404296875,29.111236572265625,1.7224995230065017,1.0852237343788147,2.5,122.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,20.0,30.43115234375,34.047943115234375,32.1756591796875,1.6432544676268972,1.0870945453643799,2.421375036239624,123.0
