problem,condition,condition_label,target_size,checkpoint,pair_count_sampled,delta_cost_mean,delta_cost_median,delta_cost_q10,delta_cost_q90,weight_mean,weight_median,weight_q10,weight_q90,corr_delta_cost_weight,corr_rank_span_weight,corr_margin_norm_weight,corr_raw_margin_weight,raw_margin_median,raw_margin_q90
tsp100,search,TSP100 ckpt @ TSP100,100,downloads/tsp100/weighting/checkpoint.ckpt,117264,0.9463325951617938,0.5517101287841797,0.007775306701660156,2.51686954498291,1.8004200031582116,2.5,0.20000000298023224,2.5,0.5653381494657761,0.46303929019397433,0.6864249416156494,0.6817288620632772,32.67195129394531,92.88626251220703
tsp100,transfer,TSP50 ckpt @ TSP50,50,downloads/tsp50/weighting/checkpoint.ckpt,25462,1.5825579117721102,0.4490842819213867,4.76837158203125e-07,4.443511009216309,2.114184375527836,2.5,0.20000000298023224,2.5,0.29472555957796587,0.2689982466129926,0.40657598882430795,0.4044940481282825,7.528629302978516,72.80464096069336
cvrp100,search,CVRP100 ckpt @ CVRP100,100,downloads/cvrp100/weighting/checkpoint.ckpt,29400,0.3375049170993623,0.28114891052246094,0.05062370300292969,0.6974133491516115,0.4205392356835255,0.30000001192092896,0.30000001192092896,0.6974133491516115,0.9438175607228533,0.7787017630190992,0.05002714255787802,0.0627234184627396,4.541957855224609,11.114228439331056
cvrp100,transfer,CVRP100 ckpt @ CVRP50,50,downloads/cvrp100/weighting/checkpoint.ckpt,29397,0.25379990556513643,0.19519901275634766,0.034987449645996094,0.5554927825927736,0.3675331388415376,0.30000001192092896,0.30000001192092896,0.5554927825927736,0.9090345229297476,0.637207224897295,0.03473449743027785,0.040292464699068845,2.107166290283203,5.74159574508667
ffsp100,search,FFSP100 ckpt @ FFSP100,100,downloads/ffsp100/weighting.ckpt,2935,3.143100511073254,3.0,1.0,6.0,2.0727760218985036,2.5,1.0774118900299072,2.5,-0.5740447333346326,-0.6340635825253376,-0.6250232145180499,-0.6133729121983197,14.58837890625,36.45775146484375
ffsp100,transfer,FFSP50 ckpt @ FFSP50,50,downloads/ffsp50/weighting.ckpt,2883,2.847381200138744,2.0,1.0,5.0,2.0523324113854757,2.5,1.0757632493972777,2.5,-0.49798356282318734,-0.6397642099473367,-0.6286221912611005,-0.6013811246155405,7.6257171630859375,18.679914855957033
jssp10x10,search,JSSP10x10 ckpt @ 10x10,10,downloads/jssp10x10/weighting/checkpoint.ckpt,23394,21.974603551691942,16.99993896484375,3.00006103515625,48.6999450683601,1.9476377388327546,2.15908145904541,0.44107767939567566,3.0,0.7891739369933378,0.7782742224367097,0.02899424932808644,0.021731773914016327,7.383323669433594,17.870138549804686
jssp10x10,transfer,JSSP15x15 ckpt @ 15x15,15,downloads/jssp15x15/weighting/checkpoint.ckpt,24317,49.157377251591605,40.0001220703125,7.9998779296875,102.9998779296875,2.020228842067994,2.391679525375366,0.4229053854942322,3.0,0.7964569736539691,0.8324491728745351,0.004404413259970753,0.0020502564990882407,11.962493896484375,29.310858154296877
